SALESORDERHEADERKEY,SALESORDERID,ORDERDATE,DUEDATE,SHIPDATE,STATUSODER,ISONLINE,PURCHASEORDERNUMBER,SALESORDERNUMBER,CUSACCOUNT,SALESPERSONID,CUSTOMERKEY,SALESPERSONKEY,SALESPEREXPLAIN,TERRITORYKEY,CURRENCYRATEKEY,CURRENCYEXPLAIN,CREDITCARDKEY,CREDITCARDEXPLAIN,SHIPMETHODKEY,DATEKEYORDER,DATEKEYDUE,DATEKEYSHIP,CREDITCARDAPPROVALCODE,SUBTOTAL,TAX,SHIPPINGFEE,TOTALAMOUNT,CUMULATIVEAMOUNT,ORDERCOUNT,RECENCY,FREQUENCY,MONETARY,PAYMETHOD,FRAUDSTATUS,SALESHEADERMODIFIEDDATE,ISCURRENT
22,43701,2011-05-31,2011-06-12,2011-06-07,Shipped,True,Unknown,SO43701,10-4030-011003,,749,-1,Have No SalesPerson,9,2,Have CurrencyRate,14514,Have CreditCard,1,20110531,20110612,20110607,335093Vi57504,3399.99,272.0,85.0,3756.99,311550.96,27659,4325,3,8993.92,CreditCard,Normal,2011-06-07,True
23,43679,2011-05-31,2011-06-12,2011-06-07,Shipped,False,PO10527142759,SO43679,10-4020-000480,278.0,24635,5,Have SalesPerson,6,4,Have CurrencyRate,5971,Have CreditCard,5,20110531,20110612,20110607,126365Vi28482,1316.06,125.8,39.31,1481.17,313032.13,234,4183,12,68068.68,CreditCard,Normal,2011-06-07,True
24,43680,2011-05-31,2011-06-12,2011-06-07,Shipped,False,PO10730130087,SO43680,10-4020-000491,281.0,24363,8,Have SalesPerson,4,-1,Have No CurrencyRate,7185,Have CreditCard,5,20110531,20110612,20110607,126370Vi34642,11397.5,1093.64,341.76,12832.9,325865.03,242,4183,12,428350.53,CreditCard,Normal,2011-06-07,True
25,43660,2011-05-31,2011-06-12,2011-06-07,Shipped,False,PO18850127500,SO43660,10-4020-000117,279.0,24546,6,Have SalesPerson,5,-1,Have No CurrencyRate,6150,Have CreditCard,5,20110531,20110612,20110607,115213Vi29411,1294.25,124.25,38.83,1457.33,327322.36,429,4183,6,3205.17,CreditCard,Normal,2011-06-07,True
26,43661,2011-05-31,2011-06-12,2011-06-07,Shipped,False,PO18473189620,SO43661,10-4020-000442,282.0,24608,9,Have SalesPerson,6,4,Have CurrencyRate,1878,Have CreditCard,5,20110531,20110612,20110607,85274Vi6854,32726.48,3153.77,985.55,36865.8,364188.16,271,4183,12,469357.3,CreditCard,Normal,2011-06-07,True
27,43662,2011-05-31,2011-06-12,2011-06-07,Shipped,False,PO18444174044,SO43662,10-4020-000227,282.0,24868,9,Have SalesPerson,6,4,Have CurrencyRate,13820,Have CreditCard,5,20110531,20110612,20110607,125295Vi53935,28832.53,2775.16,867.24,32474.93,396663.09,271,4183,12,824331.77,CreditCard,Normal,2011-06-07,True
28,43663,2011-05-31,2011-06-12,2011-06-07,Shipped,False,PO18009186470,SO43663,10-4020-000510,276.0,24439,3,Have SalesPerson,4,-1,Have No CurrencyRate,4854,Have CreditCard,5,20110531,20110612,20110607,45303Vi22691,419.46,40.27,12.58,472.31,397135.4,418,4274,8,5537.25,CreditCard,Normal,2011-06-07,True
29,43664,2011-05-31,2011-06-12,2011-06-07,Shipped,False,PO16617121983,SO43664,10-4020-000397,280.0,24772,7,Have SalesPerson,1,-1,Have No CurrencyRate,1338,Have CreditCard,5,20110531,20110612,20110607,95555Vi4081,24432.61,2344.99,732.81,27510.41,424645.81,95,4914,4,167617.42,CreditCard,Normal,2011-06-07,True
30,43665,2011-05-31,2011-06-12,2011-06-07,Shipped,False,PO16588191572,SO43665,10-4020-000146,283.0,24454,10,Have SalesPerson,1,-1,Have No CurrencyRate,18596,Have CreditCard,5,20110531,20110612,20110607,35568Vi78804,14352.77,1375.94,429.98,16158.7,440804.51,189,4183,12,815914.26,CreditCard,Normal,2011-06-07,True
31,43666,2011-05-31,2011-06-12,2011-06-07,Shipped,False,PO16008173883,SO43666,10-4020-000511,276.0,24926,3,Have SalesPerson,4,-1,Have No CurrencyRate,16713,Have CreditCard,5,20110531,20110612,20110607,105623Vi69217,5056.49,486.37,151.99,5694.86,446499.37,418,4914,4,21863.9,CreditCard,Normal,2011-06-07,True
32,43667,2011-05-31,2011-06-12,2011-06-07,Shipped,False,PO15428132599,SO43667,10-4020-000646,277.0,24848,4,Have SalesPerson,3,-1,Have No CurrencyRate,13734,Have CreditCard,5,20110531,20110612,20110607,55680Vi53503,6107.08,586.12,183.16,6876.36,453375.73,473,4274,5,87227.32,CreditCard,Normal,2011-06-07,True
33,43668,2011-05-31,2011-06-12,2011-06-07,Shipped,False,PO14732180295,SO43668,10-4020-000514,282.0,24488,9,Have SalesPerson,6,4,Have CurrencyRate,2098,Have CreditCard,5,20110531,20110612,20110607,85817Vi8045,35944.16,3461.77,1081.8,40487.72,493863.45,271,4183,12,901346.85,CreditCard,Normal,2011-06-07,True
34,43670,2011-05-31,2011-06-12,2011-06-07,Shipped,False,PO14384116310,SO43670,10-4020-000504,275.0,24440,2,Have SalesPerson,3,-1,Have No CurrencyRate,23120,Have CreditCard,5,20110531,20110612,20110607,105888Vi93490,6122.08,587.56,183.61,6893.25,500756.7,450,4914,4,29903.94,CreditCard,Normal,2011-06-07,True
35,43669,2011-05-31,2011-06-12,2011-06-07,Shipped,False,PO14123169936,SO43669,10-4020-000578,283.0,24621,10,Have SalesPerson,1,-1,Have No CurrencyRate,18902,Have CreditCard,5,20110531,20110612,20110607,25877Vi80261,714.7,70.52,22.04,807.26,501563.96,189,4183,9,20895.92,CreditCard,Normal,2011-06-07,True
36,43678,2011-05-31,2011-06-12,2011-06-07,Shipped,False,PO10817150168,SO43678,10-4020-000203,281.0,24763,8,Have SalesPerson,4,-1,Have No CurrencyRate,5625,Have CreditCard,5,20110531,20110612,20110607,66363Vi26658,9799.92,942.07,294.4,11036.4,512600.36,242,4549,8,323176.29,CreditCard,Normal,2011-06-07,True
37,43677,2011-05-31,2011-06-12,2011-06-07,Shipped,False,PO11049174786,SO43677,10-4020-000679,278.0,24698,5,Have SalesPerson,6,4,Have CurrencyRate,17394,Have CreditCard,5,20110531,20110612,20110607,16302Vi72763,7793.11,747.1,233.47,8773.68,521374.04,234,4183,9,99904.75,CreditCard,Normal,2011-06-07,True
38,43676,2011-05-31,2011-06-12,2011-06-07,Shipped,False,PO11861165059,SO43676,10-4020-000017,275.0,24685,2,Have SalesPerson,5,-1,Have No CurrencyRate,23253,Have CreditCard,5,20110531,20110612,20110607,36168Vi94127,14203.46,1363.27,426.02,15992.74,537366.78,450,4183,12,170328.56,CreditCard,Normal,2011-06-07,True
39,43675,2011-05-31,2011-06-12,2011-06-07,Shipped,False,PO12412186464,SO43675,10-4020-000670,277.0,24701,4,Have SalesPerson,3,-1,Have No CurrencyRate,15250,Have CreditCard,5,20110531,20110612,20110607,126121Vi61402,5716.31,546.88,170.9,6434.08,543800.86,473,4183,12,801766.21,CreditCard,Normal,2011-06-07,True
40,43674,2011-05-31,2011-06-12,2011-06-07,Shipped,False,PO12760141756,SO43674,10-4020-000083,282.0,24470,9,Have SalesPerson,6,4,Have CurrencyRate,24259,Have CreditCard,5,20110531,20110612,20110607,26081Vi99806,2624.38,251.94,78.73,2955.05,546755.91,271,4914,4,41264.03,CreditCard,Normal,2011-06-07,True
41,43673,2011-05-31,2011-06-12,2011-06-07,Shipped,False,PO13775141242,SO43673,10-4020-000618,275.0,24718,2,Have SalesPerson,2,-1,Have No CurrencyRate,1949,Have CreditCard,5,20110531,20110612,20110607,35931Vi7271,3746.2,357.96,111.86,4216.03,550971.94,450,4183,12,452727.93,CreditCard,Normal,2011-06-07,True
42,43672,2011-05-31,2011-06-12,2011-06-07,Shipped,False,PO13862153537,SO43672,10-4020-000119,282.0,24941,9,Have SalesPerson,6,4,Have CurrencyRate,4512,Have CreditCard,5,20110531,20110612,20110607,95915Vi20982,6124.18,587.6,183.63,6895.41,557867.35,271,4183,12,442054.09,CreditCard,Normal,2011-06-07,True
43,43671,2011-05-31,2011-06-12,2011-06-07,Shipped,False,PO13978119376,SO43671,10-4020-000200,283.0,24764,10,Have SalesPerson,1,-1,Have No CurrencyRate,17057,Have CreditCard,5,20110531,20110612,20110607,25904Vi70960,8128.79,780.81,244.0,9153.61,567020.96,189,4274,8,14794.64,CreditCard,Normal,2011-06-07,True
44,43702,2011-06-01,2011-06-13,2011-06-08,Shipped,True,Unknown,SO43702,10-4030-027645,,22519,-1,Have No SalesPerson,4,-1,Have No CurrencyRate,11451,Have CreditCard,1,20110601,20110613,20110608,1230194Vi41919,3578.27,286.26,89.46,3953.99,570974.95,27659,4132,2,6686.7,CreditCard,Normal,2011-06-08,True
45,43703,2011-06-01,2011-06-13,2011-06-08,Shipped,True,Unknown,SO43703,10-4030-016624,,6858,-1,Have No SalesPerson,9,15,Have CurrencyRate,12861,Have CreditCard,1,20110601,20110613,20110608,1234632Vi48985,3578.27,286.26,89.46,3953.99,574928.94,27659,4098,2,6561.77,CreditCard,Normal,2011-06-08,True
46,43704,2011-06-01,2011-06-13,2011-06-08,Shipped,True,Unknown,SO43704,10-4030-011005,,751,-1,Have No SalesPerson,9,15,Have CurrencyRate,2520,Have CreditCard,1,20110601,20110613,20110608,835095Vi10342,3374.99,270.0,84.37,3729.36,578658.3,27659,4333,3,8974.07,CreditCard,Normal,2011-06-08,True
47,43705,2011-06-01,2011-06-13,2011-06-08,Shipped,True,Unknown,SO43705,10-4030-011011,,757,-1,Have No SalesPerson,9,15,Have CurrencyRate,7737,Have CreditCard,1,20110601,20110613,20110608,1035101Vi37381,3399.99,272.0,85.0,3756.99,582415.29,27659,4377,3,8987.01,CreditCard,Normal,2011-06-08,True
48,43710,2011-06-02,2011-06-14,2011-06-09,Shipped,True,Unknown,SO43710,10-4030-016517,,6751,-1,Have No SalesPerson,9,28,Have CurrencyRate,6296,Have CreditCard,1,20110602,20110614,20110609,1134614Vi30135,3578.27,286.26,89.46,3953.99,586369.28,27659,4374,2,5192.13,CreditCard,Normal,2011-06-09,True
49,43706,2011-06-02,2011-06-14,2011-06-09,Shipped,True,Unknown,SO43706,10-4030-027621,,22495,-1,Have No SalesPerson,4,-1,Have No CurrencyRate,14276,Have CreditCard,1,20110602,20110614,20110609,230189Vi56258,3578.27,286.26,89.46,3953.99,590323.27,27659,4131,2,6598.32,CreditCard,Normal,2011-06-09,True
50,43709,2011-06-02,2011-06-14,2011-06-09,Shipped,True,Unknown,SO43709,10-4030-016351,,6585,-1,Have No SalesPerson,9,28,Have CurrencyRate,18888,Have CreditCard,1,20110602,20110614,20110609,1034602Vi80214,3578.27,286.26,89.46,3953.99,594277.26,27659,4118,2,6489.95,CreditCard,Normal,2011-06-09,True
51,43708,2011-06-02,2011-06-14,2011-06-09,Shipped,True,Unknown,SO43708,10-4030-020042,,13108,-1,Have No SalesPerson,10,35,Have CurrencyRate,4901,Have CreditCard,1,20110602,20110614,20110609,130402Vi22912,699.1,55.93,17.48,772.5,595049.76,27659,4393,2,3481.19,CreditCard,Normal,2011-06-09,True
52,43707,2011-06-02,2011-06-14,2011-06-09,Shipped,True,Unknown,SO43707,10-4030-027616,,22490,-1,Have No SalesPerson,4,-1,Have No CurrencyRate,24131,Have CreditCard,1,20110602,20110614,20110609,230298Vi99064,3578.27,286.26,89.46,3953.99,599003.75,27659,4142,2,6628.47,CreditCard,Normal,2011-06-09,True
53,43711,2011-06-03,2011-06-15,2011-06-10,Shipped,True,Unknown,SO43711,10-4030-027606,,22480,-1,Have No SalesPerson,1,-1,Have No CurrencyRate,3575,Have CreditCard,1,20110603,20110615,20110610,430293Vi16007,3578.27,286.26,89.46,3953.99,602957.74,27659,4132,2,6627.05,CreditCard,Normal,2011-06-10,True
54,43712,2011-06-03,2011-06-15,2011-06-10,Shipped,True,Unknown,SO43712,10-4030-013513,,3747,-1,Have No SalesPerson,8,45,Have CurrencyRate,6745,Have CreditCard,1,20110603,20110615,20110610,1231128Vi32292,3578.27,286.26,89.46,3953.99,606911.73,27659,4117,2,6539.66,CreditCard,Normal,2011-06-10,True
55,43713,2011-06-04,2011-06-16,2011-06-11,Shipped,True,Unknown,SO43713,10-4030-027601,,22475,-1,Have No SalesPerson,4,-1,Have No CurrencyRate,21732,Have CreditCard,1,20110604,20110616,20110611,830288Vi85808,3578.27,286.26,89.46,3953.99,610865.72,27659,5184,1,3953.99,CreditCard,Normal,2011-06-11,True
56,43714,2011-06-04,2011-06-16,2011-06-11,Shipped,True,Unknown,SO43714,10-4030-013591,,3825,-1,Have No SalesPerson,10,61,Have CurrencyRate,19327,Have CreditCard,1,20110604,20110616,20110611,1031124Vi82522,3578.27,286.26,89.46,3953.99,614819.71,27659,4264,3,9232.57,CreditCard,Normal,2011-06-11,True
57,43715,2011-06-04,2011-06-16,2011-06-11,Shipped,True,Unknown,SO43715,10-4030-016483,,6717,-1,Have No SalesPerson,9,54,Have CurrencyRate,11349,Have CreditCard,1,20110604,20110616,20110611,1134605Vi41375,3578.27,286.26,89.46,3953.99,618773.7,27659,4130,2,4550.68,CreditCard,Normal,2011-06-11,True
58,43716,2011-06-04,2011-06-16,2011-06-11,Shipped,True,Unknown,SO43716,10-4030-016529,,6763,-1,Have No SalesPerson,9,54,Have CurrencyRate,6405,Have CreditCard,1,20110604,20110616,20110611,534626Vi30635,3578.27,286.26,89.46,3953.99,622727.69,27659,4286,2,5251.79,CreditCard,Normal,2011-06-11,True
59,43717,2011-06-04,2011-06-16,2011-06-11,Shipped,True,Unknown,SO43717,10-4030-025249,,18315,-1,Have No SalesPerson,9,54,Have CurrencyRate,6232,Have CreditCard,1,20110604,20110616,20110611,1235425Vi29858,699.1,55.93,17.48,772.5,623500.19,27659,4220,2,2064.75,CreditCard,Normal,2011-06-11,True
60,43718,2011-06-05,2011-06-17,2011-06-12,Shipped,True,Unknown,SO43718,10-4030-027668,,22542,-1,Have No SalesPerson,1,-1,Have No CurrencyRate,3581,Have CreditCard,1,20110605,20110617,20110612,530203Vi16052,3578.27,286.26,89.46,3953.99,627454.18,27659,4140,2,6637.25,CreditCard,Normal,2011-06-12,True
61,43719,2011-06-05,2011-06-17,2011-06-12,Shipped,True,Unknown,SO43719,10-4030-027612,,22486,-1,Have No SalesPerson,4,-1,Have No CurrencyRate,6530,Have CreditCard,1,20110605,20110617,20110612,1130295Vi31203,3578.27,286.26,89.46,3953.99,631408.17,27659,5183,1,3953.99,CreditCard,Normal,2011-06-12,True
62,43720,2011-06-05,2011-06-17,2011-06-12,Shipped,True,Unknown,SO43720,10-4030-013264,,3498,-1,Have No SalesPerson,8,71,Have CurrencyRate,3297,Have CreditCard,1,20110605,20110617,20110612,831105Vi14399,3578.27,286.26,89.46,3953.99,635362.16,27659,4175,4,8028.45,CreditCard,Normal,2011-06-12,True
63,43721,2011-06-05,2011-06-17,2011-06-12,Shipped,True,Unknown,SO43721,10-4030-013590,,3824,-1,Have No SalesPerson,10,74,Have CurrencyRate,15314,Have CreditCard,1,20110605,20110617,20110612,331111Vi61776,3578.27,286.26,89.46,3953.99,639316.15,27659,4252,3,9178.47,CreditCard,Normal,2011-06-12,True
64,43724,2011-06-06,2011-06-18,2011-06-13,Shipped,True,Unknown,SO43724,10-4030-016520,,6754,-1,Have No SalesPerson,9,80,Have CurrencyRate,6868,Have CreditCard,1,20110606,20110618,20110613,834617Vi32891,3578.27,286.26,89.46,3953.99,643270.14,27659,4359,2,5224.15,CreditCard,Normal,2011-06-13,True
65,43723,2011-06-06,2011-06-18,2011-06-13,Shipped,True,Unknown,SO43723,10-4030-014520,,4754,-1,Have No SalesPerson,1,-1,Have No CurrencyRate,22102,Have CreditCard,1,20110606,20110618,20110613,833793Vi87871,699.1,55.93,17.48,772.5,644042.64,27659,4297,2,1661.45,CreditCard,Normal,2011-06-13,True
66,43722,2011-06-06,2011-06-18,2011-06-13,Shipped,True,Unknown,SO43722,10-4030-013581,,3815,-1,Have No SalesPerson,10,87,Have CurrencyRate,15555,Have CreditCard,1,20110606,20110618,20110613,331099Vi63048,3578.27,286.26,89.46,3953.99,647996.63,27659,4295,3,9254.14,CreditCard,Normal,2011-06-13,True
67,43725,2011-06-07,2011-06-19,2011-06-14,Shipped,True,Unknown,SO43725,10-4030-013258,,3492,-1,Have No SalesPerson,8,97,Have CurrencyRate,7172,Have CreditCard,1,20110607,20110619,20110614,832136Vi34578,3578.27,286.26,89.46,3953.99,651950.62,27659,4107,4,9819.62,CreditCard,Normal,2011-06-14,True
68,43726,2011-06-07,2011-06-19,2011-06-14,Shipped,True,Unknown,SO43726,10-4030-014560,,4794,-1,Have No SalesPerson,4,-1,Have No CurrencyRate,11897,Have CreditCard,1,20110607,20110619,20110614,533796Vi44130,699.1,55.93,17.48,772.5,652723.12,27659,4303,2,1700.13,CreditCard,Normal,2011-06-14,True
69,43727,2011-06-07,2011-06-19,2011-06-14,Shipped,True,Unknown,SO43727,10-4030-016607,,6841,-1,Have No SalesPerson,9,93,Have CurrencyRate,14771,Have CreditCard,1,20110607,20110619,20110614,834627Vi58835,3578.27,286.26,89.46,3953.99,656677.11,27659,4114,2,6516.77,CreditCard,Normal,2011-06-14,True
70,43728,2011-06-08,2011-06-20,2011-06-15,Shipped,True,Unknown,SO43728,10-4030-027666,,22540,-1,Have No SalesPerson,4,-1,Have No CurrencyRate,18994,Have CreditCard,1,20110608,20110620,20110615,130201Vi80748,3578.27,286.26,89.46,3953.99,660631.1,27659,5180,1,3953.99,CreditCard,Normal,2011-06-15,True
71,43729,2011-06-08,2011-06-20,2011-06-15,Shipped,True,Unknown,SO43729,10-4030-011238,,1472,-1,Have No SalesPerson,10,113,Have CurrencyRate,3168,Have CreditCard,1,20110608,20110620,20110615,831735Vi13701,3399.99,272.0,85.0,3756.99,664388.09,27659,4335,4,8334.76,CreditCard,Normal,2011-06-15,True
72,43730,2011-06-08,2011-06-20,2011-06-15,Shipped,True,Unknown,SO43730,10-4030-025861,,18927,-1,Have No SalesPerson,4,-1,Have No CurrencyRate,16687,Have CreditCard,1,20110608,20110620,20110615,333375Vi69103,3399.99,272.0,85.0,3756.99,668145.08,27659,5180,1,3756.99,CreditCard,Normal,2011-06-15,True
73,43731,2011-06-08,2011-06-20,2011-06-15,Shipped,True,Unknown,SO43731,10-4030-016629,,6863,-1,Have No SalesPerson,9,106,Have CurrencyRate,17666,Have CreditCard,1,20110608,20110620,20110615,834633Vi74142,3578.27,286.26,89.46,3953.99,672099.07,27659,4111,2,6556.25,CreditCard,Normal,2011-06-15,True
74,43732,2011-06-08,2011-06-20,2011-06-15,Shipped,True,Unknown,SO43732,10-4030-011025,,771,-1,Have No SalesPerson,9,106,Have CurrencyRate,14246,Have CreditCard,1,20110608,20110620,20110615,1235104Vi56140,3374.99,270.0,84.37,3729.36,675828.43,27659,4157,3,7267.36,CreditCard,Normal,2011-06-15,True
75,43733,2011-06-08,2011-06-20,2011-06-15,Shipped,True,Unknown,SO43733,10-4030-027577,,22451,-1,Have No SalesPerson,1,-1,Have No CurrencyRate,13964,Have CreditCard,1,20110608,20110620,20110615,135716Vi54667,3578.27,286.26,89.46,3953.99,679782.42,27659,5180,1,3953.99,CreditCard,Normal,2011-06-15,True
76,43734,2011-06-09,2011-06-21,2011-06-16,Shipped,True,Unknown,SO43734,10-4030-027604,,22478,-1,Have No SalesPerson,1,-1,Have No CurrencyRate,18729,Have CreditCard,1,20110609,20110621,20110616,330290Vi79368,3578.27,286.26,89.46,3953.99,683736.41,27659,5179,1,3953.99,CreditCard,Normal,2011-06-16,True
