PRODUCTINVENTORYKEY,PRODUCTID,PRODUCTKEY,LOCATIONID,LOCATIONNAME,COSTRATE,AVAILABILITY,LOCATIONMODIFIEDDATE,SHELF,BIN,QUANTITY,PROHISMODIFIEDDATE,ISCURRENT,STARTDATE,ENDDATE,HASHDIFF
29,321,192,5,Metal Storage,0.0,0.0,2008-04-30,A,6,540,2014-08-09,True,2006-06-23,9999-12-31 00:00:00,7dd759ff8f51187f91f097aa16986d1a5fa7ea81cd60acece9ffa9bb90f6db9a
30,321,192,50,Subassembly,12.25,120.0,2008-04-30,A,26,641,2014-08-09,True,2006-06-23,9999-12-31 00:00:00,fb755e74cc96f75e9ff50bc59b7deb005b2321a69e2ad64e2dadb8b169a1557e
31,322,193,1,Tool Crib,0.0,0.0,2008-04-30,C,7,622,2014-08-09,True,2006-06-23,9999-12-31 00:00:00,78d637a7a4bf62095e46ca6c41ebd0df041bac9fea0d842a304666fac363d013
32,322,193,5,Metal Storage,0.0,0.0,2008-04-30,A,7,587,2014-08-09,True,2006-06-23,9999-12-31 00:00:00,df3abefce16dcae142effa88b0f51d95315ba1e50b71c71cc020f336db889659
33,322,193,50,Subassembly,12.25,120.0,2008-04-30,A,27,475,2014-08-09,True,2006-06-23,9999-12-31 00:00:00,e09944aea00234021ac24bc30535cf627fe1c727074b5184ff89ee3869c3a94c
34,323,194,1,Tool Crib,0.0,0.0,2008-04-30,C,35,603,2014-08-09,True,2006-06-23,9999-12-31 00:00:00,afa7b15d0688aa5665ad229119631d79ab3df0c57de8afd47c7d77d925957b4d
35,323,194,5,Metal Storage,0.0,0.0,2008-04-30,A,12,568,2014-08-09,True,2006-06-23,9999-12-31 00:00:00,ccf75caf4b5f4bdbc7c12b9618e55f4b6bb0418bd104b884523204fb5d15a072
36,323,194,50,Subassembly,12.25,120.0,2008-04-30,A,28,513,2014-08-09,True,2006-06-23,9999-12-31 00:00:00,7fd9d7cbdb970be7903d5a1715d9e91f260541f210390f47423e2f1da1814ba9
37,324,195,1,Tool Crib,0.0,0.0,2008-04-30,C,36,585,2008-03-31,True,2006-06-23,9999-12-31 00:00:00,1634892389cd8f049cfcc9aca14307901a1e6315a2530bea74456a71e13d95ce
38,324,195,5,Metal Storage,0.0,0.0,2008-04-30,A,13,568,2008-03-31,True,2006-06-23,9999-12-31 00:00:00,9acedf4cfcef53b9c86abbe91c907e589fc3914595b7ea6fbf707c1621063d5c
39,324,195,50,Subassembly,12.25,120.0,2008-04-30,A,29,476,2008-03-31,True,2006-06-23,9999-12-31 00:00:00,24d5e34287caf46be5cb4702acc2d3694c5433b778fb012c5bb0b21ab14488f9
40,325,183,1,Tool Crib,0.0,0.0,2008-04-30,H,1,569,2014-08-12,True,2006-06-23,9999-12-31 00:00:00,ebeee1ad99a42ea4f12dfa7022744f0ee67eeaf5be4e1afefd2e4e2e589743af
41,325,183,6,Miscellaneous Storage,0.0,0.0,2008-04-30,G,1,540,2014-08-12,True,2006-06-23,9999-12-31 00:00:00,928e6b8c1eee9cdee7449a2b97044f6cf1a3752e2330eb41d8bdbfa93bf04242
42,325,183,60,Final Assembly,12.25,120.0,2008-04-30,A,1,641,2014-08-12,True,2006-06-23,9999-12-31 00:00:00,bcace85ef326de5b07e77da514315c8b8e0cfb0f255eed4cdd1c0228f70296ec
43,326,197,1,Tool Crib,0.0,0.0,2008-04-30,H,2,622,2014-08-12,True,2006-06-23,9999-12-31 00:00:00,27c618495a1dca829014d4fa940246a1f797751bff96cfee01825809c57369e8
44,326,197,6,Miscellaneous Storage,0.0,0.0,2008-04-30,G,2,587,2014-08-12,True,2006-06-23,9999-12-31 00:00:00,52f328e6e46f061525ba0d8003d9b669035b2bfa04df7fd1caf3f7bb670a555f
45,326,197,60,Final Assembly,12.25,120.0,2008-04-30,A,2,475,2014-08-12,True,2006-06-23,9999-12-31 00:00:00,0f3bb9b42bdf6ee39963dbaffccbc5807bd27dbe694ab6c5f0c9f221992e7410
46,327,198,5,Metal Storage,0.0,0.0,2008-04-30,K,1,408,2008-03-31,True,2006-06-23,9999-12-31 00:00:00,c88b24595873f6e9257ab3aacd7bef1b4b6bc376eaf92f5e6157a43e8e8fa581
47,327,198,10,Frame Forming,22.5,96.0,2008-04-30,F,1,443,2008-03-31,True,2006-06-23,9999-12-31 00:00:00,1f8dbe4bdeec3777ceb77947d4786d403dca7d6356dd0aed450cd1a89bc7a257
48,327,198,50,Subassembly,12.25,120.0,2008-04-30,B,9,513,2008-03-31,True,2006-06-23,9999-12-31 00:00:00,6985742bf83a15e1740c73fbe047a5ef2ffee6ed7d9aae95b024db419bd7b84d
49,328,199,5,Metal Storage,0.0,0.0,2008-04-30,A,8,568,2008-03-31,True,2006-06-23,9999-12-31 00:00:00,ec12459fff49d87ac043f4afc4f4b0dec5792b224b286c557658c275689ef715
50,328,199,10,Frame Forming,22.5,96.0,2008-04-30,D,1,585,2008-03-31,True,2006-06-23,9999-12-31 00:00:00,0ec3e475eb26f58f62dfaffe3d9bc9ae03c9c09915a35f74013780a4d403659d
51,328,199,50,Subassembly,12.25,120.0,2008-04-30,A,14,476,2008-03-31,True,2006-06-23,9999-12-31 00:00:00,dc2b1898495625cb5e9e2ceedbe772c22794e1c0b22eb9e5a8c66ca97e8f34ab
52,329,200,5,Metal Storage,0.0,0.0,2008-04-30,A,9,558,2008-03-31,True,2006-06-23,9999-12-31 00:00:00,69801ad35c04e5fb3f6f9b40c328614f6558f8166ab057b1fc6b1086ad95e039
53,329,200,10,Frame Forming,22.5,96.0,2008-04-30,D,2,576,2008-03-31,True,2006-06-23,9999-12-31 00:00:00,4b9e7b0de17230aa943d3e70e6d63fc3305e6f5faf83bdb401ff8e202e4c1e8c
54,329,200,50,Subassembly,12.25,120.0,2008-04-30,A,15,467,2008-03-31,True,2006-06-23,9999-12-31 00:00:00,9ec6b67e5d5a92f6912035b8b038f9a7a69ad72d50cdc712f8f1bbee4d3d3c4a
55,330,201,5,Metal Storage,0.0,0.0,2008-04-30,A,10,548,2008-03-31,True,2006-06-23,9999-12-31 00:00:00,2bc31c40e93dfe825d09996bfd6c9a5091570bbcfd26b3fe065c1cecbef5e28e
56,330,201,10,Frame Forming,22.5,96.0,2008-04-30,D,3,566,2008-03-31,True,2006-06-23,9999-12-31 00:00:00,33f2df960d52d67d4a1cb654351184978c12a55d28f4baebb3cfdbac8fbf2b5a
57,330,201,50,Subassembly,12.25,120.0,2008-04-30,A,16,457,2008-03-31,True,2006-06-23,9999-12-31 00:00:00,35379d081b4b335fd2fc16e1413bde904fc1f06ace54dee835a217604b8e6114
58,331,202,5,Metal Storage,0.0,0.0,2008-04-30,J,5,574,2008-03-31,True,2006-06-23,9999-12-31 00:00:00,771cdb9e968c11902fc1b4258a07b7040529697a969c620abdef272754a7e6a6
59,331,202,10,Frame Forming,22.5,96.0,2008-04-30,C,6,441,2008-03-31,True,2006-06-23,9999-12-31 00:00:00,a5dd745564854a2454c9a4f2f4557d62054516c5afc4163b951541fc50213f79
60,331,202,50,Subassembly,12.25,120.0,2008-04-30,A,12,390,2008-03-31,True,2006-06-23,9999-12-31 00:00:00,6ac26b93185f82e2c84cf13219d7c8d398539898685fb4a9762ef87cbc281bc3
61,332,203,5,Metal Storage,0.0,0.0,2008-04-30,J,6,344,2014-08-12,True,2006-06-23,9999-12-31 00:00:00,75d57558c13b8ab1308d649c115b8de4b0234581f9e7237c29237e112aa95f2d
62,332,203,10,Frame Forming,22.5,96.0,2008-04-30,C,7,233,2014-08-12,True,2006-06-23,9999-12-31 00:00:00,41b69987854b67758b3bb48aa36485125ee789a607b9f1422c51e5bdeaf84ea7
63,332,203,50,Subassembly,12.25,120.0,2008-04-30,A,13,267,2014-08-12,True,2006-06-23,9999-12-31 00:00:00,7d86fc698a8519b8d1b3aa8b57ca2d65f60fadd24e727f561e4e14ec1b64167d
64,341,204,1,Tool Crib,0.0,0.0,2008-04-30,E,4,372,2014-08-12,True,2006-06-23,9999-12-31 00:00:00,8ccc9683ebf1e091554d2da32c6499159b85bf531ab9d2ad3dd426fff510ba6f
65,341,204,50,Subassembly,12.25,120.0,2008-04-30,G,10,392,2014-08-12,True,2006-06-23,9999-12-31 00:00:00,7a6385510a7512cabd6233e9a8e8cae5c036ee1af98a2706d1a5d8663be5ca55
66,341,204,60,Final Assembly,12.25,120.0,2008-04-30,S,1,339,2014-08-12,True,2006-06-23,9999-12-31 00:00:00,235daeb8cd1e1c1974618f93443f6aaeb08ec14a4b826126b66440dc14060aed
67,342,205,1,Tool Crib,0.0,0.0,2008-04-30,E,5,369,2014-08-12,True,2006-06-23,9999-12-31 00:00:00,a1a432a0d24c49cb472db4c3d9bdef55b7fe4566c0fbd0ab0a86b9e657609d7c
68,342,205,50,Subassembly,12.25,120.0,2008-04-30,G,12,388,2014-08-12,True,2006-06-23,9999-12-31 00:00:00,3963b10480ddb1259ce150beb0212de8f4aef1f3c55bf9ca5a34d5aa339f411a
69,342,205,60,Final Assembly,12.25,120.0,2008-04-30,G,11,336,2014-08-12,True,2006-06-23,9999-12-31 00:00:00,af033d55cdf6e5729516ee7b8ca7c4617eb3f2043c0a5eb1584ed79caedea735
70,343,206,1,Tool Crib,0.0,0.0,2008-04-30,E,6,568,2014-08-10,True,2006-06-23,9999-12-31 00:00:00,0df92162484bb9ba7570d7f8284ecf3b2321c27df8d35ff58e332543e332a13b
71,343,206,50,Subassembly,12.25,120.0,2008-04-30,S,3,606,2014-08-10,True,2006-06-23,9999-12-31 00:00:00,ac7d0d0ab19b502efea69bf574d8d20af57c1033b2de3670b2359ebb46d988d2
72,343,206,60,Final Assembly,12.25,120.0,2008-04-30,S,2,499,2014-08-10,True,2006-06-23,9999-12-31 00:00:00,1f998b5a1155344d876e40e12526f34be3a2cab0c28fb2067c2f9f8fce97390b
73,344,207,1,Tool Crib,0.0,0.0,2008-04-30,E,7,358,2014-08-10,True,2006-06-23,9999-12-31 00:00:00,2c0ae70236a248c90989de0a2adb0939692f66c324d0eb44fa29519e39ac8928
74,344,207,50,Subassembly,12.25,120.0,2008-04-30,G,14,332,2014-08-10,True,2006-06-23,9999-12-31 00:00:00,9f4d7cbaca9fb2efe24173a17c0851aab209104ab3fb72a2376744b8fc28daa7
75,344,207,60,Final Assembly,12.25,120.0,2008-04-30,G,13,382,2014-08-10,True,2006-06-23,9999-12-31 00:00:00,6ceca2584ea553b55bfba00f88a845dad1c4934dee402cfa70b7d6f077388325
76,345,208,1,Tool Crib,0.0,0.0,2008-04-30,E,8,321,2014-08-10,True,2006-06-23,9999-12-31 00:00:00,33a99832588c117551eb146faffbbc0a9609bc559631bf6a10efc8f1939e0ace
77,345,208,50,Subassembly,12.25,120.0,2008-04-30,G,15,315,2014-08-10,True,2006-06-23,9999-12-31 00:00:00,c7034a49c002e6960e9e8ab99767a0c5e786a2fd47859f79dd0b53e5400059e6
78,345,208,60,Final Assembly,12.25,120.0,2008-04-30,S,4,300,2014-08-10,True,2006-06-23,9999-12-31 00:00:00,7cbff85b090ab7bef5a141af4335e23813d77eb84de51f5f2b4ee2a8e5f5c82b
79,346,170,1,Tool Crib,0.0,0.0,2008-04-30,E,9,585,2014-08-10,True,2006-06-23,9999-12-31 00:00:00,51ebe4ba4c25f45420edd698d5ffaee96244eef54cb107561f69b7fb0832ee1e
80,346,170,50,Subassembly,12.25,120.0,2008-04-30,S,6,476,2014-08-10,True,2006-06-23,9999-12-31 00:00:00,695d8c1e3f653cb16814437c990b96f4037789b3337d6ea28dce1a7c7efdc1a2
81,346,170,60,Final Assembly,12.25,120.0,2008-04-30,S,5,641,2014-08-10,True,2006-06-23,9999-12-31 00:00:00,01c8fc7aaf81755a8cd5c2621a03e499c6ab17379a0bfadb091dcb56948d5f02
82,347,158,1,Tool Crib,0.0,0.0,2008-04-30,E,10,318,2014-08-12,True,2006-06-23,9999-12-31 00:00:00,c2219daf75a5a515540ca8f1b849ce33f09374b1d3f3264cd3423628c91c54a4
83,347,158,50,Subassembly,12.25,120.0,2008-04-30,G,17,246,2014-08-12,True,2006-06-23,9999-12-31 00:00:00,f72d38ab64a0b4c4393f1242913585a073fae09c949ee4a13cffcfb008d452cb
84,347,158,60,Final Assembly,12.25,120.0,2008-04-30,G,16,332,2014-08-12,True,2006-06-23,9999-12-31 00:00:00,1756cf18439983eab0e329409f87cd5bd7e4400d8ffd847875d39cbb6f1da6c8
85,348,159,1,Tool Crib,0.0,0.0,2008-04-30,E,11,323,2014-08-12,True,2006-06-23,9999-12-31 00:00:00,5738e3b69b6807ca590b01c298ff7a3530e684ba0c5bc09bc6b5832a2da5b221
86,348,159,50,Subassembly,12.25,120.0,2008-04-30,S,8,251,2014-08-12,True,2006-06-23,9999-12-31 00:00:00,2a0fab148cc60ccc23ea1e2e4ada2d5eac6c23fcad652a6f6038aed687f803a5
87,348,159,60,Final Assembly,12.25,120.0,2008-04-30,S,7,337,2014-08-12,True,2006-06-23,9999-12-31 00:00:00,708024e711796466cf6f0544f18cfe01ce1df67745f2a789b9e2122e07c5b4fc
88,349,160,1,Tool Crib,0.0,0.0,2008-04-30,E,12,328,2014-08-12,True,2006-06-23,9999-12-31 00:00:00,2bc4588ad41a484d239b50b36d48af3e86c3b4063a0fa61398e2d0ff9a833946
89,349,160,50,Subassembly,12.25,120.0,2008-04-30,G,18,256,2014-08-12,True,2006-06-23,9999-12-31 00:00:00,af8f8267daeaef8c4b64846d927c34498fc4373bacb65a680db927ceac78fbc7
90,349,160,60,Final Assembly,12.25,120.0,2008-04-30,S,9,342,2014-08-12,True,2006-06-23,9999-12-31 00:00:00,69f6afa23b1d10d110e16d22d92a71ed2733e3ebd628cbe7d5b9ff4bbaad267b
91,350,161,5,Metal Storage,0.0,0.0,2008-04-30,J,2,622,2008-03-31,True,2006-06-23,9999-12-31 00:00:00,cf5da9e020d1608397aa9f59db3d619743d643f52762e06938376f0c16d6bfa2
92,350,161,10,Frame Forming,22.5,96.0,2008-04-30,C,3,406,2008-03-31,True,2006-06-23,9999-12-31 00:00:00,1055d711565daaca48503b977d72f0179a960af0306f47e62d7aa4f95be35e5e
93,350,161,50,Subassembly,12.25,120.0,2008-04-30,A,2,313,2008-03-31,True,2006-06-23,9999-12-31 00:00:00,61d912bc2643be795a7dc895ef9b4e9a4a2f97069dcf7204feebf73748090f72
94,351,162,5,Metal Storage,0.0,0.0,2008-04-30,J,3,179,2014-08-10,True,2006-06-23,9999-12-31 00:00:00,4ae69ad24a6a66e8f2d83fb18d6a1e7a9a536460577b68172f4b79e2ba2fd628
95,351,162,10,Frame Forming,22.5,96.0,2008-04-30,C,4,281,2014-08-10,True,2006-06-23,9999-12-31 00:00:00,fb9f0ad0724e1f9382fc2adb5b60cc9277b2f60d60d8f48a6e9ab5d7e5fc91bc
96,351,162,50,Subassembly,12.25,120.0,2008-04-30,A,3,145,2014-08-10,True,2006-06-23,9999-12-31 00:00:00,252c339832ac8ff1cd49b98d66bd0807be394a409e170e410bcb9b463b63f763
97,352,163,5,Metal Storage,0.0,0.0,2008-04-30,J,10,300,2014-08-10,True,2006-06-23,9999-12-31 00:00:00,28cf8ac82147970e2a3e8eb6e6a5cd4d2e9c53cbe2893bf6db3087cbba4bbdaa
98,352,163,10,Frame Forming,22.5,96.0,2008-04-30,C,1,278,2014-08-10,True,2006-06-23,9999-12-31 00:00:00,5d0b5e6d985ad4610b089975734e7b2a51fca72f70afcb809dc181715c9d61a6
99,352,163,50,Subassembly,12.25,120.0,2008-04-30,A,20,195,2014-08-10,True,2006-06-23,9999-12-31 00:00:00,9dcd9d58e02729674ea9d182df7f7138da57493d5e64c78156d42dae321afbf4
100,355,164,1,Tool Crib,0.0,0.0,2008-04-30,D,16,276,2014-08-05,True,2006-06-23,9999-12-31 00:00:00,25bf6d1ae0408dac496ad25d1ded2b9085130b377103c0914f15b82208fba0f2
101,355,164,6,Miscellaneous Storage,0.0,0.0,2008-04-30,H,16,257,2014-08-05,True,2006-06-23,9999-12-31 00:00:00,f8b5d9de622755d85f950a2647ea608aa5d3d4019f8354d80701b00b4cdb1331
102,355,164,50,Subassembly,12.25,120.0,2008-04-30,C,1,289,2014-08-05,True,2006-06-23,9999-12-31 00:00:00,9ce5e54a4316a61f370fe685170d1ed7b3f4259893b356c4ee291dd8e4b2455c
103,356,165,1,Tool Crib,0.0,0.0,2008-04-30,D,17,262,2014-08-12,True,2006-06-23,9999-12-31 00:00:00,7131fcc020fb01af2fa392a266b792b2359a5e0b44aa42cd89c86e1c0e666afb
104,356,165,6,Miscellaneous Storage,0.0,0.0,2008-04-30,H,17,243,2014-08-12,True,2006-06-23,9999-12-31 00:00:00,b9c0f802bbad8ed432d1f1683a1110fe8180bce02fb53cae87362f10cfb1699e
105,356,165,50,Subassembly,12.25,120.0,2008-04-30,C,2,275,2014-08-12,True,2006-06-23,9999-12-31 00:00:00,401cc1e5ab165895d1563fd0684e63b31a732aa6b21db731c76ab1c9c2d61934
106,357,166,1,Tool Crib,0.0,0.0,2008-04-30,D,18,248,2014-08-12,True,2006-06-23,9999-12-31 00:00:00,b873f051f6b8bc3b1690184e93b3f812e2c308f7336332984fdefd584465d95b
107,357,166,6,Miscellaneous Storage,0.0,0.0,2008-04-30,H,18,228,2014-08-12,True,2006-06-23,9999-12-31 00:00:00,d3e318bf5552899c6dc810b0b06374b70d219d3099725d8181513eeeff1f3e0e
108,357,166,50,Subassembly,12.25,120.0,2008-04-30,C,3,260,2014-08-12,True,2006-06-23,9999-12-31 00:00:00,9bbab1c6345e417dbd3f12834924351faa1d743b3982ffa5a2b4564428db95ab
109,358,167,1,Tool Crib,0.0,0.0,2008-04-30,D,19,233,2014-08-12,True,2006-06-23,9999-12-31 00:00:00,b5baa5e0c33278dc0022705c026cb52852b6982bd1d415311e415398eba773f2
110,358,167,6,Miscellaneous Storage,0.0,0.0,2008-04-30,H,19,214,2014-08-12,True,2006-06-23,9999-12-31 00:00:00,acf27f0bec849e6cd639e09b9152328bcdb6a0015dc69b8f46be9a4a61ce0c18
111,358,167,50,Subassembly,12.25,120.0,2008-04-30,C,4,246,2014-08-12,True,2006-06-23,9999-12-31 00:00:00,f6c3d814bcc02321ac0e648260165424a854fa5a559be00c3e5c5f8a8a71afa1
112,359,168,1,Tool Crib,0.0,0.0,2008-04-30,C,8,369,2014-07-28,True,2006-06-23,9999-12-31 00:00:00,9fbcb73076ba5118c5c994773e1a99f45c28625c3847fb79be71cb25947682c3
113,359,168,6,Miscellaneous Storage,0.0,0.0,2008-04-30,R,1,360,2014-07-28,True,2006-06-23,9999-12-31 00:00:00,316543b5f5771a2a4a03e22625e3291d1b1b4b434882d54dc2b8d1fca5cec28b
114,359,168,50,Subassembly,12.25,120.0,2008-04-30,E,1,374,2014-07-28,True,2006-06-23,9999-12-31 00:00:00,b733a759e43b53a626fde6c556b01121f851420a50480c6dbf7ae9c6a52e7946
115,360,169,1,Tool Crib,0.0,0.0,2008-04-30,C,9,363,2014-07-28,True,2006-06-23,9999-12-31 00:00:00,968daf32cef03709eb7c515650f6f38cf4599c0a3c34448bb7483234dc3d5980
116,360,169,6,Miscellaneous Storage,0.0,0.0,2008-04-30,R,2,353,2014-07-28,True,2006-06-23,9999-12-31 00:00:00,9a4eb6121faf07481508ef9d172c17bf87e48018e3c5da6eeb31dd770b9d0df8
117,360,169,50,Subassembly,12.25,120.0,2008-04-30,E,2,368,2014-07-28,True,2006-06-23,9999-12-31 00:00:00,76ca3c8b8ac91ad4d4bf52c7dfecb02f0c9eea0964608b7fed5234c62dc9fe83
118,361,157,1,Tool Crib,0.0,0.0,2008-04-30,C,10,499,2014-08-03,True,2006-06-23,9999-12-31 00:00:00,18c463afbbf4bdcd23e4d85eeba03003dc70868afb6619899dd0b615ff549ca5
119,361,157,6,Miscellaneous Storage,0.0,0.0,2008-04-30,R,3,601,2014-08-03,True,2006-06-23,9999-12-31 00:00:00,523beae0d799def5c4982b608c645eaaa2286d2db4a260b1bbb82d4ee5b11b71
120,361,157,50,Subassembly,12.25,120.0,2008-04-30,E,3,531,2014-08-03,True,2006-06-23,9999-12-31 00:00:00,3f3fac6b087f4a30adbb87e22a15438f2429c48b0663fd82277837b95eb77eb3
121,362,171,1,Tool Crib,0.0,0.0,2008-04-30,C,11,377,2014-08-03,True,2006-06-23,9999-12-31 00:00:00,aef2c996555eaed547e5253040c00c0174681c344361360def35e9325d9742d4
122,362,171,6,Miscellaneous Storage,0.0,0.0,2008-04-30,R,4,315,2014-08-03,True,2006-06-23,9999-12-31 00:00:00,52a865450b655c421f4f963c822e16c761964446394a6fd7317cf4d169d80d6b
123,362,171,50,Subassembly,12.25,120.0,2008-04-30,E,4,334,2014-08-03,True,2006-06-23,9999-12-31 00:00:00,096971d199e08b7e48fbcf265d46d96e3f4744da43595ba73c01c68c27b75010
124,363,172,1,Tool Crib,0.0,0.0,2008-04-30,C,12,499,2014-08-03,True,2006-06-23,9999-12-31 00:00:00,0b3c823ee4a13e64ba9f49acc5d42884169b74e34c645f5c9759d6a26658c093
125,363,172,6,Miscellaneous Storage,0.0,0.0,2008-04-30,R,5,643,2014-08-03,True,2006-06-23,9999-12-31 00:00:00,90269983aa8b1bde87aa8eee737b30abc77de05d93843b9eddc63389f39c46cc
126,363,172,50,Subassembly,12.25,120.0,2008-04-30,E,5,619,2014-08-03,True,2006-06-23,9999-12-31 00:00:00,d1ac81976b99f87040c9357ce2c9f8579d8e523c5899376bad3195741b67c068
