WORKORDERROUTINGKEY,WORKORDERID,PRODUCTID,PRODUCTKEY,OPERATIONSEQUENCE,LOCATIONID,LOCATIONNAME,COSTRATE,AVAILABILITY,LOCATIONMODIFIEDDATE,SCHEDULEDSTARTDATE,SCHEDULEDENDDATE,ACTUALSTARTDATE,ACTUALENDDATE,ACTUALRESOURCEHRS,PLANNEDCOST,ACTUALCOST,ROUTINGMODIFIEDDATE,SCRAPREASONNAME,SCRAPMODIFIEDDATE,ISCURRENT,STARTDATE,ENDDATE,HASHDIFF
12,14,748,400,7,60,Final Assembly,12.25,120.0,2008-04-30,2011-06-03,2011-06-14,2011-06-03,2011-06-19,4.0,49.0,49.0,2011-06-19,,,True,2006-06-23,9999-12-31 00:00:00,6024f8987531b58eca36320ab702b324f555f316202e90da78a3cc7c4ebf579b
13,15,749,317,7,60,Final Assembly,12.25,120.0,2008-04-30,2011-06-03,2011-06-14,2011-06-03,2011-06-19,4.0,49.0,49.0,2011-06-19,,,True,2006-06-23,9999-12-31 00:00:00,e5240b56707c0e8eb09f9fad3b53523e65e75848375706cfe835a7ff4f89aaa7
14,16,753,316,7,60,Final Assembly,12.25,120.0,2008-04-30,2011-06-03,2011-06-14,2011-06-03,2011-06-19,4.0,49.0,49.0,2011-06-19,,,True,2006-06-23,9999-12-31 00:00:00,4d70f620fd441cb0d531f5cb583486610800e6bdfc038205c2ed6b4294e1fcf7
15,17,754,334,7,60,Final Assembly,12.25,120.0,2008-04-30,2011-06-03,2011-06-14,2011-06-03,2011-06-19,4.0,49.0,49.0,2011-06-19,,,True,2006-06-23,9999-12-31 00:00:00,472a6bd39b007cc88d9f318f6377e6f4174e65663717281bb1413d287e5212d0
16,18,755,333,7,60,Final Assembly,12.25,120.0,2008-04-30,2011-06-03,2011-06-14,2011-06-03,2011-06-19,4.0,49.0,49.0,2011-06-19,,,True,2006-06-23,9999-12-31 00:00:00,72b9d23b8866452166782069c174979539f806b6597bc0df6da29570e38f0167
17,19,756,332,7,60,Final Assembly,12.25,120.0,2008-04-30,2011-06-03,2011-06-14,2011-06-03,2011-06-19,4.0,49.0,49.0,2011-06-19,,,True,2006-06-23,9999-12-31 00:00:00,fc9268d3de487828d8503146b8931aace3e4fd54b87024f6356a92f86bda1bc9
18,20,758,330,7,60,Final Assembly,12.25,120.0,2008-04-30,2011-06-03,2011-06-14,2011-06-03,2011-06-19,4.0,49.0,49.0,2011-06-19,,,True,2006-06-23,9999-12-31 00:00:00,5596121a8a62f7a872c366f43b15fbee93b9f7ae853558734dbd134a14f4031f
19,21,760,350,7,60,Final Assembly,12.25,120.0,2008-04-30,2011-06-03,2011-06-14,2011-06-03,2011-06-19,4.0,49.0,49.0,2011-06-19,,,True,2006-06-23,9999-12-31 00:00:00,e78fd5c1bf8c32018ab3a7bd75a1e15986d5c3cd4bac73a76583f7f6aad68280
20,22,761,349,7,60,Final Assembly,12.25,120.0,2008-04-30,2011-06-03,2011-06-14,2011-06-03,2011-06-19,4.0,49.0,49.0,2011-06-19,,,True,2006-06-23,9999-12-31 00:00:00,dc64eca15c878680166bbe634c7ab402e195dac063d32bcb27c00dc31fa68a55
21,23,762,348,7,60,Final Assembly,12.25,120.0,2008-04-30,2011-06-03,2011-06-14,2011-06-03,2011-06-19,4.0,49.0,49.0,2011-06-19,,,True,2006-06-23,9999-12-31 00:00:00,06b12bd758966873ea15894563be5016d339dfc213f99f3f1b50f165050b4128
22,24,763,347,7,60,Final Assembly,12.25,120.0,2008-04-30,2011-06-03,2011-06-14,2011-06-03,2011-06-19,4.0,49.0,49.0,2011-06-19,,,True,2006-06-23,9999-12-31 00:00:00,eab4d9542ab5d5fe49ecbf49867e77015f7490277e35ff4c7a8e117a1356e17e
23,25,764,346,7,60,Final Assembly,12.25,120.0,2008-04-30,2011-06-03,2011-06-14,2011-06-03,2011-06-19,4.0,49.0,49.0,2011-06-19,,,True,2006-06-23,9999-12-31 00:00:00,91e5be310c8f1987d29fa869c7f4f6e228409240188ef5bf44a9a6ddaaa9f9cc
24,26,765,345,7,60,Final Assembly,12.25,120.0,2008-04-30,2011-06-03,2011-06-14,2011-06-03,2011-06-19,4.0,49.0,49.0,2011-06-19,,,True,2006-06-23,9999-12-31 00:00:00,5c0874d5a4c5e70f389e1d983da309c4209eaf0765e732b8d82db59ef931d478
25,27,766,344,7,60,Final Assembly,12.25,120.0,2008-04-30,2011-06-03,2011-06-14,2011-06-03,2011-06-19,4.0,49.0,49.0,2011-06-19,,,True,2006-06-23,9999-12-31 00:00:00,d727618cb6edf756a72f35ab777855db46d2ffe6c3f4f4132cd5958c95024cb3
26,28,767,343,7,60,Final Assembly,12.25,120.0,2008-04-30,2011-06-03,2011-06-14,2011-06-03,2011-06-19,4.0,49.0,49.0,2011-06-19,,,True,2006-06-23,9999-12-31 00:00:00,9471eca2269cbfe2f3e6aff03642ef348098d6d995be64310f4250953c124d5a
27,29,768,342,7,60,Final Assembly,12.25,120.0,2008-04-30,2011-06-03,2011-06-14,2011-06-03,2011-06-19,4.0,49.0,49.0,2011-06-19,,,True,2006-06-23,9999-12-31 00:00:00,6f549c17a4cba96125bd11c5edd88748deef68a32f9c37797fec399fcf6459a9
28,30,770,340,7,60,Final Assembly,12.25,120.0,2008-04-30,2011-06-03,2011-06-14,2011-06-03,2011-06-19,4.0,49.0,49.0,2011-06-19,,,True,2006-06-23,9999-12-31 00:00:00,3f630cf9b10e522c75766af12fa967963a90b9e39736e62211ca04ab220cfb9e
29,31,771,14,7,60,Final Assembly,12.25,120.0,2008-04-30,2011-06-03,2011-06-14,2011-06-03,2011-06-19,4.0,49.0,49.0,2011-06-19,,,True,2006-06-23,9999-12-31 00:00:00,ff8ddd9b4fdaac2f5837b68cc9073e5d2dc0c8fc5c0ab05ee7475cf5f967d665
30,32,772,11,7,60,Final Assembly,12.25,120.0,2008-04-30,2011-06-03,2011-06-14,2011-06-03,2011-06-19,4.0,49.0,49.0,2011-06-19,,,True,2006-06-23,9999-12-31 00:00:00,a794043d478ccd9663978c935470e3979cd1542929485b1ac27d59ddd4e50d3a
31,33,773,12,7,60,Final Assembly,12.25,120.0,2008-04-30,2011-06-03,2011-06-14,2011-06-03,2011-06-19,4.0,49.0,49.0,2011-06-19,,,True,2006-06-23,9999-12-31 00:00:00,9bb1bcae6a46659ddd6d5b2114a3dff568f67f5cf8fe826e5585a83972afaf28
32,34,774,13,7,60,Final Assembly,12.25,120.0,2008-04-30,2011-06-03,2011-06-14,2011-06-03,2011-06-19,4.0,49.0,49.0,2011-06-19,,,True,2006-06-23,9999-12-31 00:00:00,7822c3206107e727eae69bdac7e690912162d4c699abf867f81cbbd29b922f38
33,35,775,15,7,60,Final Assembly,12.25,120.0,2008-04-30,2011-06-03,2011-06-14,2011-06-03,2011-06-19,4.0,49.0,49.0,2011-06-19,,,True,2006-06-23,9999-12-31 00:00:00,66a6a9585cee8607d1e02e836b03f94f53198bac5122b90a103917cca4162d93
34,36,776,16,7,60,Final Assembly,12.25,120.0,2008-04-30,2011-06-03,2011-06-14,2011-06-03,2011-06-19,4.0,49.0,49.0,2011-06-19,,,True,2006-06-23,9999-12-31 00:00:00,386e71b02f4e342858c4e63abf2535fe07c9985ea71cccfb052f828f5c245f07
35,37,777,17,7,60,Final Assembly,12.25,120.0,2008-04-30,2011-06-03,2011-06-14,2011-06-03,2011-06-19,4.0,49.0,49.0,2011-06-19,,,True,2006-06-23,9999-12-31 00:00:00,d5e64d32017339b61a2164924294b4f61f30552d0136bb3b23c7a6a2b4ceae33
36,38,778,18,7,60,Final Assembly,12.25,120.0,2008-04-30,2011-06-03,2011-06-14,2011-06-03,2011-06-19,4.0,49.0,49.0,2011-06-19,,,True,2006-06-23,9999-12-31 00:00:00,2bd6a5166931b32d7b126b0355f11215314c7df633187c451813778f92f633fe
37,39,516,54,6,50,Subassembly,12.25,120.0,2008-04-30,2011-06-03,2011-06-14,2011-06-03,2011-06-19,3.0,36.75,36.75,2011-06-19,,,True,2006-06-23,9999-12-31 00:00:00,384025edcaafa33cc27c80640e5a18180645219ed4dc04e4824fde9ffe9cbe88
38,39,516,54,7,60,Final Assembly,12.25,120.0,2008-04-30,2011-06-03,2011-06-14,2011-06-03,2011-06-19,4.0,49.0,49.0,2011-06-19,,,True,2006-06-23,9999-12-31 00:00:00,d3ec5432e15d4e612901770f1a42dc1bf9eaf59504831ca5a8ccd714dd26af03
39,40,517,59,6,50,Subassembly,12.25,120.0,2008-04-30,2011-06-03,2011-06-14,2011-06-03,2011-06-19,3.0,36.75,36.75,2011-06-19,,,True,2006-06-23,9999-12-31 00:00:00,5b23dac4d7f00a294438de5b36fba400b020b0f91d9de28f24d089115da76125
40,40,517,59,7,60,Final Assembly,12.25,120.0,2008-04-30,2011-06-03,2011-06-14,2011-06-03,2011-06-19,4.0,49.0,49.0,2011-06-19,,,True,2006-06-23,9999-12-31 00:00:00,d14f9a2925098ba42ac5b548d4cd33e41cb3ef3b7d3e00bae564ec35132d3632
41,41,518,56,6,50,Subassembly,12.25,120.0,2008-04-30,2011-06-03,2011-06-14,2011-06-03,2011-06-19,3.0,36.75,36.75,2011-06-19,Handling damage,2008-04-30,True,2006-06-23,9999-12-31 00:00:00,62e1c6d30126a61035e5644f2d5bd8a0e801ed3b7350d2df107a5446b8dc7ba2
42,41,518,56,7,60,Final Assembly,12.25,120.0,2008-04-30,2011-06-03,2011-06-14,2011-06-03,2011-06-19,4.0,49.0,49.0,2011-06-19,Handling damage,2008-04-30,True,2006-06-23,9999-12-31 00:00:00,786b150c1d0731b9747af5a27f20325e3cfe428af46b876ccd8251c6935b397b
43,42,519,52,6,50,Subassembly,12.25,120.0,2008-04-30,2011-06-03,2011-06-14,2011-06-03,2011-06-19,3.0,36.75,36.75,2011-06-19,,,True,2006-06-23,9999-12-31 00:00:00,77731e19221823dbb4c7ba81409f9414534d4654d050fd518c36ca1443a71d8e
44,42,519,52,7,60,Final Assembly,12.25,120.0,2008-04-30,2011-06-03,2011-06-14,2011-06-03,2011-06-19,4.0,49.0,49.0,2011-06-19,,,True,2006-06-23,9999-12-31 00:00:00,f393e089f1af8c74f48fff8c1d041161e4990c92674f7f10f350147efa8c54a9
45,65,747,406,1,10,Frame Forming,22.5,96.0,2008-04-30,2011-06-03,2011-06-14,2011-06-03,2011-06-19,4.1,92.25,92.25,2011-06-19,,,True,2006-06-23,9999-12-31 00:00:00,4ee08b96178549fe512d25eedb38cc0793bff651663561dbe1bdc6cde5d7fc25
46,65,747,406,2,20,Frame Welding,25.0,108.0,2008-04-30,2011-06-03,2011-06-14,2011-06-03,2011-06-19,3.5,87.5,87.5,2011-06-19,,,True,2006-06-23,9999-12-31 00:00:00,2e2432c83849c9e20d961d5d8486424328141dd03161d9c96f437895cecc483f
47,65,747,406,3,30,Debur and Polish,14.5,120.0,2008-04-30,2011-06-03,2011-06-14,2011-06-03,2011-06-19,1.0,14.5,14.5,2011-06-19,,,True,2006-06-23,9999-12-31 00:00:00,34a02a18f125bec3cc5db599449bbd55f5d82b96549de5d60b17742f48714ec1
48,65,747,406,4,40,Paint,15.75,120.0,2008-04-30,2011-06-03,2011-06-14,2011-06-03,2011-06-19,2.0,31.5,31.5,2011-06-19,,,True,2006-06-23,9999-12-31 00:00:00,a68cbd71e54f8cd5fba11d18180e99986a2b2c20a0c910677f4aa4c0fc1cf321
49,65,747,406,6,50,Subassembly,12.25,120.0,2008-04-30,2011-06-03,2011-06-14,2011-06-03,2011-06-19,3.0,36.75,36.75,2011-06-19,,,True,2006-06-23,9999-12-31 00:00:00,b4829a3a3b9a341c1f8732c475fc922f3809a062e63f3cabe49b4113951c4ada
50,65,747,406,7,60,Final Assembly,12.25,120.0,2008-04-30,2011-06-03,2011-06-14,2011-06-03,2011-06-19,4.0,49.0,49.0,2011-06-19,,,True,2006-06-23,9999-12-31 00:00:00,6655e5cc5de4883de8a6976f1acc9940e0e7bbcb8fe559f791139088fe0b3acf
51,66,748,400,1,10,Frame Forming,22.5,96.0,2008-04-30,2011-06-03,2011-06-14,2011-06-03,2011-06-19,4.1,92.25,92.25,2011-06-19,,,True,2006-06-23,9999-12-31 00:00:00,b914e5b2b4e74c46bdf48a873113e68b7a06df79f094643e402a6116ccb6e7cf
52,66,748,400,2,20,Frame Welding,25.0,108.0,2008-04-30,2011-06-03,2011-06-14,2011-06-03,2011-06-19,3.5,87.5,87.5,2011-06-19,,,True,2006-06-23,9999-12-31 00:00:00,744b26e9c918c4fee3963c921e77efc964b79f3a732de18601cada39c2a09cc3
53,66,748,400,3,30,Debur and Polish,14.5,120.0,2008-04-30,2011-06-03,2011-06-14,2011-06-03,2011-06-19,1.0,14.5,14.5,2011-06-19,,,True,2006-06-23,9999-12-31 00:00:00,0738c5fb71c1c80c3c53389ae93f47f9ca156e34a7d8c72f66351e4ff8b12f8e
54,66,748,400,5,45,Specialized Paint,18.0,80.0,2008-04-30,2011-06-03,2011-06-14,2011-06-03,2011-06-19,2.0,36.0,36.0,2011-06-19,,,True,2006-06-23,9999-12-31 00:00:00,bc436adfa442c8bba456bd3566c0ff6914620b3f12e32b813b427a07b90b1d6b
55,66,748,400,6,50,Subassembly,12.25,120.0,2008-04-30,2011-06-03,2011-06-14,2011-06-03,2011-06-19,3.0,36.75,36.75,2011-06-19,,,True,2006-06-23,9999-12-31 00:00:00,502a015b96f0eac504dca8e7471e9a9a854655ce0d59fdd70751e2be3843cd12
56,66,748,400,7,60,Final Assembly,12.25,120.0,2008-04-30,2011-06-03,2011-06-14,2011-06-03,2011-06-19,4.0,49.0,49.0,2011-06-19,,,True,2006-06-23,9999-12-31 00:00:00,8d0f6c43f72469a9f5fcd244f19ef7f0b28d29fb147534622d5f0c4405c277d0
57,67,806,467,6,50,Subassembly,12.25,120.0,2008-04-30,2011-06-03,2011-06-14,2011-06-03,2011-06-19,3.0,36.75,36.75,2011-06-19,,,True,2006-06-23,9999-12-31 00:00:00,e48b87033d232236c3c0d5d7624553455fc92ef8bbb5227de3eb6a75e8b03512
58,68,807,466,6,50,Subassembly,12.25,120.0,2008-04-30,2011-06-03,2011-06-14,2011-06-03,2011-06-19,3.0,36.75,36.75,2011-06-19,,,True,2006-06-23,9999-12-31 00:00:00,d6bbb341231458a86574be9b1695ebf0d588982132e418aa9daffb40478694b4
59,69,810,448,1,10,Frame Forming,22.5,96.0,2008-04-30,2011-06-03,2011-06-14,2011-06-03,2011-06-19,4.1,92.25,92.25,2011-06-19,Stress test failed,2008-04-30,True,2006-06-23,9999-12-31 00:00:00,f753de1c273cb9ec08a03ce53d54edeac4737f1ea9e8c1321cd47a314cf0ded3
60,69,810,448,2,20,Frame Welding,25.0,108.0,2008-04-30,2011-06-03,2011-06-14,2011-06-03,2011-06-19,3.5,87.5,87.5,2011-06-19,Stress test failed,2008-04-30,True,2006-06-23,9999-12-31 00:00:00,8b811e338af0a52ddce82a63251686401758b9fc3d2e5f24962db8336814c2c4
61,69,810,448,6,50,Subassembly,12.25,120.0,2008-04-30,2011-06-03,2011-06-14,2011-06-03,2011-06-19,3.0,36.75,36.75,2011-06-19,Stress test failed,2008-04-30,True,2006-06-23,9999-12-31 00:00:00,086dc055aee281cc739a3e0883c27ca9f1b28a2086c8e8614a1679ca2210a882
62,70,811,455,1,10,Frame Forming,22.5,96.0,2008-04-30,2011-06-03,2011-06-14,2011-06-03,2011-06-19,4.1,92.25,92.25,2011-06-19,,,True,2006-06-23,9999-12-31 00:00:00,b035712aa1a0ef800a96fa7cfd530f1ebf2939e0f418f3c7f33a7f46e0eaeaeb
63,70,811,455,2,20,Frame Welding,25.0,108.0,2008-04-30,2011-06-03,2011-06-14,2011-06-03,2011-06-19,3.5,87.5,87.5,2011-06-19,,,True,2006-06-23,9999-12-31 00:00:00,5f4fe1ad75bb1a7a102af676cadf07634d381ea765ec42c84eacc5c62e4304d0
64,70,811,455,6,50,Subassembly,12.25,120.0,2008-04-30,2011-06-03,2011-06-14,2011-06-03,2011-06-19,3.0,36.75,36.75,2011-06-19,,,True,2006-06-23,9999-12-31 00:00:00,18dda58970db95b70016878bc7d5cc802b0e5bbb2974573bafa11a2f1cef4c64
65,71,812,452,1,10,Frame Forming,22.5,96.0,2008-04-30,2011-06-03,2011-06-14,2011-06-03,2011-06-19,4.1,92.25,92.25,2011-06-19,,,True,2006-06-23,9999-12-31 00:00:00,2c60f82cc979a2f63b272d436594a287c477a01defe767ddbea021440edc29f7
66,71,812,452,2,20,Frame Welding,25.0,108.0,2008-04-30,2011-06-03,2011-06-14,2011-06-03,2011-06-19,3.5,87.5,87.5,2011-06-19,,,True,2006-06-23,9999-12-31 00:00:00,b0c936fa19c14a15a2532fe2cb059844c7e795250ee8fd8506a2dd91c7f79347
67,71,812,452,6,50,Subassembly,12.25,120.0,2008-04-30,2011-06-03,2011-06-14,2011-06-03,2011-06-19,3.0,36.75,36.75,2011-06-19,,,True,2006-06-23,9999-12-31 00:00:00,f77204b5141ec3bef1aea858583e7103a9308f7898a74782041b2e7ef642e05b
68,72,813,449,1,10,Frame Forming,22.5,96.0,2008-04-30,2011-06-03,2011-06-14,2011-06-03,2011-06-19,4.1,92.25,92.25,2011-06-19,,,True,2006-06-23,9999-12-31 00:00:00,40a062d8d3f80ae4a4de84008cee722922b63eefd9fa8142b1081dd296bf1f06
69,72,813,449,2,20,Frame Welding,25.0,108.0,2008-04-30,2011-06-03,2011-06-14,2011-06-03,2011-06-19,3.5,87.5,87.5,2011-06-19,,,True,2006-06-23,9999-12-31 00:00:00,ee37b6c7858b2f6d23d1470cc72edf1217f13eccf61de445e32719d55b3363fc
70,72,813,449,6,50,Subassembly,12.25,120.0,2008-04-30,2011-06-03,2011-06-14,2011-06-03,2011-06-19,3.0,36.75,36.75,2011-06-19,,,True,2006-06-23,9999-12-31 00:00:00,3781902420bd4eb64b0b622e375459b55fa210b815239ff3d4c8c8d4bfbd7e53
71,73,817,475,6,50,Subassembly,12.25,120.0,2008-04-30,2011-06-03,2011-06-14,2011-06-03,2011-06-19,3.0,36.75,36.75,2011-06-19,,,True,2006-06-23,9999-12-31 00:00:00,cd8ecadd7d51b6e1edbc291c557d9db70bf78954f266f5bd39d77b52a07f56e7
72,74,818,484,6,50,Subassembly,12.25,120.0,2008-04-30,2011-06-03,2011-06-14,2011-06-03,2011-06-19,3.0,36.75,36.75,2011-06-19,,,True,2006-06-23,9999-12-31 00:00:00,aa5b748fc8160bd7d690a42f78898b44c01cff05afcc5498cef8c3f3950c3823
73,75,819,477,6,50,Subassembly,12.25,120.0,2008-04-30,2011-06-03,2011-06-14,2011-06-03,2011-06-19,3.0,36.75,36.75,2011-06-19,,,True,2006-06-23,9999-12-31 00:00:00,1871bebb353da273d79c3cf1ddbd24018568f2f4d55557d7d6698ddcdfe70c18
74,76,820,473,6,50,Subassembly,12.25,120.0,2008-04-30,2011-06-03,2011-06-14,2011-06-03,2011-06-19,3.0,36.75,36.75,2011-06-19,,,True,2006-06-23,9999-12-31 00:00:00,78f981b3d8b4ca75d484d92164664e4ead804145f406e4a953e9c7f9ffefb698
75,77,825,474,6,50,Subassembly,12.25,120.0,2008-04-30,2011-06-03,2011-06-14,2011-06-03,2011-06-19,3.0,36.75,36.75,2011-06-19,,,True,2006-06-23,9999-12-31 00:00:00,bb4ae58a7af2599738d48180bb7c8823b1171d20e35414772e4b0b1b58b2d51f
76,78,826,482,6,50,Subassembly,12.25,120.0,2008-04-30,2011-06-03,2011-06-14,2011-06-03,2011-06-19,3.0,36.75,36.75,2011-06-19,,,True,2006-06-23,9999-12-31 00:00:00,5c15eedc716d9f8361634360546eaf429ec1e19ba074baab4c356575833f2d63
77,79,827,476,6,50,Subassembly,12.25,120.0,2008-04-30,2011-06-03,2011-06-14,2011-06-03,2011-06-19,3.0,36.75,36.75,2011-06-19,,,True,2006-06-23,9999-12-31 00:00:00,cbfaaa43735ed45ffc595523d7b5b8fbe436eb7f478a4a7a2c1e896ad399de17
78,80,828,472,6,50,Subassembly,12.25,120.0,2008-04-30,2011-06-03,2011-06-14,2011-06-03,2011-06-19,3.0,36.75,36.75,2011-06-19,,,True,2006-06-23,9999-12-31 00:00:00,dd9d1736e2afdf7520cd454064627cb3f0286242a327b480cf1974377c438d30
79,81,894,47,6,50,Subassembly,12.25,120.0,2008-04-30,2011-06-03,2011-06-14,2011-06-03,2011-06-19,3.0,36.75,36.75,2011-06-19,,,True,2006-06-23,9999-12-31 00:00:00,47707957b83d854ec29b17c34cfd16889d7ccbf13a76dbcccf68d8317f48275a
80,82,945,48,1,10,Frame Forming,22.5,96.0,2008-04-30,2011-06-03,2011-06-14,2011-06-03,2011-06-19,4.1,92.25,92.25,2011-06-19,,,True,2006-06-23,9999-12-31 00:00:00,584b6792cfafc3437cb1f265c1b4c23353b02a41b83970eff9ed0fdc0d1ae62e
81,82,945,48,6,50,Subassembly,12.25,120.0,2008-04-30,2011-06-03,2011-06-14,2011-06-03,2011-06-19,3.0,36.75,36.75,2011-06-19,,,True,2006-06-23,9999-12-31 00:00:00,2d7d979cdc6d95e9f45225aa8c98b4ecb727c5d2c07d381ed4a35a639b6583d1
82,83,950,306,6,50,Subassembly,12.25,120.0,2008-04-30,2011-06-03,2011-06-14,2011-06-03,2011-06-19,3.0,36.75,36.75,2011-06-19,,,True,2006-06-23,9999-12-31 00:00:00,09a86c5ab4c1feba921b2932f29d70f6a436da387f8c54fce64e325b15fbf157
83,84,951,305,6,50,Subassembly,12.25,120.0,2008-04-30,2011-06-03,2011-06-14,2011-06-03,2011-06-19,3.0,36.75,36.75,2011-06-19,,,True,2006-06-23,9999-12-31 00:00:00,140f1aa549f94626aeace2cd87c64f07e20bc715222abb34033e622024b27315
84,85,994,427,6,50,Subassembly,12.25,120.0,2008-04-30,2011-06-03,2011-06-14,2011-06-03,2011-06-19,3.0,36.75,36.75,2011-06-19,Trim length too long,2008-04-30,True,2006-06-23,9999-12-31 00:00:00,12e41e6a57edcbc0293b6b26833f5f33e84a5202a0d672aa356b3dffc7e0906a
85,86,995,426,6,50,Subassembly,12.25,120.0,2008-04-30,2011-06-03,2011-06-14,2011-06-03,2011-06-19,3.0,36.75,36.75,2011-06-19,,,True,2006-06-23,9999-12-31 00:00:00,22bae60a60b3992a9bda9c8e7ada92ddc6c20427deb33468b52b3674b4341a8e
86,87,996,425,6,50,Subassembly,12.25,120.0,2008-04-30,2011-06-03,2011-06-14,2011-06-03,2011-06-19,3.0,36.75,36.75,2011-06-19,,,True,2006-06-23,9999-12-31 00:00:00,4fe6da5f8046d3b26578fce0e8e0fad4108d040614eeb18204432d6778359e10
87,101,802,3,1,10,Frame Forming,22.5,96.0,2008-04-30,2011-06-03,2011-06-14,2011-06-03,2011-06-19,4.1,92.25,92.25,2011-06-19,,,True,2006-06-23,9999-12-31 00:00:00,d867432827d1aadac94decd40e670c40b43bd98bccd81cddfb4a6e5853328be1
88,101,802,3,6,50,Subassembly,12.25,120.0,2008-04-30,2011-06-03,2011-06-14,2011-06-03,2011-06-19,3.0,36.75,36.75,2011-06-19,,,True,2006-06-23,9999-12-31 00:00:00,cbe9ccca0f6ad76e025fa6f6c6393e08ec6e0f9a3e29a6e76c5047d940a2976e
89,102,803,2,1,10,Frame Forming,22.5,96.0,2008-04-30,2011-06-03,2011-06-14,2011-06-03,2011-06-19,4.1,92.25,92.25,2011-06-19,,,True,2006-06-23,9999-12-31 00:00:00,82152a636ac16302597212cf4953311e81b3ca8f1fa37ebd942f2d3ba2bc1afb
90,102,803,2,6,50,Subassembly,12.25,120.0,2008-04-30,2011-06-03,2011-06-14,2011-06-03,2011-06-19,3.0,36.75,36.75,2011-06-19,,,True,2006-06-23,9999-12-31 00:00:00,00af82df472d90dcfd9e58bfa5da1e619d4c2f86faff238f8a32707bcd4d36bf
