SALESORDERDETAILKEY,SALESORDERID,SALESORDERDETAILID,CARRIERTRACKINGNUMBER,ORDERQTY,PRODUCTKEY,SPECIALOFFERKEY,SALESORDERHEADERKEY,UNITPRICE,UNITPRICEDISCOUNT,LINETOTAL,TOTALORDERQTYPERORDER,TOTALLINETOTALPERORDER,PRODUCTRANKINORDER,DETAILMODIFIEDDATE,ISCURRENT
56,64592,87039,,1,43,6,26079,8.99,0.0,8.99,6,2588.33,4,2014-01-19,True
57,64592,87036,,1,502,6,26079,4.99,0.0,4.99,6,2588.33,5,2014-01-19,True
58,64592,87037,,1,504,16,26079,2.29,0.0,2.29,6,2588.33,6,2014-01-19,True
59,44339,2697,,1,313,6,725,3578.27,0.0,3578.27,1,3578.27,1,2011-09-04,True
60,61874,78642,,1,496,6,23434,29.99,0.0,29.99,2,38.98,1,2013-12-10,True
61,61874,78643,,1,488,6,23434,8.99,0.0,8.99,2,38.98,2,2013-12-10,True
62,60818,74844,,1,506,6,22279,2384.07,0.0,2384.07,2,2393.06,1,2013-11-24,True
63,60818,74843,,1,43,6,22279,8.99,0.0,8.99,2,2393.06,2,2013-11-24,True
64,69097,101464,,1,20,6,30639,2319.99,0.0,2319.99,2,2322.28,1,2014-03-27,True
65,69097,101465,,1,504,6,30639,2.29,0.0,2.29,2,2322.28,2,2014-03-27,True
66,63138,81937,3BDB-40B5-A6,3,329,6,24763,1020.59,0.0,3061.78,14,4746.82,1,2013-12-31,True
67,63138,81936,3BDB-40B5-A6,4,355,6,24763,323.99,0.0,1295.98,14,4746.82,2,2013-12-31,True
68,63138,81935,3BDB-40B5-A6,1,354,6,24763,323.99,0.0,323.99,14,4746.82,3,2013-12-31,True
69,63138,81940,3BDB-40B5-A6,1,49,6,24763,38.1,0.0,38.1,14,4746.82,4,2013-12-31,True
70,63138,81939,3BDB-40B5-A6,4,489,6,24763,5.39,0.0,21.58,14,4746.82,5,2013-12-31,True
71,63138,81938,3BDB-40B5-A6,1,488,6,24763,5.39,0.0,5.39,14,4746.82,6,2013-12-31,True
72,58052,65334,,1,548,6,17730,7.95,0.0,7.95,2,12.94,1,2013-10-15,True
73,58052,65333,,1,502,6,17730,4.99,0.0,4.99,2,12.94,2,2013-10-15,True
74,59187,70759,,1,38,6,18855,539.99,0.0,539.99,3,611.96,1,2013-10-31,True
75,59187,70761,,1,395,6,18855,49.99,0.0,49.99,3,611.96,2,2013-10-31,True
76,59187,70760,,1,312,6,18855,21.98,0.0,21.98,3,611.96,3,2013-10-31,True
77,60771,74730,,1,396,6,22327,49.99,0.0,49.99,1,49.99,1,2013-11-24,True
78,56619,59431,,1,310,6,16341,34.99,0.0,34.99,2,39.98,1,2013-09-22,True
79,56619,59430,,1,445,6,16341,4.99,0.0,4.99,2,39.98,2,2013-09-22,True
80,74138,119084,,1,515,6,35625,1214.85,0.0,1214.85,2,1249.84,1,2014-05-30,True
81,74138,119085,,1,311,6,35625,34.99,0.0,34.99,2,1249.84,2,2014-05-30,True
82,54351,52266,,1,503,6,14030,3.99,0.0,3.99,2,6.28,1,2013-08-13,True
83,54351,52267,,1,504,6,14030,2.29,0.0,2.29,2,6.28,2,2013-08-13,True
84,57723,64537,,1,494,6,17401,35.0,0.0,35.0,1,35.0,1,2013-10-09,True
85,54824,53433,,1,395,6,14561,49.99,0.0,49.99,2,84.98,1,2013-08-22,True
86,54824,53432,,1,309,6,14561,34.99,0.0,34.99,2,84.98,2,2013-08-22,True
87,53669,50614,,1,465,6,13399,54.99,0.0,54.99,2,76.97,1,2013-08-01,True
88,53669,50613,,1,312,6,13399,21.98,0.0,21.98,2,76.97,2,2013-08-01,True
89,46248,9559,,1,349,6,3122,699.1,0.0,699.1,1,699.1,1,2012-04-17,True
90,58745,67057,,1,309,6,18426,34.99,0.0,34.99,2,38.98,1,2013-10-27,True
91,58745,67056,,1,503,6,18426,3.99,0.0,3.99,2,38.98,2,2013-10-27,True
92,60773,74732,,1,319,6,22315,2443.35,0.0,2443.35,3,2457.33,1,2013-11-24,True
93,60773,74733,,1,444,6,22315,8.99,0.0,8.99,3,2457.33,2,2013-11-24,True
94,60773,74734,,1,445,6,22315,4.99,0.0,4.99,3,2457.33,3,2013-11-24,True
95,73212,116750,,1,494,6,34760,35.0,0.0,35.0,1,35.0,1,2014-05-18,True
96,73735,118076,,1,311,6,35244,34.99,0.0,34.99,3,71.58,1,2014-05-25,True
97,73735,118074,,1,495,6,35244,32.6,0.0,32.6,3,71.58,2,2014-05-25,True
98,73735,118075,,1,503,6,35244,3.99,0.0,3.99,3,71.58,3,2014-05-25,True
99,58332,66034,,1,31,6,17995,769.49,0.0,769.49,2,804.48,1,2013-10-20,True
100,58332,66035,,1,311,6,17995,34.99,0.0,34.99,2,804.48,2,2013-10-20,True
101,56889,60071,,1,494,6,16560,35.0,0.0,35.0,2,39.99,1,2013-09-27,True
102,56889,60070,,1,501,6,16560,4.99,0.0,4.99,2,39.99,2,2013-09-27,True
103,48318,22922,7FD9-425F-A3,6,22,6,5273,1229.46,0.0,7376.75,132,31261.87,1,2012-10-30,True
104,48318,22927,7FD9-425F-A3,6,24,6,5273,1229.46,0.0,7376.75,132,31261.87,1,2012-10-30,True
105,48318,22916,7FD9-425F-A3,5,26,6,5273,647.99,0.0,3239.97,132,31261.87,3,2012-10-30,True
106,48318,22936,7FD9-425F-A3,2,21,6,5273,1242.85,0.0,2485.7,132,31261.87,4,2012-10-30,True
107,48318,22913,7FD9-425F-A3,2,23,6,5273,1229.46,0.0,2458.92,132,31261.87,5,2012-10-30,True
108,48318,22940,7FD9-425F-A3,3,28,6,5273,647.99,0.0,1943.98,132,31261.87,6,2012-10-30,True
109,48318,22933,7FD9-425F-A3,2,27,6,5273,647.99,0.0,1295.99,132,31261.87,7,2012-10-30,True
110,48318,22917,7FD9-425F-A3,4,411,6,5273,209.26,0.0,837.02,132,31261.87,8,2012-10-30,True
111,48318,22934,7FD9-425F-A3,1,400,6,5273,744.27,0.0,744.27,132,31261.87,9,2012-10-30,True
112,48318,22942,7FD9-425F-A3,26,430,14,5273,19.0,0.1,444.48,132,31261.87,10,2012-10-30,True
113,48318,22914,7FD9-425F-A3,2,414,6,5273,209.26,0.0,418.51,132,31261.87,11,2012-10-30,True
114,48318,22921,7FD9-425F-A3,2,474,6,5273,196.33,0.0,392.66,132,31261.87,12,2012-10-30,True
115,48318,22918,7FD9-425F-A3,2,479,6,5273,141.62,0.0,283.23,132,31261.87,13,2012-10-30,True
116,48318,22926,7FD9-425F-A3,5,471,6,5273,44.99,0.0,224.97,132,31261.87,14,2012-10-30,True
117,48318,22929,7FD9-425F-A3,1,412,6,5273,209.26,0.0,209.26,132,31261.87,15,2012-10-30,True
118,48318,22931,7FD9-425F-A3,8,429,6,5273,22.79,0.0,182.35,132,31261.87,16,2012-10-30,True
119,48318,22944,7FD9-425F-A3,6,395,6,5273,28.84,0.0,173.04,132,31261.87,17,2012-10-30,True
120,48318,22915,7FD9-425F-A3,3,491,6,5273,53.99,0.0,161.98,132,31261.87,18,2012-10-30,True
121,48318,22937,7FD9-425F-A3,7,310,6,5273,20.19,0.0,141.31,132,31261.87,19,2012-10-30,True
122,48318,22925,7FD9-425F-A3,3,469,6,5273,44.99,0.0,134.98,132,31261.87,20,2012-10-30,True
123,48318,22919,7FD9-425F-A3,3,451,6,5273,33.77,0.0,101.32,132,31261.87,21,2012-10-30,True
124,48318,22924,7FD9-425F-A3,3,394,6,5273,28.84,0.0,86.52,132,31261.87,22,2012-10-30,True
125,48318,22920,7FD9-425F-A3,4,311,6,5273,20.19,0.0,80.75,132,31261.87,23,2012-10-30,True
126,48318,22938,7FD9-425F-A3,4,309,6,5273,20.19,0.0,80.75,132,31261.87,23,2012-10-30,True
127,48318,22923,7FD9-425F-A3,2,485,6,5273,36.45,0.0,72.89,132,31261.87,25,2012-10-30,True
128,48318,22943,7FD9-425F-A3,1,448,6,5273,65.6,0.0,65.6,132,31261.87,26,2012-10-30,True
129,48318,22941,7FD9-425F-A3,5,529,6,5273,11.99,0.0,59.97,132,31261.87,27,2012-10-30,True
130,48318,22935,7FD9-425F-A3,2,396,6,5273,28.84,0.0,57.68,132,31261.87,28,2012-10-30,True
131,48318,22932,7FD9-425F-A3,8,43,6,5273,5.19,0.0,41.49,132,31261.87,29,2012-10-30,True
132,48318,22930,7FD9-425F-A3,1,460,6,5273,35.99,0.0,35.99,132,31261.87,30,2012-10-30,True
133,48318,22939,7FD9-425F-A3,2,505,6,5273,15.0,0.0,30.0,132,31261.87,31,2012-10-30,True
134,48318,22928,7FD9-425F-A3,1,428,6,5273,22.79,0.0,22.79,132,31261.87,32,2012-10-30,True
135,44772,4531,F5E6-4B81-A3,6,316,6,1657,2146.96,0.0,12881.77,92,67369.23,1,2011-10-31,True
136,44772,4530,F5E6-4B81-A3,5,317,6,1657,2146.96,0.0,10734.81,92,67369.23,2,2011-10-31,True
137,44772,4555,F5E6-4B81-A3,4,315,6,1657,2146.96,0.0,8587.85,92,67369.23,3,2011-10-31,True
138,44772,4529,F5E6-4B81-A3,2,314,6,1657,2146.96,0.0,4293.92,92,67369.23,4,2011-10-31,True
139,44772,4551,F5E6-4B81-A3,4,331,6,1657,874.79,0.0,3499.18,92,67369.23,5,2011-10-31,True
140,44772,4528,F5E6-4B81-A3,3,330,6,1657,874.79,0.0,2624.38,92,67369.23,6,2011-10-31,True
141,44772,4533,F5E6-4B81-A3,3,333,6,1657,874.79,0.0,2624.38,92,67369.23,6,2011-10-31,True
142,44772,4541,F5E6-4B81-A3,1,313,6,1657,2146.96,0.0,2146.96,92,67369.23,8,2011-10-31,True
143,44772,4556,F5E6-4B81-A3,5,342,6,1657,419.46,0.0,2097.29,92,67369.23,9,2011-10-31,True
144,44772,4545,F5E6-4B81-A3,2,334,6,1657,874.79,0.0,1749.59,92,67369.23,10,2011-10-31,True
145,44772,4557,F5E6-4B81-A3,3,343,6,1657,419.46,0.0,1258.38,92,67369.23,11,2011-10-31,True
146,44772,4553,F5E6-4B81-A3,3,349,6,1657,419.46,0.0,1258.38,92,67369.23,11,2011-10-31,True
147,44772,4539,F5E6-4B81-A3,3,340,6,1657,419.46,0.0,1258.38,92,67369.23,11,2011-10-31,True
148,44772,4532,F5E6-4B81-A3,3,345,6,1657,419.46,0.0,1258.38,92,67369.23,11,2011-10-31,True
149,44772,4558,F5E6-4B81-A3,3,347,6,1657,419.46,0.0,1258.38,92,67369.23,11,2011-10-31,True
150,44772,4550,F5E6-4B81-A3,3,350,6,1657,419.46,0.0,1258.38,92,67369.23,11,2011-10-31,True
151,44772,4543,F5E6-4B81-A3,3,348,6,1657,419.46,0.0,1258.38,92,67369.23,11,2011-10-31,True
152,44772,4548,F5E6-4B81-A3,3,346,6,1657,419.46,0.0,1258.38,92,67369.23,11,2011-10-31,True
153,44772,4554,F5E6-4B81-A3,1,332,6,1657,874.79,0.0,874.79,92,67369.23,19,2011-10-31,True
154,44772,4527,F5E6-4B81-A3,2,344,6,1657,419.46,0.0,838.92,92,67369.23,20,2011-10-31,True
155,44772,4544,F5E6-4B81-A3,3,381,6,1657,183.94,0.0,551.81,92,67369.23,21,2011-10-31,True
156,44772,4526,F5E6-4B81-A3,3,380,6,1657,183.94,0.0,551.81,92,67369.23,21,2011-10-31,True
157,44772,4542,F5E6-4B81-A3,3,379,6,1657,178.58,0.0,535.74,92,67369.23,23,2011-10-31,True
158,44772,4552,F5E6-4B81-A3,3,388,6,1657,178.58,0.0,535.74,92,67369.23,23,2011-10-31,True
159,44772,4549,F5E6-4B81-A3,1,341,6,1657,419.46,0.0,419.46,92,67369.23,25,2011-10-31,True
160,44772,4535,F5E6-4B81-A3,1,351,6,1657,419.46,0.0,419.46,92,67369.23,25,2011-10-31,True
161,44772,4536,F5E6-4B81-A3,2,384,6,1657,183.94,0.0,367.88,92,67369.23,27,2011-10-31,True
162,44772,4559,F5E6-4B81-A3,2,385,6,1657,183.94,0.0,367.88,92,67369.23,27,2011-10-31,True
163,44772,4537,F5E6-4B81-A3,1,375,6,1657,356.9,0.0,356.9,92,67369.23,29,2011-10-31,True
164,44772,4540,F5E6-4B81-A3,3,309,6,1657,20.19,0.0,60.56,92,67369.23,30,2011-10-31,True
165,44772,4538,F5E6-4B81-A3,2,396,6,1657,28.84,0.0,57.68,92,67369.23,31,2011-10-31,True
166,44772,4560,F5E6-4B81-A3,2,394,6,1657,28.84,0.0,57.68,92,67369.23,31,2011-10-31,True
167,44772,4534,F5E6-4B81-A3,2,311,6,1657,20.19,0.0,40.37,92,67369.23,33,2011-10-31,True
168,44772,4547,F5E6-4B81-A3,1,310,6,1657,20.19,0.0,20.19,92,67369.23,34,2011-10-31,True
169,44772,4546,F5E6-4B81-A3,1,43,6,1657,5.19,0.0,5.19,92,67369.23,35,2011-10-31,True
170,59757,72204,,1,352,6,19445,539.99,0.0,539.99,2,574.98,1,2013-11-08,True
171,59757,72205,,1,309,6,19445,34.99,0.0,34.99,2,574.98,2,2013-11-08,True
172,57172,63062,694F-4039-93,2,510,6,16776,1430.44,0.0,2860.88,10,6037.44,1,2013-09-30,True
173,57172,63061,694F-4039-93,3,531,6,16776,602.35,0.0,1807.04,10,6037.44,2,2013-09-30,True
174,57172,63059,694F-4039-93,2,533,6,16776,602.35,0.0,1204.69,10,6037.44,3,2013-09-30,True
175,57172,63060,694F-4039-93,3,450,6,16776,54.94,0.0,164.83,10,6037.44,4,2013-09-30,True
176,58453,66344,,1,327,6,18139,1700.99,0.0,1700.99,2,1735.98,1,2013-10-22,True
177,58453,66345,,1,309,6,18139,34.99,0.0,34.99,2,1735.98,2,2013-10-22,True
178,54942,53716,,1,309,6,14673,34.99,0.0,34.99,1,34.99,1,2013-08-24,True
179,56791,59860,,1,354,6,16468,539.99,0.0,539.99,2,548.98,1,2013-09-25,True
180,56791,59861,,1,489,6,16468,8.99,0.0,8.99,2,548.98,2,2013-09-25,True
181,68785,100696,,1,515,6,30261,1214.85,0.0,1214.85,3,1228.83,1,2014-03-22,True
182,68785,100698,,1,444,6,30261,8.99,0.0,8.99,3,1228.83,2,2014-03-22,True
183,68785,100697,,1,445,6,30261,4.99,0.0,4.99,3,1228.83,3,2014-03-22,True
184,58150,65577,,1,310,6,17893,34.99,0.0,34.99,4,94.46,1,2013-10-17,True
185,58150,65575,,1,496,6,17893,29.99,0.0,29.99,4,94.46,2,2013-10-17,True
186,58150,65578,,1,432,6,17893,24.49,0.0,24.49,4,94.46,3,2013-10-17,True
187,58150,65576,,1,501,6,17893,4.99,0.0,4.99,4,94.46,4,2013-10-17,True
188,74678,120272,,1,499,6,36167,24.99,0.0,24.99,1,24.99,1,2014-06-16,True
189,44266,2165,,1,343,6,644,699.1,0.0,699.1,1,699.1,1,2011-08-27,True
190,54069,51575,,1,458,6,13801,69.99,0.0,69.99,2,94.48,1,2013-08-08,True
191,54069,51576,,1,432,6,13801,24.49,0.0,24.49,2,94.48,2,2013-08-08,True
192,60525,74127,,1,548,6,22062,7.95,0.0,7.95,2,12.94,1,2013-11-20,True
193,60525,74126,,1,502,6,22062,4.99,0.0,4.99,2,12.94,2,2013-11-20,True
194,67383,97173,,1,309,6,28919,34.99,0.0,34.99,1,34.99,1,2014-03-01,True
195,54916,53653,,1,311,6,14590,34.99,0.0,34.99,3,48.97,1,2013-08-23,True
196,54916,53654,,1,43,6,14590,8.99,0.0,8.99,3,48.97,2,2013-08-23,True
197,54916,53652,,1,502,6,14590,4.99,0.0,4.99,3,48.97,3,2013-08-23,True
198,74290,119433,,1,458,6,35806,69.99,0.0,69.99,2,119.98,1,2014-06-04,True
199,74290,119434,,1,396,6,35806,49.99,0.0,49.99,2,119.98,2,2014-06-04,True
200,45064,5422,2DCA-4F00-94,8,13,6,1915,2039.99,0.0,16319.95,35,53033.21,1,2011-12-01,True
201,45064,5421,2DCA-4F00-94,4,12,6,1915,2039.99,0.0,8159.98,35,53033.21,2,2011-12-01,True
202,45064,5415,2DCA-4F00-94,4,15,6,1915,2024.99,0.0,8099.98,35,53033.21,3,2011-12-01,True
203,45064,5416,2DCA-4F00-94,4,18,6,1915,2024.99,0.0,8099.98,35,53033.21,3,2011-12-01,True
204,45064,5417,2DCA-4F00-94,2,11,6,1915,2039.99,0.0,4079.99,35,53033.21,5,2011-12-01,True
205,45064,5419,2DCA-4F00-94,2,14,6,1915,2039.99,0.0,4079.99,35,53033.21,5,2011-12-01,True
206,45064,5413,2DCA-4F00-94,2,17,6,1915,2024.99,0.0,4049.99,35,53033.21,7,2011-12-01,True
207,45064,5420,2DCA-4F00-94,4,395,6,1915,28.84,0.0,115.36,35,53033.21,8,2011-12-01,True
208,45064,5414,2DCA-4F00-94,4,486,6,1915,5.7,0.0,22.8,35,53033.21,9,2011-12-01,True
209,45064,5418,2DCA-4F00-94,1,43,6,1915,5.19,0.0,5.19,35,53033.21,10,2011-12-01,True
210,48281,22438,,1,320,6,5157,2181.56,0.0,2181.56,1,2181.56,1,2012-10-29,True
211,52265,43852,,1,36,6,11947,564.99,0.0,564.99,3,579.97,1,2013-07-07,True
212,52265,43854,,1,443,6,11947,9.99,0.0,9.99,3,579.97,2,2013-07-07,True
213,52265,43853,,1,445,6,11947,4.99,0.0,4.99,3,579.97,3,2013-07-07,True
214,51150,37270,5831-4C4F-B1,4,506,10,7972,953.63,0.2,3051.61,66,26328.52,1,2013-05-30,True
215,51150,37291,5831-4C4F-B1,2,510,6,7972,1430.44,0.0,2860.88,66,26328.52,2,2013-05-30,True
216,51150,37288,5831-4C4F-B1,2,513,6,7972,1430.44,0.0,2860.88,66,26328.52,2,2013-05-30,True
217,51150,37282,5831-4C4F-B1,3,516,6,7972,728.91,0.0,2186.73,66,26328.52,4,2013-05-30,True
218,51150,37294,5831-4C4F-B1,2,508,10,7972,953.63,0.2,1525.8,66,26328.52,5,2013-05-30,True
219,51150,37265,5831-4C4F-B1,2,517,6,7972,728.91,0.0,1457.82,66,26328.52,6,2013-05-30,True
220,51150,37263,5831-4C4F-B1,1,512,6,7972,1430.44,0.0,1430.44,66,26328.52,7,2013-05-30,True
221,51150,37293,5831-4C4F-B1,2,532,6,7972,602.35,0.0,1204.69,66,26328.52,8,2013-05-30,True
222,51150,37275,5831-4C4F-B1,2,535,6,7972,602.35,0.0,1204.69,66,26328.52,8,2013-05-30,True
223,51150,37287,5831-4C4F-B1,3,519,11,7972,334.06,0.15,851.85,66,26328.52,10,2013-05-30,True
224,51150,37271,5831-4C4F-B1,3,518,11,7972,334.06,0.15,851.85,66,26328.52,10,2013-05-30,True
225,51150,37273,5831-4C4F-B1,3,520,11,7972,334.06,0.15,851.85,66,26328.52,10,2013-05-30,True
226,51150,37264,5831-4C4F-B1,1,515,6,7972,728.91,0.0,728.91,66,26328.52,13,2013-05-30,True
227,51150,37277,5831-4C4F-B1,1,537,6,7972,602.35,0.0,602.35,66,26328.52,14,2013-05-30,True
228,51150,37269,5831-4C4F-B1,1,536,6,7972,602.35,0.0,602.35,66,26328.52,14,2013-05-30,True
229,51150,37272,5831-4C4F-B1,2,525,11,7972,334.06,0.15,567.9,66,26328.52,16,2013-05-30,True
230,51150,37278,5831-4C4F-B1,2,524,11,7972,334.06,0.15,567.9,66,26328.52,16,2013-05-30,True
231,51150,37261,5831-4C4F-B1,6,48,6,7972,54.89,0.0,329.36,66,26328.52,18,2013-05-30,True
232,51150,37279,5831-4C4F-B1,1,522,11,7972,334.06,0.15,283.95,66,26328.52,19,2013-05-30,True
233,51150,37276,5831-4C4F-B1,1,527,11,7972,334.06,0.15,283.95,66,26328.52,19,2013-05-30,True
234,51150,37283,5831-4C4F-B1,1,526,11,7972,334.06,0.15,283.95,66,26328.52,19,2013-05-30,True
235,51150,37267,5831-4C4F-B1,1,521,11,7972,334.06,0.15,283.95,66,26328.52,19,2013-05-30,True
236,51150,37285,5831-4C4F-B1,2,307,6,7972,105.29,0.0,210.59,66,26328.52,23,2013-05-30,True
237,51150,37281,5831-4C4F-B1,1,547,6,7972,200.05,0.0,200.05,66,26328.52,24,2013-05-30,True
238,51150,37290,5831-4C4F-B1,1,538,6,7972,200.05,0.0,200.05,66,26328.52,24,2013-05-30,True
239,51150,37289,5831-4C4F-B1,1,546,6,7972,200.05,0.0,200.05,66,26328.52,24,2013-05-30,True
240,51150,37266,5831-4C4F-B1,2,425,6,7972,72.89,0.0,145.79,66,26328.52,27,2013-05-30,True
241,51150,37274,5831-4C4F-B1,2,47,6,7972,72.88,0.0,145.75,66,26328.52,28,2013-05-30,True
242,51150,37260,5831-4C4F-B1,2,6,6,7972,48.59,0.0,97.19,66,26328.52,29,2013-05-30,True
243,51150,37280,5831-4C4F-B1,3,436,6,7972,31.58,0.0,94.75,66,26328.52,30,2013-05-30,True
244,51150,37284,5831-4C4F-B1,1,450,6,7972,54.94,0.0,54.94,66,26328.52,31,2013-05-30,True
245,51150,37268,5831-4C4F-B1,1,427,6,7972,32.39,0.0,32.39,66,26328.52,32,2013-05-30,True
246,51150,37286,5831-4C4F-B1,2,433,6,7972,14.69,0.0,29.39,66,26328.52,33,2013-05-30,True
247,51150,37292,5831-4C4F-B1,1,453,6,7972,27.65,0.0,27.65,66,26328.52,34,2013-05-30,True
248,51150,37262,5831-4C4F-B1,1,442,6,7972,16.27,0.0,16.27,66,26328.52,35,2013-05-30,True
249,65999,92209,,1,22,6,27489,2294.99,0.0,2294.99,4,2364.96,1,2014-02-08,True
250,65999,92212,,1,465,6,27489,54.99,0.0,54.99,4,2364.96,2,2014-02-08,True
251,65999,92210,,1,443,6,27489,9.99,0.0,9.99,4,2364.96,3,2014-02-08,True
