PURCHASEORDERHEADERKEY,PURCHASEORDERID,REVISIONNUMBER,STATUS,SHIPMETHODKEY,ORDERDATE,SHIPDATE,SUBTOTAL,TAXAMT,FREIGHT,TOTALDUE,PURCHASEMODIFIEDDATE,ISCURRENT
16,16,4,4,5,2011-12-14,2011-12-23,150.79,12.06,3.77,166.62,2011-12-23 00:00:00.000,True
17,17,4,4,5,2011-12-15,2011-12-24,13669.43,1093.55,341.74,15104.71,2011-12-24 00:00:00.000,True
18,18,4,4,5,2011-12-15,2011-12-24,16393.23,1311.46,409.83,18114.52,2011-12-24 00:00:00.000,True
19,19,4,4,2,2011-12-15,2011-12-24,79204.13,6336.33,1980.1,87520.56,2011-12-24 00:00:00.000,True
20,20,4,4,1,2011-12-15,2011-12-24,551.88,44.15,13.8,609.83,2011-12-24 00:00:00.000,True
21,21,4,4,1,2011-12-15,2011-12-24,6987.75,559.02,174.69,7721.46,2011-12-24 00:00:00.000,True
22,22,4,4,2,2011-12-15,2011-12-24,28072.28,2245.78,701.81,31019.86,2011-12-24 00:00:00.000,True
23,23,4,4,1,2011-12-15,2011-12-24,37312.28,2984.98,932.81,41230.06,2011-12-24 00:00:00.000,True
24,24,4,3,1,2011-12-15,2011-12-24,4215.75,337.26,105.39,4658.4,2011-12-24 00:00:00.000,True
25,25,4,4,2,2011-12-15,2011-12-24,28297.5,2263.8,707.44,31268.74,2011-12-24 00:00:00.000,True
26,26,4,4,2,2011-12-15,2011-12-24,59.94,4.8,1.5,66.24,2011-12-24 00:00:00.000,True
27,27,4,4,4,2011-12-15,2011-12-24,722.61,57.81,18.07,798.48,2011-12-24 00:00:00.000,True
28,28,4,4,5,2011-12-15,2011-12-24,43878.45,3510.28,1096.96,48485.69,2011-12-24 00:00:00.000,True
29,29,4,4,4,2012-01-08,2012-01-17,592.8,47.42,14.82,655.04,2012-01-17 00:00:00.000,True
30,30,4,4,2,2012-01-08,2012-01-17,21252.0,1700.16,531.3,23483.46,2012-01-17 00:00:00.000,True
31,31,4,4,5,2012-01-08,2012-01-17,142.41,11.39,3.56,157.36,2012-01-17 00:00:00.000,True
32,32,6,4,2,2012-01-08,2012-01-17,28794.15,2303.53,719.85,31817.54,2012-01-17 00:00:00.000,True
33,33,4,4,4,2012-01-16,2012-01-25,421.16,33.69,10.53,465.38,2012-01-25 00:00:00.000,True
34,34,4,3,1,2012-01-16,2012-01-25,1276.28,102.1,31.91,1410.28,2012-01-25 00:00:00.000,True
35,35,4,4,1,2012-01-16,2012-01-25,2003.93,160.31,50.1,2214.34,2012-01-25 00:00:00.000,True
36,36,4,4,2,2012-01-16,2012-01-25,50860.43,4068.83,1271.51,56200.77,2012-01-25 00:00:00.000,True
37,37,4,4,1,2012-01-16,2012-01-25,454.86,36.39,11.37,502.62,2012-01-25 00:00:00.000,True
38,38,6,4,5,2012-01-16,2012-01-25,43878.45,3510.28,1096.96,48485.69,2012-01-25 00:00:00.000,True
39,39,4,4,2,2012-01-16,2012-01-25,7132.13,570.57,178.3,7881.0,2012-01-25 00:00:00.000,True
40,40,4,4,2,2012-01-16,2012-01-25,28343.7,2267.5,708.59,31319.79,2012-01-25 00:00:00.000,True
41,41,4,4,4,2012-01-16,2012-01-25,22516.73,1801.34,562.92,24880.98,2012-01-25 00:00:00.000,True
42,42,5,4,5,2012-01-16,2012-01-25,34644.23,2771.54,866.11,38281.87,2012-01-25 00:00:00.000,True
43,43,4,4,5,2012-01-16,2012-01-25,427.93,34.23,10.7,472.86,2012-01-25 00:00:00.000,True
44,44,4,3,5,2012-01-16,2012-01-25,143.04,11.44,3.58,158.06,2012-01-25 00:00:00.000,True
45,45,4,4,2,2012-01-16,2012-01-25,28199.33,2255.95,704.98,31160.25,2012-01-25 00:00:00.000,True
46,46,4,4,1,2012-01-16,2012-01-25,3713.33,297.07,92.83,4103.22,2012-01-25 00:00:00.000,True
47,47,4,4,5,2012-01-16,2012-01-25,63831.08,5106.49,1595.78,70533.34,2012-01-25 00:00:00.000,True
48,48,4,4,5,2012-01-16,2012-01-25,16340.31,1307.22,408.51,18056.04,2012-01-25 00:00:00.000,True
49,49,4,4,5,2012-01-20,2012-01-29,5711.48,456.92,142.79,6311.18,2012-01-29 00:00:00.000,True
50,50,5,4,5,2012-01-20,2012-01-29,429.35,34.35,10.73,474.43,2012-01-29 00:00:00.000,True
51,51,4,4,2,2012-01-20,2012-01-29,97.97,7.84,2.45,108.25,2012-01-29 00:00:00.000,True
52,52,4,4,4,2012-01-20,2012-01-29,114.47,9.16,2.86,126.49,2012-01-29 00:00:00.000,True
53,53,4,4,4,2012-01-24,2012-02-02,132.65,10.61,3.32,146.57,2012-02-02 00:00:00.000,True
54,54,6,3,5,2012-01-24,2012-02-02,43878.45,3510.28,1096.96,48485.69,2012-02-02 00:00:00.000,True
55,55,4,4,1,2012-01-24,2012-02-02,418.95,33.52,10.47,462.94,2012-02-02 00:00:00.000,True
56,56,4,4,4,2012-01-24,2012-02-02,525.77,42.06,13.14,580.97,2012-02-02 00:00:00.000,True
57,57,4,4,1,2012-01-24,2012-02-02,461.79,36.94,11.54,510.28,2012-02-02 00:00:00.000,True
58,58,4,4,4,2012-01-24,2012-02-02,630.38,50.43,15.76,696.57,2012-02-02 00:00:00.000,True
59,59,9,4,2,2012-01-24,2012-02-02,37.08,2.97,0.93,40.97,2012-02-02 00:00:00.000,True
60,60,4,4,4,2012-01-24,2012-02-02,21558.08,1724.65,538.95,23821.67,2012-02-02 00:00:00.000,True
61,61,4,4,4,2012-01-24,2012-02-02,507.09,40.57,12.68,560.33,2012-02-02 00:00:00.000,True
62,62,4,4,5,2012-01-24,2012-02-02,41048.7,3283.9,1026.22,45358.81,2012-02-02 00:00:00.000,True
63,63,4,4,5,2012-01-24,2012-02-02,429.35,34.35,10.73,474.43,2012-02-02 00:00:00.000,True
64,64,5,3,5,2012-01-24,2012-02-02,279.15,22.33,6.98,308.46,2012-02-02 00:00:00.000,True
65,65,4,4,5,2012-01-24,2012-02-02,40471.2,3237.7,1011.78,44720.68,2012-02-02 00:00:00.000,True
66,66,5,4,5,2012-01-24,2012-02-02,563.57,45.09,14.09,622.74,2012-02-02 00:00:00.000,True
67,67,4,4,5,2012-01-24,2012-02-02,62092.8,4967.42,1552.32,68612.54,2012-02-02 00:00:00.000,True
68,68,5,4,5,2012-01-24,2012-02-02,5948.25,475.86,148.71,6572.82,2012-02-02 00:00:00.000,True
69,69,4,4,5,2012-01-25,2012-02-03,91117.95,7289.44,2277.95,100685.33,2012-02-03 00:00:00.000,True
70,70,5,4,1,2012-01-25,2012-02-03,525.0,42.0,13.13,580.13,2012-02-03 00:00:00.000,True
71,71,4,4,5,2012-01-25,2012-02-03,2003.68,160.29,50.09,2214.07,2012-02-03 00:00:00.000,True
72,72,4,4,4,2012-01-25,2012-02-03,26455.28,2116.42,661.38,29233.08,2012-02-03 00:00:00.000,True
73,73,4,4,2,2012-02-09,2012-02-18,944.37,75.55,23.61,1043.53,2012-02-18 00:00:00.000,True
74,74,6,3,4,2012-02-09,2012-02-18,44594.55,3567.56,1114.86,49276.98,2012-02-18 00:00:00.000,True
75,75,4,4,3,2012-02-09,2012-02-18,62843.55,5027.48,1571.09,69442.12,2012-02-18 00:00:00.000,True
76,76,4,4,5,2012-02-09,2012-02-18,37843.58,3027.49,946.09,41817.15,2012-02-18 00:00:00.000,True
77,77,4,4,4,2012-02-09,2012-02-18,25531.28,2042.5,638.28,28212.06,2012-02-18 00:00:00.000,True
78,78,4,4,5,2012-02-09,2012-02-18,694.17,55.53,17.35,767.05,2012-02-18 00:00:00.000,True
79,79,4,4,4,2012-02-09,2012-02-18,125.75,10.06,3.14,138.95,2012-02-18 00:00:00.000,True
80,80,4,4,5,2012-02-09,2012-02-18,150.79,12.06,3.77,166.62,2012-02-18 00:00:00.000,True
81,81,4,4,5,2012-02-09,2012-02-18,560.01,44.8,14.0,618.81,2012-02-18 00:00:00.000,True
82,82,5,4,2,2012-02-09,2012-02-18,8847.3,707.78,221.18,9776.27,2012-02-18 00:00:00.000,True
83,83,4,4,5,2012-02-09,2012-02-18,171.08,13.69,4.28,189.04,2012-02-18 00:00:00.000,True
84,84,4,3,4,2012-02-09,2012-02-18,20397.3,1631.78,509.93,22539.02,2012-02-18 00:00:00.000,True
85,85,4,4,3,2012-02-09,2012-02-18,14628.08,1170.25,365.7,16164.02,2012-02-18 00:00:00.000,True
86,86,5,4,3,2012-02-09,2012-02-18,58685.55,4694.84,1467.14,64847.53,2012-02-18 00:00:00.000,True
87,87,4,4,5,2012-02-09,2012-02-18,773.01,61.84,19.33,854.18,2012-02-18 00:00:00.000,True
88,88,5,4,5,2012-02-09,2012-02-18,656.59,52.53,16.41,725.53,2012-02-18 00:00:00.000,True
89,89,4,4,5,2012-02-23,2012-03-03,1796.04,143.68,44.9,1984.62,2012-03-03 00:00:00.000,True
90,90,4,4,4,2012-02-23,2012-03-03,358.63,28.69,8.97,396.28,2012-03-03 00:00:00.000,True
91,91,4,4,5,2012-02-23,2012-03-03,34644.23,2771.54,866.11,38281.87,2012-03-03 00:00:00.000,True
92,92,4,4,4,2012-02-23,2012-03-03,257.58,20.61,6.44,284.62,2012-03-03 00:00:00.000,True
93,93,4,4,5,2012-02-27,2012-03-07,146.29,11.7,3.66,161.65,2012-03-07 00:00:00.000,True
94,94,4,3,5,2012-02-27,2012-03-07,102.56,8.21,2.56,113.33,2012-03-07 00:00:00.000,True
95,95,4,4,5,2012-02-27,2012-03-07,150.79,12.06,3.77,166.62,2012-03-07 00:00:00.000,True
96,96,4,4,5,2012-02-27,2012-03-07,13669.43,1093.55,341.74,15104.71,2012-03-07 00:00:00.000,True
97,97,6,4,5,2012-03-08,2012-03-17,16393.23,1311.46,409.83,18114.52,2012-03-17 00:00:00.000,True
98,98,4,4,4,2012-03-08,2012-03-17,73377.15,5870.17,1834.43,81081.75,2012-03-17 00:00:00.000,True
99,99,4,4,1,2012-03-08,2012-03-17,551.88,44.15,13.8,609.83,2012-03-17 00:00:00.000,True
100,100,4,4,1,2012-03-08,2012-03-17,6987.75,559.02,174.69,7721.46,2012-03-17 00:00:00.000,True
101,101,5,4,2,2012-03-08,2012-03-17,28072.28,2245.78,701.81,31019.86,2012-03-17 00:00:00.000,True
102,102,4,4,1,2012-03-08,2012-03-17,35394.98,2831.6,884.87,39111.45,2012-03-17 00:00:00.000,True
103,103,4,4,1,2012-03-08,2012-03-17,3407.25,272.58,85.18,3765.01,2012-03-17 00:00:00.000,True
104,104,4,3,2,2012-03-08,2012-03-17,28297.5,2263.8,707.44,31268.74,2012-03-17 00:00:00.000,True
105,105,4,4,2,2012-03-08,2012-03-17,59.94,4.8,1.5,66.24,2012-03-17 00:00:00.000,True
106,106,4,4,4,2012-03-08,2012-03-17,332.96,26.64,8.32,367.92,2012-03-17 00:00:00.000,True
107,107,4,4,5,2012-03-08,2012-03-17,43878.45,3510.28,1096.96,48485.69,2012-03-17 00:00:00.000,True
108,108,4,4,4,2012-03-08,2012-03-17,674.38,53.95,16.86,745.19,2012-03-17 00:00:00.000,True
109,109,4,4,2,2012-03-08,2012-03-17,31398.68,2511.89,784.97,34695.54,2012-03-17 00:00:00.000,True
110,110,4,4,5,2012-03-08,2012-03-17,142.41,11.39,3.56,157.36,2012-03-17 00:00:00.000,True
111,111,4,4,5,2012-03-08,2012-03-17,19236.53,1538.92,480.91,21256.36,2012-03-17 00:00:00.000,True
112,112,4,4,4,2012-03-08,2012-03-17,272.44,21.8,6.81,301.05,2012-03-17 00:00:00.000,True
113,113,5,4,1,2012-03-09,2012-03-18,1276.28,102.1,31.91,1410.28,2012-03-18 00:00:00.000,True
114,114,4,3,1,2012-03-09,2012-03-18,2003.93,160.31,50.1,2214.34,2012-03-18 00:00:00.000,True
115,115,4,4,2,2012-03-09,2012-03-18,50860.43,4068.83,1271.51,56200.77,2012-03-18 00:00:00.000,True
116,116,4,4,1,2012-03-09,2012-03-18,454.86,36.39,11.37,502.62,2012-03-18 00:00:00.000,True
117,117,4,4,5,2012-03-09,2012-03-18,43878.45,3510.28,1096.96,48485.69,2012-03-18 00:00:00.000,True
118,118,5,4,2,2012-03-09,2012-03-18,7132.13,570.57,178.3,7881.0,2012-03-18 00:00:00.000,True
119,119,4,4,2,2012-03-09,2012-03-18,28343.7,2267.5,708.59,31319.79,2012-03-18 00:00:00.000,True
120,120,4,4,4,2012-03-09,2012-03-18,22516.73,1801.34,562.92,24880.98,2012-03-18 00:00:00.000,True
121,121,4,4,5,2012-03-09,2012-03-18,34644.23,2771.54,866.11,38281.87,2012-03-18 00:00:00.000,True
122,122,4,4,4,2012-03-09,2012-03-18,266.24,21.3,6.66,294.19,2012-03-18 00:00:00.000,True
123,123,5,4,5,2012-03-09,2012-03-18,143.04,11.44,3.58,158.06,2012-03-18 00:00:00.000,True
124,124,4,3,2,2012-03-09,2012-03-18,28199.33,2255.95,704.98,31160.25,2012-03-18 00:00:00.000,True
125,125,4,4,1,2012-03-09,2012-03-18,3713.33,297.07,92.83,4103.22,2012-03-18 00:00:00.000,True
126,126,4,4,5,2012-03-09,2012-03-18,63831.08,5106.49,1595.78,70533.34,2012-03-18 00:00:00.000,True
127,127,4,4,5,2012-03-09,2012-03-18,16340.31,1307.22,408.51,18056.04,2012-03-18 00:00:00.000,True
128,128,4,4,5,2012-03-09,2012-03-18,5711.48,456.92,142.79,6311.18,2012-03-18 00:00:00.000,True
129,129,4,4,4,2012-03-14,2012-03-23,665.03,53.2,16.63,734.86,2012-03-23 00:00:00.000,True
130,130,4,4,2,2012-03-14,2012-03-23,97.97,7.84,2.45,108.25,2012-03-23 00:00:00.000,True
131,131,4,4,4,2012-03-14,2012-03-23,114.47,9.16,2.86,126.49,2012-03-23 00:00:00.000,True
132,132,6,4,4,2012-03-14,2012-03-23,132.65,10.61,3.32,146.57,2012-03-23 00:00:00.000,True
133,133,4,4,5,2012-03-28,2012-04-06,43878.45,3510.28,1096.96,48485.69,2012-04-06 00:00:00.000,True
134,134,4,3,1,2012-03-28,2012-04-06,418.95,33.52,10.47,462.94,2012-04-06 00:00:00.000,True
135,135,4,4,4,2012-03-28,2012-04-06,3413.25,273.06,85.33,3771.64,2012-04-06 00:00:00.000,True
136,136,4,4,1,2012-03-28,2012-04-06,461.79,36.94,11.54,510.28,2012-04-06 00:00:00.000,True
137,137,6,4,4,2012-04-11,2012-04-20,722.45,57.8,18.06,798.31,2012-04-20 00:00:00.000,True
138,138,4,4,2,2012-04-11,2012-04-20,37.08,2.97,0.93,40.97,2012-04-20 00:00:00.000,True
139,139,5,4,4,2012-04-11,2012-04-20,21558.08,1724.65,538.95,23821.67,2012-04-20 00:00:00.000,True
140,140,4,4,4,2012-04-11,2012-04-20,351.86,28.15,8.8,388.8,2012-04-20 00:00:00.000,True
141,141,4,4,4,2012-04-11,2012-04-20,45172.05,3613.76,1129.3,49915.12,2012-04-20 00:00:00.000,True
142,142,6,4,4,2012-04-11,2012-04-20,267.18,21.37,6.68,295.24,2012-04-20 00:00:00.000,True
143,143,4,4,5,2012-04-11,2012-04-20,415.8,33.26,10.4,459.46,2012-04-20 00:00:00.000,True
144,144,5,3,5,2012-04-11,2012-04-20,40471.2,3237.7,1011.78,44720.68,2012-04-20 00:00:00.000,True
145,145,4,4,4,2012-04-11,2012-04-20,662.1,52.97,16.55,731.62,2012-04-20 00:00:00.000,True
146,146,4,4,5,2012-04-11,2012-04-20,62092.8,4967.42,1552.32,68612.54,2012-04-20 00:00:00.000,True
147,147,4,4,5,2012-04-11,2012-04-20,5948.25,475.86,148.71,6572.82,2012-04-20 00:00:00.000,True
148,148,4,4,5,2012-04-11,2012-04-20,91117.95,7289.44,2277.95,100685.33,2012-04-20 00:00:00.000,True
149,149,4,4,1,2012-04-11,2012-04-20,525.0,42.0,13.13,580.13,2012-04-20 00:00:00.000,True
150,150,4,4,5,2012-04-11,2012-04-20,2003.68,160.29,50.09,2214.07,2012-04-20 00:00:00.000,True
151,151,5,4,4,2012-04-11,2012-04-20,26455.28,2116.42,661.38,29233.08,2012-04-20 00:00:00.000,True
152,152,4,4,2,2012-04-11,2012-04-20,944.37,75.55,23.61,1043.53,2012-04-20 00:00:00.000,True
153,153,4,4,1,2012-05-02,2012-05-11,6993.53,559.48,174.84,7727.85,2012-05-11 00:00:00.000,True
154,154,4,3,3,2012-05-02,2012-05-11,36122.63,2889.81,903.07,39915.5,2012-05-11 00:00:00.000,True
155,155,4,4,5,2012-05-02,2012-05-11,37843.58,3027.49,946.09,41817.15,2012-05-11 00:00:00.000,True
156,156,5,4,4,2012-05-02,2012-05-11,25531.28,2042.5,638.28,28212.06,2012-05-11 00:00:00.000,True
157,157,4,4,5,2012-05-30,2012-06-08,773.96,61.92,19.35,855.22,2012-06-08 00:00:00.000,True
158,158,4,4,4,2012-05-30,2012-06-08,125.75,10.06,3.14,138.95,2012-06-08 00:00:00.000,True
159,159,4,4,5,2012-05-30,2012-06-08,150.79,12.06,3.77,166.62,2012-06-08 00:00:00.000,True
160,160,4,4,4,2012-05-30,2012-06-08,391.55,31.32,9.79,432.66,2012-06-08 00:00:00.000,True
161,161,4,4,2,2012-05-30,2012-06-08,8847.3,707.78,221.18,9776.27,2012-06-08 00:00:00.000,True
162,162,4,4,5,2012-05-30,2012-06-08,171.08,13.69,4.28,189.04,2012-06-08 00:00:00.000,True
163,163,4,4,4,2012-05-30,2012-06-08,20397.3,1631.78,509.93,22539.02,2012-06-08 00:00:00.000,True
164,164,4,3,3,2012-05-30,2012-06-08,14628.08,1170.25,365.7,16164.02,2012-06-08 00:00:00.000,True
165,165,4,4,3,2012-05-30,2012-06-08,58685.55,4694.84,1467.14,64847.53,2012-06-08 00:00:00.000,True
166,166,4,4,4,2012-05-30,2012-06-08,481.89,38.55,12.05,532.49,2012-06-08 00:00:00.000,True
167,167,4,4,4,2012-05-30,2012-06-08,710.96,56.88,17.77,785.61,2012-06-08 00:00:00.000,True
168,168,4,4,5,2012-05-30,2012-06-08,1796.04,143.68,44.9,1984.62,2012-06-08 00:00:00.000,True
169,169,4,4,4,2012-05-30,2012-06-08,664.3,53.14,16.61,734.06,2012-06-08 00:00:00.000,True
170,170,4,4,5,2012-05-30,2012-06-08,34644.23,2771.54,866.11,38281.87,2012-06-08 00:00:00.000,True
171,171,4,4,3,2012-05-30,2012-06-08,1581.93,126.55,39.55,1748.03,2012-06-08 00:00:00.000,True
172,172,4,4,5,2012-05-30,2012-06-08,146.29,11.7,3.66,161.65,2012-06-08 00:00:00.000,True
173,173,4,4,5,2012-06-11,2012-06-20,102.56,8.21,2.56,113.33,2012-06-20 00:00:00.000,True
174,174,4,3,5,2012-06-11,2012-06-20,150.79,12.06,3.77,166.62,2012-06-20 00:00:00.000,True
175,175,4,4,5,2012-06-11,2012-06-20,13669.43,1093.55,341.74,15104.71,2012-06-20 00:00:00.000,True
176,176,4,4,5,2012-06-11,2012-06-20,13458.69,1076.7,336.47,14871.85,2012-06-20 00:00:00.000,True
177,177,4,4,2,2012-06-22,2012-07-01,101720.85,8137.67,2543.02,112401.54,2012-07-01 00:00:00.000,True
178,178,4,4,1,2012-06-22,2012-07-01,551.88,44.15,13.8,609.83,2012-07-01 00:00:00.000,True
179,179,4,4,1,2012-06-22,2012-07-01,6987.75,559.02,174.69,7721.46,2012-07-01 00:00:00.000,True
180,180,4,4,2,2012-06-22,2012-07-01,28072.28,2245.78,701.81,31019.86,2012-07-01 00:00:00.000,True
181,181,4,4,1,2012-06-22,2012-07-01,1917.3,153.38,47.93,2118.62,2012-07-01 00:00:00.000,True
182,182,4,4,1,2012-06-22,2012-07-01,4215.75,337.26,105.39,4658.4,2012-07-01 00:00:00.000,True
183,183,4,4,2,2012-06-22,2012-07-01,28297.5,2263.8,707.44,31268.74,2012-07-01 00:00:00.000,True
184,184,4,3,2,2012-06-22,2012-07-01,59.94,4.8,1.5,66.24,2012-07-01 00:00:00.000,True
185,185,4,4,4,2012-06-22,2012-07-01,1055.57,84.45,26.39,1166.4,2012-07-01 00:00:00.000,True
186,186,4,4,5,2012-06-22,2012-07-01,43878.45,3510.28,1096.96,48485.69,2012-07-01 00:00:00.000,True
187,187,4,4,4,2012-06-22,2012-07-01,747.81,59.82,18.7,826.33,2012-07-01 00:00:00.000,True
188,188,4,4,1,2012-06-22,2012-07-01,20957.48,1676.6,523.94,23158.01,2012-07-01 00:00:00.000,True
189,189,4,4,5,2012-06-22,2012-07-01,142.41,11.39,3.56,157.36,2012-07-01 00:00:00.000,True
190,190,4,4,2,2012-06-22,2012-07-01,48030.68,3842.45,1200.77,53073.9,2012-07-01 00:00:00.000,True
191,191,4,4,4,2012-06-22,2012-07-01,28597.02,2287.76,714.93,31599.71,2012-07-01 00:00:00.000,True
192,192,4,4,1,2012-06-22,2012-07-01,1276.28,102.1,31.91,1410.28,2012-07-01 00:00:00.000,True
193,193,4,4,1,2012-06-25,2012-07-04,2003.93,160.31,50.1,2214.34,2012-07-04 00:00:00.000,True
194,194,4,3,2,2012-06-25,2012-07-04,28343.7,2267.5,708.59,31319.79,2012-07-04 00:00:00.000,True
195,195,4,4,1,2012-06-25,2012-07-04,454.86,36.39,11.37,502.62,2012-07-04 00:00:00.000,True
196,196,4,4,5,2012-06-25,2012-07-04,43878.45,3510.28,1096.96,48485.69,2012-07-04 00:00:00.000,True
197,197,4,4,2,2012-06-25,2012-07-04,7132.13,570.57,178.3,7881.0,2012-07-04 00:00:00.000,True
198,198,4,4,2,2012-06-25,2012-07-04,28343.7,2267.5,708.59,31319.79,2012-07-04 00:00:00.000,True
199,199,4,4,4,2012-06-25,2012-07-04,22516.73,1801.34,562.92,24880.98,2012-07-04 00:00:00.000,True
200,200,4,4,5,2012-06-25,2012-07-04,34644.23,2771.54,866.11,38281.87,2012-07-04 00:00:00.000,True
201,201,4,4,5,2012-07-27,2012-08-05,532.92,42.63,13.32,588.87,2012-08-05 00:00:00.000,True
202,202,4,4,5,2012-07-27,2012-08-05,143.04,11.44,3.58,158.06,2012-08-05 00:00:00.000,True
203,203,4,4,2,2012-07-27,2012-08-05,28199.33,2255.95,704.98,31160.25,2012-08-05 00:00:00.000,True
204,204,4,3,1,2012-07-27,2012-08-05,3713.33,297.07,92.83,4103.22,2012-08-05 00:00:00.000,True
205,205,4,4,5,2012-07-27,2012-08-05,63831.08,5106.49,1595.78,70533.34,2012-08-05 00:00:00.000,True
206,206,4,4,5,2012-07-27,2012-08-05,13361.04,1068.88,334.03,14763.95,2012-08-05 00:00:00.000,True
207,207,4,4,5,2012-07-27,2012-08-05,5711.48,456.92,142.79,6311.18,2012-08-05 00:00:00.000,True
208,208,4,4,4,2012-07-27,2012-08-05,627.45,50.2,15.69,693.33,2012-08-05 00:00:00.000,True
209,209,4,4,2,2012-07-31,2012-08-09,97.97,7.84,2.45,108.25,2012-08-09 00:00:00.000,True
210,210,4,4,4,2012-07-31,2012-08-09,114.47,9.16,2.86,126.49,2012-08-09 00:00:00.000,True
211,211,4,4,4,2012-07-31,2012-08-09,132.65,10.61,3.32,146.57,2012-08-09 00:00:00.000,True
212,212,4,4,5,2012-07-31,2012-08-09,43878.45,3510.28,1096.96,48485.69,2012-08-09 00:00:00.000,True
213,213,4,4,1,2012-08-15,2012-08-24,418.95,33.52,10.47,462.94,2012-08-24 00:00:00.000,True
214,214,4,3,4,2012-08-15,2012-08-24,272.44,21.8,6.81,301.05,2012-08-24 00:00:00.000,True
215,215,4,4,1,2012-08-15,2012-08-24,461.79,36.94,11.54,510.28,2012-08-24 00:00:00.000,True
216,216,4,4,5,2012-08-15,2012-08-24,544.73,43.58,13.62,601.93,2012-08-24 00:00:00.000,True
217,217,4,4,2,2012-08-15,2012-08-24,37.08,2.97,0.93,40.97,2012-08-24 00:00:00.000,True
218,218,4,4,4,2012-08-15,2012-08-24,21558.08,1724.65,538.95,23821.67,2012-08-24 00:00:00.000,True
219,219,4,4,4,2012-08-15,2012-08-24,612.11,48.97,15.3,676.38,2012-08-24 00:00:00.000,True
220,220,4,4,5,2012-08-15,2012-08-24,65240.18,5219.21,1631.0,72090.39,2012-08-24 00:00:00.000,True
221,221,4,4,5,2012-08-16,2012-08-25,534.81,42.78,13.37,590.96,2012-08-25 00:00:00.000,True
222,222,4,4,5,2012-08-16,2012-08-25,273.07,21.85,6.83,301.75,2012-08-25 00:00:00.000,True
223,223,4,4,5,2012-08-16,2012-08-25,40471.2,3237.7,1011.78,44720.68,2012-08-25 00:00:00.000,True
224,224,4,3,5,2012-08-16,2012-08-25,278.52,22.28,6.96,307.77,2012-08-25 00:00:00.000,True
225,225,4,4,5,2012-08-24,2012-09-02,62092.8,4967.42,1552.32,68612.54,2012-09-02 00:00:00.000,True
226,226,4,4,5,2012-08-24,2012-09-02,5948.25,475.86,148.71,6572.82,2012-09-02 00:00:00.000,True
227,227,5,4,5,2012-08-24,2012-09-02,91117.95,7289.44,2277.95,100685.33,2012-09-02 00:00:00.000,True
228,228,4,4,1,2012-08-24,2012-09-02,525.0,42.0,13.13,580.13,2012-09-02 00:00:00.000,True
229,229,4,4,5,2012-08-24,2012-09-02,2003.68,160.29,50.09,2214.07,2012-09-02 00:00:00.000,True
230,230,4,4,4,2012-08-24,2012-09-02,26455.28,2116.42,661.38,29233.08,2012-09-02 00:00:00.000,True
231,231,4,4,2,2012-08-24,2012-09-02,944.37,75.55,23.61,1043.53,2012-09-02 00:00:00.000,True
232,232,4,4,4,2012-08-24,2012-09-02,44594.55,3567.56,1114.86,49276.98,2012-09-02 00:00:00.000,True
233,233,4,4,5,2012-08-28,2012-09-06,26720.93,2137.67,668.02,29526.62,2012-09-06 00:00:00.000,True
234,234,4,3,5,2012-08-28,2012-09-06,37843.58,3027.49,946.09,41817.15,2012-09-06 00:00:00.000,True
