SALESORDERREASONKEY,SALESORDERID,SALESORDERHEADERKEY,REASONNAME,REASONTYPE,ISCURRENT,STARTDATE,ENDDATE,HASHDIFF
39,43725,67,Manufacturer,Other,True,2006-06-23,9999-12-31 00:00:00,748fc804af299551d185c317a888e19b0d7985ebfbdd1802deadd797e71c9cbc
40,43725,67,Qualityyy,Other,True,2006-06-23,9999-12-31 00:00:00,4515362621f5450407a36371865a2b2ea6d7ac1c5b0530d80c1df650d68b8746
41,43727,69,Manufacturer,Other,True,2006-06-23,9999-12-31 00:00:00,2fbae0c36558386503849ce364539572e1a050aa41018995105dd925548a956d
42,43727,69,Qualityyy,Other,True,2006-06-23,9999-12-31 00:00:00,22f679b6152aa30060bb3dcd4a1af4f887d784ab7eb669ecc586df3a6c14c5b9
43,43728,70,Manufacturer,Other,True,2006-06-23,9999-12-31 00:00:00,d2a68279e6adb363663bc7858a738523a505842441144a6ac6b6fd04998c7776
44,43728,70,Qualityyy,Other,True,2006-06-23,9999-12-31 00:00:00,1fe22c274c226b1afb3b0b6137cf741571d5e3bbf44c297ad4a80a96396e2a24
45,43731,73,Manufacturer,Other,True,2006-06-23,9999-12-31 00:00:00,7f5aef0f0b811b6ddc6d666177085c78a6feda8034e731e8b688e94302092ed1
46,43731,73,Qualityyy,Other,True,2006-06-23,9999-12-31 00:00:00,fc909de6ada4381cfb57f1b1f0e545f49292c368a1464e92d2423ed5f05d5af7
47,43733,75,Manufacturer,Other,True,2006-06-23,9999-12-31 00:00:00,cd7b1635541635b105fe41926042d0703ef9876f09d4cc591e1ca6815bc91795
48,43733,75,Qualityyy,Other,True,2006-06-23,9999-12-31 00:00:00,870d4c552d2206d9e3626cac44a8c0ef1e16de4278f21d4b271ad9377d8d7db5
49,43734,76,Manufacturer,Other,True,2006-06-23,9999-12-31 00:00:00,afc973d411b0a87a931340fad61ffe86c393761554018b4463d28be77d46aded
50,43734,76,Qualityyy,Other,True,2006-06-23,9999-12-31 00:00:00,2874e153d33c99840fb924421dfd7cb76c151bb296c07bc41661736819972bb3
51,43735,77,Manufacturer,Other,True,2006-06-23,9999-12-31 00:00:00,0f5a9394d50823c01e78281507f17da76e160feac2b6cec367c8098a51f0258a
52,43735,77,Qualityyy,Other,True,2006-06-23,9999-12-31 00:00:00,efdf0d09971fc79ae73a77e031fac9835dcb96c737e3847b6bec051e7173c94c
53,43739,79,Manufacturer,Other,True,2006-06-23,9999-12-31 00:00:00,6d78f105e3aceaed5480864fc3197cbe95798f1aacc38a9506cb8c69b95ca475
54,43739,79,Qualityyy,Other,True,2006-06-23,9999-12-31 00:00:00,126e805830e77266916b4f87e9906b3130c217ac84093fe2a8c102efc8714afd
55,43740,80,Manufacturer,Other,True,2006-06-23,9999-12-31 00:00:00,fce5a5a280fda36749c5a1519343d04adacfaba1417da6d6d8a548473d4697bf
56,43740,80,Qualityyy,Other,True,2006-06-23,9999-12-31 00:00:00,3c7c46daa4b93d2a7198db57aa405fb456086daeab4befe20bac7a3ebe0ef09a
57,43738,81,Manufacturer,Other,True,2006-06-23,9999-12-31 00:00:00,9cfb1a32adc36f3d27d3e2a08899db5961d970ed7c8e410b3e7c5e8fca4589c8
58,43738,81,Qualityyy,Other,True,2006-06-23,9999-12-31 00:00:00,e3aac18bf6dbc801c78fafbfbf3722c1bfcd83dc465a01d9ad5a8c3608cdcbec
59,43737,82,Manufacturer,Other,True,2006-06-23,9999-12-31 00:00:00,00e282e65e1d11d4559314248b46a21f776e3f7f1d78999357eb201a5b70e422
60,43737,82,Qualityyy,Other,True,2006-06-23,9999-12-31 00:00:00,9c8d441d2aed65a0dd38a9a65fca8f21f8a1c37cfda7c3673f28f4966ee06bfb
61,43741,83,Manufacturer,Other,True,2006-06-23,9999-12-31 00:00:00,24d730f12b516626493fa34ad4e5a315351bc9bda66e4b200e8a3ec42a48aecf
62,43741,83,Qualityyy,Other,True,2006-06-23,9999-12-31 00:00:00,80b795827ec21b2372dcc94c2e74d53ec73d05921d9ee28b7135ac996cf8d19e
63,43742,84,Manufacturer,Other,True,2006-06-23,9999-12-31 00:00:00,56646829d555af33ec83fd0c1bcbf343cdb9274417a6ec0f5efb2f377311572d
64,43742,84,Qualityyy,Other,True,2006-06-23,9999-12-31 00:00:00,04f8ba398b02a6c9d1f3023db843ed58eb52c202e2d0b22cc485905a2c602480
65,43744,86,Manufacturer,Other,True,2006-06-23,9999-12-31 00:00:00,2e2fd514657862071c54c99367273fbded800999def39ce4c431c78cd2fa3ed4
66,43744,86,Qualityyy,Other,True,2006-06-23,9999-12-31 00:00:00,21338591a00ac02f8213cd7828c66010f3437cf22a3bc22922829cd41491f2a4
67,43745,87,Manufacturer,Other,True,2006-06-23,9999-12-31 00:00:00,36e4d9df7668d1e6b0c9e6ea3e715ab3bf0fba70e2df850c44041e004c718935
68,43745,87,Qualityyy,Other,True,2006-06-23,9999-12-31 00:00:00,cbcc2f81bdba00b2b51acd2465dbbf9369d4b54a37408c34c27b5c06a600c85e
69,43746,88,Manufacturer,Other,True,2006-06-23,9999-12-31 00:00:00,18b4d21cf5b12efe91b07589ec27e399f6b4c6b5ba030191eb1583e788975349
70,43746,88,Qualityyy,Other,True,2006-06-23,9999-12-31 00:00:00,3c961ce45664443a4beed409c92e5ab9220ad81fb91ec96540ec0cb2315618ea
71,43747,89,Manufacturer,Other,True,2006-06-23,9999-12-31 00:00:00,0d00db6d01d0d2d2f6fdeace0b2d59b264517fefa95e046a95e3445d96f7db09
72,43747,89,Qualityyy,Other,True,2006-06-23,9999-12-31 00:00:00,79c456dca1d78dcd13e712c8049a7a580cc9c07135b208d6c81a711fb03dd1ab
73,43748,90,Manufacturer,Other,True,2006-06-23,9999-12-31 00:00:00,fc1391b320fa060852da9d983bee22b024c11d6445e5956f1f25109325695082
74,43748,90,Qualityyy,Other,True,2006-06-23,9999-12-31 00:00:00,4824702489d46bc73aa739cb07379a802a1b46a3ed7ee68ae6cba95beda842f0
75,43749,91,Manufacturer,Other,True,2006-06-23,9999-12-31 00:00:00,52a9304ff5e72dddb805309664448fa9321c494c4d0af8ede285e812ebe18444
76,43749,91,Qualityyy,Other,True,2006-06-23,9999-12-31 00:00:00,0296490fcd5c5e6e47580e4bb4a84468ae1ba23211560531dff7dc700c7706c9
77,43750,92,Manufacturer,Other,True,2006-06-23,9999-12-31 00:00:00,1aa32f72683e0354e0579eda6cd56f97093ff5e1d356ee775bb7d98ad234ebb9
78,43750,92,Qualityyy,Other,True,2006-06-23,9999-12-31 00:00:00,74640b778d49203c7753df3c8c048944c9e7ba337edbb0f4a6d161b0133c2ba0
79,43751,93,Manufacturer,Other,True,2006-06-23,9999-12-31 00:00:00,4d81c1e548b60f2cf32f0bac5059e37836de3eb3f35dc9b31849ec31bc553941
80,43751,93,Qualityyy,Other,True,2006-06-23,9999-12-31 00:00:00,26be549f3f4331d60bc084cc0f94d4f5a516bb64c6348e7b1e248d627083a25c
81,43752,94,Manufacturer,Other,True,2006-06-23,9999-12-31 00:00:00,26d1a538645abd615e349483732a9f19226a92fcf351af5c211f36363249e3e0
82,43752,94,Qualityyy,Other,True,2006-06-23,9999-12-31 00:00:00,b48fd69bea3cb1eaa9cdc44e97af4a94c460c09156f5db326d6312c9a716f777
83,43753,95,Manufacturer,Other,True,2006-06-23,9999-12-31 00:00:00,1522da2fddf1466aa7d4f460a9182053dc7bb7c6579c6676ddce1dc6cdd10688
84,43753,95,Qualityyy,Other,True,2006-06-23,9999-12-31 00:00:00,caa4e98a2b80dd3e6afc3e12b08f84c69fe3b5ae2fcf2155cc608fcf6ae306b8
85,43755,98,Manufacturer,Other,True,2006-06-23,9999-12-31 00:00:00,c1158a265f17ae800b6cb83ca66c6135a08372d54b57daeef5859dde26383587
86,43755,98,Qualityyy,Other,True,2006-06-23,9999-12-31 00:00:00,a6187044bb4772d20bcb5edc4e88711c8c03241d93ade850d7f03db461b8cae3
87,43754,99,Manufacturer,Other,True,2006-06-23,9999-12-31 00:00:00,2f2911af37b40226329986615fb63d7ce1f861de2239129afb5c1961ed133df8
88,43754,99,Qualityyy,Other,True,2006-06-23,9999-12-31 00:00:00,1c9474d0174a35ebff0c9d7776820d08e4e240f9d93495c06059090f165495d9
89,43758,100,Manufacturer,Other,True,2006-06-23,9999-12-31 00:00:00,f924cf26708a1debf4a423291ed40133035a563722d6b61f1071e6685cc0439a
90,43758,100,Qualityyy,Other,True,2006-06-23,9999-12-31 00:00:00,138ea80422f6eb326917761b7ab7c6a9fbdb14fc812d47f6f5356898fd3adc50
91,43759,101,Manufacturer,Other,True,2006-06-23,9999-12-31 00:00:00,ade93c793b04e3426669d82d5cf94adfa6a1e1987e37997a58b9b6cdd9bbb185
92,43759,101,Qualityyy,Other,True,2006-06-23,9999-12-31 00:00:00,868a441da056ec4147ed5789b4cef5506ca29e0297aed5b35ac497f1dcbe0877
93,43760,102,Manufacturer,Other,True,2006-06-23,9999-12-31 00:00:00,fa228cb1f2af894e372c737a86a9c850e7cff98085777921ae50b3c6701b7d4f
94,43760,102,Qualityyy,Other,True,2006-06-23,9999-12-31 00:00:00,e784af2b329b3c437e745a1c96c1b9773829009c3ac9579d32e67714b6626cf0
95,43761,103,Manufacturer,Other,True,2006-06-23,9999-12-31 00:00:00,d62325abc30b0f5780f92548aabbd40d7f24d717f7d6de1236077e9ac918169a
96,43761,103,Qualityyy,Other,True,2006-06-23,9999-12-31 00:00:00,3184d1627a9d987b34c4fe6eaf78638fec2731935a812a58a48151f6271dd7b5
97,43763,104,Manufacturer,Other,True,2006-06-23,9999-12-31 00:00:00,2466f0d4d1c449e96880912655b1c406a89109e0fc76aba2dc773d9f8d514745
98,43763,104,Qualityyy,Other,True,2006-06-23,9999-12-31 00:00:00,1dda78da2091e549b20814b793a8d576cdb46459d2e9d81246c42c38732cd99d
99,43764,106,Manufacturer,Other,True,2006-06-23,9999-12-31 00:00:00,9bd450656b0601f6d54c021ec0221766af7e529d0c94b4a78e1aad2be066f351
100,43764,106,Qualityyy,Other,True,2006-06-23,9999-12-31 00:00:00,c119711165ad9839404fac0db9129d964f67d73d6c65af85d028adc9213cd385
101,43762,107,Manufacturer,Other,True,2006-06-23,9999-12-31 00:00:00,f2aa168d5845dbaced931aacd3d3d3554ffc80e9578a17c3a57238796271fb1c
102,43762,107,Qualityyy,Other,True,2006-06-23,9999-12-31 00:00:00,9182295b5126f4bc98ffba93b84e24c5309c1e5b62aa27f2ff9822a8bf656ce6
103,43766,108,Manufacturer,Other,True,2006-06-23,9999-12-31 00:00:00,3aed3328c45b0ffef7d7dd2e6b771a5039154fa44353c119fbcfe42c17a5326d
104,43766,108,Qualityyy,Other,True,2006-06-23,9999-12-31 00:00:00,f9d1fcdbd75afd04d1dbd988136955550ad29ac9d29edd0642ecb419a98aecdb
105,43770,110,Manufacturer,Other,True,2006-06-23,9999-12-31 00:00:00,4ecc1864b16323ec2c335f614873764bef507cb64dfd56c72f15f1d31f1f1910
106,43770,110,Qualityyy,Other,True,2006-06-23,9999-12-31 00:00:00,6ef1ffc7506ec8efe164378bda28446d67950034335af5a272105f2c65714d14
107,43774,112,Manufacturer,Other,True,2006-06-23,9999-12-31 00:00:00,ff232d328db0b84af934667647fb77bcb49e666d59a747e2db7b41abe70cd796
108,43774,112,Qualityyy,Other,True,2006-06-23,9999-12-31 00:00:00,c92e93cd429170355ecca57f0bbda9c81712c1c7fd105d5eec5d4c8ed5791cec
109,43773,113,Manufacturer,Other,True,2006-06-23,9999-12-31 00:00:00,cbabf672f8e7f0e20dd81e1ac3580704ce150f1c49fd6d2e0c2806a4d0bbfcd4
110,43773,113,Qualityyy,Other,True,2006-06-23,9999-12-31 00:00:00,b70f430975a3fec9e13a0f307dd9a74d1f42157d78545340d382d615928559e3
111,43772,114,Manufacturer,Other,True,2006-06-23,9999-12-31 00:00:00,a08001de5cedcf0fb68dd0b5a07b7339445bb159e88d49d41ef6d6e7a1c6651d
112,43772,114,Qualityyy,Other,True,2006-06-23,9999-12-31 00:00:00,901f987b0a1b4e27954efbd907f50386c866c7b4a2c521950ff7c9c1700dad2b
113,43769,116,Manufacturer,Other,True,2006-06-23,9999-12-31 00:00:00,c3756cf9469501933dece8171f822033d1709b705760a6b6df18c383337c9b04
114,43769,116,Qualityyy,Other,True,2006-06-23,9999-12-31 00:00:00,1d5741dbad2e6ce0bb61984356c86b446df64ec3dbd1e673c73585c17381624e
115,43768,117,Manufacturer,Other,True,2006-06-23,9999-12-31 00:00:00,84822d1856f077178e04988da8d573f9bd4ee8227815ea254bd9501f3470e787
116,43768,117,Qualityyy,Other,True,2006-06-23,9999-12-31 00:00:00,52242f8b2190bcac9df92d70461e197dddc13a4e6f38992f08a13574f4fc87a1
117,43776,118,Manufacturer,Other,True,2006-06-23,9999-12-31 00:00:00,e2149078e8cd438e22fb666f0f28c3e27e68fe0ebf0bbab768efd2ac642a4cfd
118,43776,118,Qualityyy,Other,True,2006-06-23,9999-12-31 00:00:00,6bb4df5467913d5d5f755fbb8b765d2d2730f3277aa12dbb601f0ea66d204d64
119,43777,119,Manufacturer,Other,True,2006-06-23,9999-12-31 00:00:00,10d3cec1d4985f4fa79da9b57ca6946760694b96282575308ade13b7b877dcda
120,43777,119,Qualityyy,Other,True,2006-06-23,9999-12-31 00:00:00,47949de56e4996e6fda8ea6b5c46f027aa9b8fff9e4709fbbf3dc567d7176902
121,43780,122,Manufacturer,Other,True,2006-06-23,9999-12-31 00:00:00,35a41d185d5cdd6541a203d94253184de7ae51644b80e7382549c9bdd0ca48a9
122,43780,122,Qualityyy,Other,True,2006-06-23,9999-12-31 00:00:00,20f9c58cc6c743aadda736aac5f4624800dc2537cf150b486c4accf3d2395088
123,43781,123,Manufacturer,Other,True,2006-06-23,9999-12-31 00:00:00,028419cc0d09def972aa24a8f560311105b5aedd0ba68fe6bf15b0008125bbe6
124,43781,123,Qualityyy,Other,True,2006-06-23,9999-12-31 00:00:00,9ee63808e61338d488985968ba914e336f2e8b5ee597c491f0148a39dcfa762c
125,43782,124,Manufacturer,Other,True,2006-06-23,9999-12-31 00:00:00,7768ebb7059903f9d8b1ccc95158ac0373a99405b25377710566be6d114bf3c5
126,43782,124,Qualityyy,Other,True,2006-06-23,9999-12-31 00:00:00,695c634396aeeee926b621f569b44ae5a3278a5f6ab25b599b75f403728cf8a6
127,43783,125,Manufacturer,Other,True,2006-06-23,9999-12-31 00:00:00,f9c88e5d754c72f63de16181f312fd7439ef3af460d0a985a00ba53793dc6030
128,43783,125,Qualityyy,Other,True,2006-06-23,9999-12-31 00:00:00,5fdc0a6cedf4eb9565149eac305d698772b52a9a416ab7c415e36b468e8125dc
129,43791,127,Manufacturer,Other,True,2006-06-23,9999-12-31 00:00:00,f0c8992e98ea66692831413ce33b02a9f9d2b24845a9d7237273e3e1ae50c341
130,43791,127,Qualityyy,Other,True,2006-06-23,9999-12-31 00:00:00,240d0221007260723bf772a8f3dc6fbeebbf3eb1ebbeafbaa9c7dc424b1bd61e
131,43792,128,Manufacturer,Other,True,2006-06-23,9999-12-31 00:00:00,0050b4d058525f3a3e483ed8d04153fab3433731bfbf4e08875c46e81e202b36
132,43792,128,Qualityyy,Other,True,2006-06-23,9999-12-31 00:00:00,ceed47168c50a3aa6dd4469dfb9d145babc8afde15879846f440ebf10e549ccb
133,43786,131,Manufacturer,Other,True,2006-06-23,9999-12-31 00:00:00,2d2880a07af90c422174c626df979a519b935eb960990f2a0e492d9c3a8131a5
134,43786,131,Qualityyy,Other,True,2006-06-23,9999-12-31 00:00:00,efcad14ee098ecba450d214e5832d0c16efc7a8a0968134b33c8a16f532f0d82
135,43785,135,Manufacturer,Other,True,2006-06-23,9999-12-31 00:00:00,fcb41b9f7383b1fab9bbd92f345ff9e7baf59e3dc5417a97fe2d6c0f4521e01a
136,43785,135,Qualityyy,Other,True,2006-06-23,9999-12-31 00:00:00,91d7b457fffb513edfd315f123c6140232e0680ee874572ef53bff4528d36bcc
137,43784,136,Manufacturer,Other,True,2006-06-23,9999-12-31 00:00:00,a9fa894db745ff9cc889d3ccd5bd46722eebfb0a350aee3d6e0ae5c528d4f6fd
138,43784,136,Qualityyy,Other,True,2006-06-23,9999-12-31 00:00:00,57fa093383648df0738876ff0329c529726bc9de32461924e7713d41d2711a2f
139,43795,137,Manufacturer,Other,True,2006-06-23,9999-12-31 00:00:00,bca6d347deb2ce0a4c6e5a6b80033b4a8a935c2f9b5205378c9babfef064459f
140,43795,137,Qualityyy,Other,True,2006-06-23,9999-12-31 00:00:00,39fd81b198c17087bff9ee884ab9f3f745ae9b1274794e4ec609573612383e5c
141,43797,139,Manufacturer,Other,True,2006-06-23,9999-12-31 00:00:00,eff2bc17434a3af4c64d6c466339f04e2ebecdc01e45a5c86d12e8f9f14c938f
142,43797,139,Qualityyy,Other,True,2006-06-23,9999-12-31 00:00:00,f00c7171d110d2fa1dd4202ea550fe9e5d98be8b83b49d5c2f31be0450d251fc
143,43798,140,Manufacturer,Other,True,2006-06-23,9999-12-31 00:00:00,19bf711e6b165ced6c4b0eeba9d36cba1725ee80d62195e9ad81520ae4eea1e4
144,43798,140,Qualityyy,Other,True,2006-06-23,9999-12-31 00:00:00,b26af9d4080ba1f3a131b9b1eb57c28251e32ae7bf4c2b68e98cdb45dc9da85f
145,43799,141,Manufacturer,Other,True,2006-06-23,9999-12-31 00:00:00,11a63a64a71df61cf457979f16673c64a20fb57edfaed333284b88a933db4e9b
146,43799,141,Qualityyy,Other,True,2006-06-23,9999-12-31 00:00:00,3d97c3e2207dfa919806f2f1c1536069da06041e875cc31ca4e473e3ada2c0b0
147,43802,142,Manufacturer,Other,True,2006-06-23,9999-12-31 00:00:00,4017d5ff73e80260fa103a4b5fb63f8684c967dc3ca11e44babe7b6ad9e5b194
148,43802,142,Qualityyy,Other,True,2006-06-23,9999-12-31 00:00:00,88ff7faf5306ad7e6d95e9cdacc5204603c8c42dafba3e9ff2ca9a2bbb4ef3c4
149,43801,143,Manufacturer,Other,True,2006-06-23,9999-12-31 00:00:00,17989cb811cc8e52586ab90726b901b8d7ca31a156a716c9dbed196e13c491ab
150,43801,143,Qualityyy,Other,True,2006-06-23,9999-12-31 00:00:00,e294d612eac3fd4e4160b996d00910ea26cd3b2818cd6c043b27ea3c2b49ddf6
151,43800,144,Manufacturer,Other,True,2006-06-23,9999-12-31 00:00:00,aa4a04c59a04ab549bcf02371cf20e7d1bd3752911cf124e5db67cc43cf7fa03
152,43800,144,Qualityyy,Other,True,2006-06-23,9999-12-31 00:00:00,0ddb5fdd2c68a00139d1c920fe0852b0fffed38448138801e41dce269788de79
153,43803,145,Manufacturer,Other,True,2006-06-23,9999-12-31 00:00:00,c1fcef5b066999aa802bde1c195c8a960745383bbcd381f1347045487ac10721
154,43803,145,Qualityyy,Other,True,2006-06-23,9999-12-31 00:00:00,88c8c8ace20cf6b2227222a7ee29c4e56c99afcf713e32378dce623359d31db8
155,43804,146,Manufacturer,Other,True,2006-06-23,9999-12-31 00:00:00,bbc11124edadb66f7a5252741725ed07a54b5d88058d9292ba22b42cd5224be5
156,43804,146,Qualityyy,Other,True,2006-06-23,9999-12-31 00:00:00,e8dad3bda2d5c6286fb80d07815e0e2bce46554aba7228f8e05023140e7c6d44
157,43806,148,Manufacturer,Other,True,2006-06-23,9999-12-31 00:00:00,d1fc7c9fe81c643287c6cb19c21b57524036428388915418fd624b65f7df9cdf
158,43806,148,Qualityyy,Other,True,2006-06-23,9999-12-31 00:00:00,6adea8d93483eaa79665ff6755d1320c1e6b64f9ffe43d4c0c2dd456e681bb80
159,43807,149,Manufacturer,Other,True,2006-06-23,9999-12-31 00:00:00,6e92ab8cf75063a31770113cbb101eba4ac15de4a32e588681897b99e22b32c5
160,43807,149,Qualityyy,Other,True,2006-06-23,9999-12-31 00:00:00,2d8180f753bf12c4d181a919374b103868ee59839afc44fc0a434848891c05ea
161,43808,150,Manufacturer,Other,True,2006-06-23,9999-12-31 00:00:00,afde2cb8c2836d87b33df72ed653c7952788d9bf8f544bf2d3ea06dfcfc767bf
162,43808,150,Qualityyy,Other,True,2006-06-23,9999-12-31 00:00:00,812d2fa29bf0192d4a536d93dabbc72620b011217bef405608667cc2f04e96df
163,43809,151,Manufacturer,Other,True,2006-06-23,9999-12-31 00:00:00,a6a725821e25073e0fdf8bbb7acbefcabf77235fd745922209c68ac1ea9390ea
164,43809,151,Qualityyy,Other,True,2006-06-23,9999-12-31 00:00:00,b33f3193b0a5e04bda07cce4759ef520e61f71c2c82aa37de78f2942bea3d68b
165,43812,154,Manufacturer,Other,True,2006-06-23,9999-12-31 00:00:00,fc234e472211e9a15bbc311b6a2a7c0c4348f61690e15c6c6a5711793afc3c03
166,43812,154,Qualityyy,Other,True,2006-06-23,9999-12-31 00:00:00,d2473b00e8980ec389bb48d22860cb77da0f3421f6e133881c28af83d6d2cea1
167,43818,156,Manufacturer,Other,True,2006-06-23,9999-12-31 00:00:00,9d11648ee9a01ea41977d57e3ac0cf5f70e05dc452d13dc877896d7b818a4a6c
168,43818,156,Qualityyy,Other,True,2006-06-23,9999-12-31 00:00:00,c8e1f99146c65f24cfba6127e53c8ef9791e658b8d46d9fd7c0643f3a8698ba6
169,43817,157,Manufacturer,Other,True,2006-06-23,9999-12-31 00:00:00,e80ff39b29251b9dd0035372e4c39a4712d2dbedb17ac204982e870b63243ca2
