STOREKEY,BUSINESSENTITYID,STORENAME,SALESPERSONKEY,SALESPERSONID,DEMOGRAPHICS,ROWGUID,STOREMODIFIEDDATE,ISCURRENT,STARTDATE,ENDDATE,HASHDIFF
11,312,Vinyl and Plastic Goods Corporation,9,282,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>1500000</AnnualSales><AnnualRevenue>150000</AnnualRevenue><BankName>Primary Bank &amp; Reserve</BankName><BusinessType>OS</BusinessType><YearOpened>1980</YearOpened><Specialty>Mountain</Specialty><SquareFeet>41000</SquareFeet><Brands>4+</Brands><Internet>DSL</Internet><NumberEmployees>43</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,baac074429d1afeee3230317723b66cdbf1272cc13fad0376b8e66babc28ebf9
12,314,Top of the Line Bikes,15,288,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>1500000</AnnualSales><AnnualRevenue>150000</AnnualRevenue><BankName>International Bank</BankName><BusinessType>OS</BusinessType><YearOpened>1986</YearOpened><Specialty>Touring</Specialty><SquareFeet>40000</SquareFeet><Brands>4+</Brands><Internet>DSL</Internet><NumberEmployees>46</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,b4ed634f364a9b7116041efbfb317ba8b2e1adb90e293b09b226d5290a6b1eb7
13,316,Fun Toys and Bikes,8,281,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>300000</AnnualSales><AnnualRevenue>30000</AnnualRevenue><BankName>Primary Bank &amp; Reserve</BankName><BusinessType>BM</BusinessType><YearOpened>1973</YearOpened><Specialty>Touring</Specialty><SquareFeet>6000</SquareFeet><Brands>2</Brands><Internet>DSL</Internet><NumberEmployees>2</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,92f50d41abfc0018a914038714c653432b2af835ea678bb4fc59ea0a9e163eed
14,318,Great Bikes ,10,283,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>300000</AnnualSales><AnnualRevenue>30000</AnnualRevenue><BankName>International Security</BankName><BusinessType>BM</BusinessType><YearOpened>1981</YearOpened><Specialty>Mountain</Specialty><SquareFeet>10000</SquareFeet><Brands>4+</Brands><Internet>T3</Internet><NumberEmployees>3</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,48ea4415a46c45d3251d995727f3311d31322ce1456d597473a80945f4cff5a6
15,320,Metropolitan Sales and Rental,2,275,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>300000</AnnualSales><AnnualRevenue>30000</AnnualRevenue><BankName>Guardian Bank</BankName><BusinessType>BM</BusinessType><YearOpened>1976</YearOpened><Specialty>Road</Specialty><SquareFeet>6000</SquareFeet><Brands>AW</Brands><Internet>T1</Internet><NumberEmployees>4</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,f7242a3fcc7419ca0c218904f9c1a5d03e6c8236ed50954d8bf3d551ad1f5f99
16,322,Irregulars Outlet,15,288,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>300000</AnnualSales><AnnualRevenue>30000</AnnualRevenue><BankName>Primary International</BankName><BusinessType>BM</BusinessType><YearOpened>1984</YearOpened><Specialty>Mountain</Specialty><SquareFeet>7000</SquareFeet><Brands>AW</Brands><Internet>DSL</Internet><NumberEmployees>5</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,34f0bc3f6519ed5d0df7b6203eb5cf27422671fa79cc93246c7d4dba1e0ae58c
17,324,Valley Toy Store,9,282,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>300000</AnnualSales><AnnualRevenue>30000</AnnualRevenue><BankName>Reserve Security</BankName><BusinessType>BM</BusinessType><YearOpened>1979</YearOpened><Specialty>Mountain</Specialty><SquareFeet>9000</SquareFeet><Brands>2</Brands><Internet>T1</Internet><NumberEmployees>6</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,09b4daa12dfec52e2836cd3d3270c2f03c226cb9833397e5cf0532ca3c9c54a9
18,326,Worthwhile Activity Store,6,279,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>300000</AnnualSales><AnnualRevenue>30000</AnnualRevenue><BankName>United Security</BankName><BusinessType>BM</BusinessType><YearOpened>1987</YearOpened><Specialty>Mountain</Specialty><SquareFeet>8000</SquareFeet><Brands>2</Brands><Internet>DSL</Internet><NumberEmployees>7</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,8e8e2bdf9f6d632e8b7f94788a7386365bcbaa375e1003e139a941a6bf70aac5
19,328,Purchase Mart,2,275,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>1500000</AnnualSales><AnnualRevenue>150000</AnnualRevenue><BankName>United Security</BankName><BusinessType>OS</BusinessType><YearOpened>1992</YearOpened><Specialty>Touring</Specialty><SquareFeet>38000</SquareFeet><Brands>3</Brands><Internet>ISDN</Internet><NumberEmployees>49</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,982688d8f7cfbc834367682bbf0b51f6562b37f7df6df96baec46f1b41388e77
20,330,Major Sport Suppliers,10,283,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>3000000</AnnualSales><AnnualRevenue>300000</AnnualRevenue><BankName>Reserve Security</BankName><BusinessType>OS</BusinessType><YearOpened>1998</YearOpened><Specialty>Mountain</Specialty><SquareFeet>68000</SquareFeet><Brands>3</Brands><Internet>DSL</Internet><NumberEmployees>52</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,e151d65862771f1f16c458e7ab92e0dfec2581b91e9a2ab3dd228fb691248257
21,332,Family's Favorite Bike Shop,5,278,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>800000</AnnualSales><AnnualRevenue>80000</AnnualRevenue><BankName>Primary International</BankName><BusinessType>BM</BusinessType><YearOpened>1997</YearOpened><Specialty>Mountain</Specialty><SquareFeet>21000</SquareFeet><Brands>3</Brands><Internet>ISDN</Internet><NumberEmployees>18</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,7a1d95766f1a498597bbbf1ad146db2df207c3e54c9aa4a706f29e207fe13a00
22,334,Global Plaza,6,279,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>800000</AnnualSales><AnnualRevenue>80000</AnnualRevenue><BankName>Reserve Security</BankName><BusinessType>BM</BusinessType><YearOpened>1975</YearOpened><Specialty>Mountain</Specialty><SquareFeet>19000</SquareFeet><Brands>3</Brands><Internet>DSL</Internet><NumberEmployees>19</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,5fa2bc55901a2be97b79c6c678348c4c5d714e618275988e82da89f42dfceeef
23,336,Imported and Domestic Cycles,3,276,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>1000000</AnnualSales><AnnualRevenue>100000</AnnualRevenue><BankName>United Security</BankName><BusinessType>BM</BusinessType><YearOpened>2000</YearOpened><Specialty>Road</Specialty><SquareFeet>24000</SquareFeet><Brands>2</Brands><Internet>T1</Internet><NumberEmployees>20</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,0a381142f12bc8688b82107eaef55d1e9dfed0ed705b5fca02254723df4965ac
24,338,Systematic Sales,8,281,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>3000000</AnnualSales><AnnualRevenue>300000</AnnualRevenue><BankName>Primary International</BankName><BusinessType>OS</BusinessType><YearOpened>1999</YearOpened><Specialty>Touring</Specialty><SquareFeet>73000</SquareFeet><Brands>4+</Brands><Internet>DSL</Internet><NumberEmployees>55</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,35b4e96a1449915c6ed2095fc052e09d0ffca66c20d41615bf8a981f03d3be80
25,340,eCommerce Bikes,6,279,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>3000000</AnnualSales><AnnualRevenue>300000</AnnualRevenue><BankName>Guardian Bank</BankName><BusinessType>OS</BusinessType><YearOpened>1999</YearOpened><Specialty>Mountain</Specialty><SquareFeet>69000</SquareFeet><Brands>2</Brands><Internet>DSL</Internet><NumberEmployees>58</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,76dfecbca2076e9f705945011e26b9caaba42ed9ffb8efd80f2bf5f36ed2df07
26,342,Mountain Toy Store,4,277,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>800000</AnnualSales><AnnualRevenue>80000</AnnualRevenue><BankName>International Bank</BankName><BusinessType>BM</BusinessType><YearOpened>2000</YearOpened><Specialty>Road</Specialty><SquareFeet>18000</SquareFeet><Brands>4+</Brands><Internet>DSL</Internet><NumberEmployees>17</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,4d8d1869d58ab3f26234a7510be4861462b473369a05c4954f97c528e792b2cc
27,344,Retail Sales and Service,2,275,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>800000</AnnualSales><AnnualRevenue>80000</AnnualRevenue><BankName>Primary Bank &amp; Reserve</BankName><BusinessType>BM</BusinessType><YearOpened>1994</YearOpened><Specialty>Road</Specialty><SquareFeet>18000</SquareFeet><Brands>2</Brands><Internet>DSL</Internet><NumberEmployees>14</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,d3b6ff4e4ad817c41ca3a40a42510c3d72db1b7fd4f21a4c47a1b3b718fec967
28,346,Designated Distributors,9,282,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>3000000</AnnualSales><AnnualRevenue>300000</AnnualRevenue><BankName>International Security</BankName><BusinessType>OS</BusinessType><YearOpened>1979</YearOpened><Specialty>Road</Specialty><SquareFeet>72000</SquareFeet><Brands>4+</Brands><Internet>T2</Internet><NumberEmployees>61</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,941d6df97d3492566ad342fbe4d2ef8db05bde59630a98ce75729b179abfca48
29,348,Bold Bike Accessories,3,276,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>3000000</AnnualSales><AnnualRevenue>300000</AnnualRevenue><BankName>Primary Bank &amp; Reserve</BankName><BusinessType>OS</BusinessType><YearOpened>1999</YearOpened><Specialty>Mountain</Specialty><SquareFeet>72000</SquareFeet><Brands>4+</Brands><Internet>DSL</Internet><NumberEmployees>58</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,c0d21fea1494adf505b63dd8b47c6c017c59e5a4ac37358f77a24d2b42961ceb
30,350,Twin Cycles,13,286,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>800000</AnnualSales><AnnualRevenue>80000</AnnualRevenue><BankName>International Security</BankName><BusinessType>BM</BusinessType><YearOpened>1988</YearOpened><Specialty>Touring</Specialty><SquareFeet>21000</SquareFeet><Brands>AW</Brands><Internet>T1</Internet><NumberEmployees>11</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,d1401ce98577cf30ddb024e71ffd4b0e8686a989471dc78bae2f88415718c12c
31,352,Tiny Bike Boutique,6,279,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>300000</AnnualSales><AnnualRevenue>30000</AnnualRevenue><BankName>International Bank</BankName><BusinessType>BM</BusinessType><YearOpened>1978</YearOpened><Specialty>Road</Specialty><SquareFeet>6000</SquareFeet><Brands>4+</Brands><Internet>DSL</Internet><NumberEmployees>4</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,c7d18b929b415320b5060be02ca8187f43e8b3bf369e5230f49a732a3120bfa7
32,354,Acclaimed Bicycle Company,6,279,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>3000000</AnnualSales><AnnualRevenue>300000</AnnualRevenue><BankName>International Bank</BankName><BusinessType>OS</BusinessType><YearOpened>1979</YearOpened><Specialty>Touring</Specialty><SquareFeet>73000</SquareFeet><Brands>3</Brands><Internet>DSL</Internet><NumberEmployees>61</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,0ea393a87fcb6cb495f653b2fd089bbdcd9ca567509f4bb1edb7a23341da79eb
33,356,Serious Cycles,5,278,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>3000000</AnnualSales><AnnualRevenue>300000</AnnualRevenue><BankName>United Security</BankName><BusinessType>OS</BusinessType><YearOpened>1996</YearOpened><Specialty>Mountain</Specialty><SquareFeet>71000</SquareFeet><Brands>4+</Brands><Internet>ISDN</Internet><NumberEmployees>64</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,cda809767597376156010adbd69071aad378a36f9768f4e1d3bc71e53825a07e
34,358,Quality Bike Sales,13,286,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>3000000</AnnualSales><AnnualRevenue>300000</AnnualRevenue><BankName>Reserve Security</BankName><BusinessType>OS</BusinessType><YearOpened>1991</YearOpened><Specialty>Touring</Specialty><SquareFeet>74000</SquareFeet><Brands>3</Brands><Internet>DSL</Internet><NumberEmployees>67</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,0a12a7846b5b63906fd0fa5031f5908b85a8795f573dc1f386de34a69f895ef1
35,360,Novelty Bikes,2,275,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>3000000</AnnualSales><AnnualRevenue>300000</AnnualRevenue><BankName>Primary International</BankName><BusinessType>OS</BusinessType><YearOpened>1993</YearOpened><Specialty>Touring</Specialty><SquareFeet>74000</SquareFeet><Brands>4+</Brands><Internet>ISDN</Internet><NumberEmployees>70</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,5fb0f47acbd94a4771c94cbf069f328b9a20ea290a80cab665af3dcb851e3d93
36,362,Distinctive Cycles Sales & Service,6,279,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>3000000</AnnualSales><AnnualRevenue>300000</AnnualRevenue><BankName>Primary Bank &amp; Reserve</BankName><BusinessType>OS</BusinessType><YearOpened>1995</YearOpened><Specialty>Mountain</Specialty><SquareFeet>75000</SquareFeet><Brands>3</Brands><Internet>DSL</Internet><NumberEmployees>79</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,3900db59d4574f99ee9d3c3813b1dc0fe74637d30983d47a6e1fea420f4cfeef
37,364,Leading Bike Distributors,6,279,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>800000</AnnualSales><AnnualRevenue>80000</AnnualRevenue><BankName>Reserve Security</BankName><BusinessType>BS</BusinessType><YearOpened>1978</YearOpened><Specialty>Road</Specialty><SquareFeet>18000</SquareFeet><Brands>3</Brands><Internet>T1</Internet><NumberEmployees>13</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,5ee37bb9a8a44154af9f707c8e0aab1b6b8ce39d1495b19948e33b0e3b945e01
38,366,Activity Center,6,279,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>1500000</AnnualSales><AnnualRevenue>150000</AnnualRevenue><BankName>Primary Bank &amp; Reserve</BankName><BusinessType>BS</BusinessType><YearOpened>1971</YearOpened><Specialty>Road</Specialty><SquareFeet>37000</SquareFeet><Brands>3</Brands><Internet>DSL</Internet><NumberEmployees>37</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,20c8dd6b7ce47a9eb41ca5125f538999dc9207c31f3e68d517d9655bb6b816be
39,368,Brightwork Company,8,281,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>1500000</AnnualSales><AnnualRevenue>150000</AnnualRevenue><BankName>International Security</BankName><BusinessType>BS</BusinessType><YearOpened>1979</YearOpened><Specialty>Mountain</Specialty><SquareFeet>36000</SquareFeet><Brands>4+</Brands><Internet>ISDN</Internet><NumberEmployees>38</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,9e39d611a7fa36528410b2d78d4901341d9e03fa54019789f3a0c43c7e8e2c3b
40,370,Resale Services,3,276,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>800000</AnnualSales><AnnualRevenue>80000</AnnualRevenue><BankName>United Security</BankName><BusinessType>BM</BusinessType><YearOpened>1988</YearOpened><Specialty>Mountain</Specialty><SquareFeet>21000</SquareFeet><Brands>2</Brands><Internet>DSL</Internet><NumberEmployees>16</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,96d06e8eed78933c4343516a31b3702e2972eef7f2eb23151a37f43e191f82ff
41,372,The Gear Store,4,277,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>800000</AnnualSales><AnnualRevenue>80000</AnnualRevenue><BankName>International Bank</BankName><BusinessType>BM</BusinessType><YearOpened>1982</YearOpened><Specialty>Mountain</Specialty><SquareFeet>21000</SquareFeet><Brands>2</Brands><Internet>DSL</Internet><NumberEmployees>14</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,e6a0e6ef99424f31bd0f275bfcd23ff80fcef97a29060e09abd8e1606b462700
42,374,Immense Manufacturing Company,4,277,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>3000000</AnnualSales><AnnualRevenue>300000</AnnualRevenue><BankName>Guardian Bank</BankName><BusinessType>OS</BusinessType><YearOpened>1998</YearOpened><Specialty>Touring</Specialty><SquareFeet>76000</SquareFeet><Brands>4+</Brands><Internet>DSL</Internet><NumberEmployees>73</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,f5233c6ba3b1ac6470897b4ac6fa4372db1672511d73c103418c15710aae5862
43,376,Extended Bike Sales,3,276,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>3000000</AnnualSales><AnnualRevenue>300000</AnnualRevenue><BankName>International Security</BankName><BusinessType>OS</BusinessType><YearOpened>1990</YearOpened><Specialty>Mountain</Specialty><SquareFeet>73000</SquareFeet><Brands>4+</Brands><Internet>DSL</Internet><NumberEmployees>76</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,1054d05c64593c7a48390a0a34f0a461353b904cec83fb11ce3e049195b528b2
