PRODUCTKEY,PRODUCTID,PRODUCTNAME,FINISHEDGOODSFLAG,COLOR,SAFETYSTOCKLEVEL,REORDERPOINT,STANDARDCOST,LISTPRICE,SIZE,WEIGHT,DAYSTOMANUFACTURE,PRODUCTLINE,CLASS,STYLE,PRODUCTMODIFIEDDATE,SUBCATEPROMODIFIEDDATE,CATEPROMODIFIEDDATE,PRODUCTSUBCATEGORYID,PRODUCTCATEGORYID,CATEGORYNAME,SELLSTARTDATE,SELLENDDATE,DISCONTINUEDDATE,PRICERANKINSUBCATEGORY,PROFITMARGINPCT,TOTALPROINCATE,AVGPRICEBYSUBCATEGORY,ISCURRENT,STARTDATE,ENDDATE,HASHDIFF
26,788,"Mountain-300 Black, 48",True,Black,100,75,598,1080,48,26.0,4,M ,M ,U ,2014-02-08 10:01:36.827,2008-04-30,2008-04-30,1.0,1.0,Bikes,2012-05-30,2013-05-29,,5,80.0,97,1683,True,2006-06-23,9999-12-31 00:00:00,ccd82ada81362709de87ce5f882f15ef464e1aaeb5ca19fc09c0101943e44446
27,786,"Mountain-300 Black, 40",True,Black,100,75,598,1080,40,26.0,4,M ,M ,U ,2014-02-08 10:01:36.827,2008-04-30,2008-04-30,1.0,1.0,Bikes,2012-05-30,2013-05-29,,5,80.0,97,1683,True,2006-06-23,9999-12-31 00:00:00,e3b7c6c459cfe1213f84672fe42d8d6b92f0b4cb1891f84cc7b5fbf323692162
28,785,"Mountain-300 Black, 38",True,Black,100,75,598,1080,38,25.0,4,M ,M ,U ,2014-02-08 10:01:36.827,2008-04-30,2008-04-30,1.0,1.0,Bikes,2012-05-30,2013-05-29,,5,80.0,97,1683,True,2006-06-23,9999-12-31 00:00:00,15285e484612cbdfa8a0811c57d1ad622bb2aad42cd018894133ace996f9e78c
29,980,"Mountain-400-W Silver, 38",True,Silver,100,75,420,769,38,26.0,4,M ,M ,W ,2014-02-08 10:01:36.827,2008-04-30,2008-04-30,1.0,1.0,Bikes,2013-05-30,,,6,83.0,97,1683,True,2006-06-23,9999-12-31 00:00:00,8a9638a514cd3207b68df9b0b9206e231d225819a33df2f50a06cdfe1160da21
30,981,"Mountain-400-W Silver, 40",True,Silver,100,75,420,769,40,27.0,4,M ,M ,W ,2014-02-08 10:01:36.827,2008-04-30,2008-04-30,1.0,1.0,Bikes,2013-05-30,,,6,83.0,97,1683,True,2006-06-23,9999-12-31 00:00:00,6257ebf045bc992ed8147da26be190410333ddefe6fbc17efc04818088d51763
31,982,"Mountain-400-W Silver, 42",True,Silver,100,75,420,769,42,27.0,4,M ,M ,W ,2014-02-08 10:01:36.827,2008-04-30,2008-04-30,1.0,1.0,Bikes,2013-05-30,,,6,83.0,97,1683,True,2006-06-23,9999-12-31 00:00:00,3dc1030559cec1676cef02a04a555528d759df0ff53f913d8c562c05b3afc4ba
32,983,"Mountain-400-W Silver, 46",True,Silver,100,75,420,769,46,27.0,4,M ,M ,W ,2014-02-08 10:01:36.827,2008-04-30,2008-04-30,1.0,1.0,Bikes,2013-05-30,,,6,83.0,97,1683,True,2006-06-23,9999-12-31 00:00:00,a1c1ee80fe9a995034e35f8650390dc55427255e2693e3630d7f695da6956ef7
33,984,"Mountain-500 Silver, 40",True,Silver,100,75,308,565,40,27.0,4,M ,L ,U ,2014-02-08 10:01:36.827,2008-04-30,2008-04-30,1.0,1.0,Bikes,2013-05-30,,,7,83.0,97,1683,True,2006-06-23,9999-12-31 00:00:00,3c85409c27eae23887b36fd214bd63d6a739fc1ef8dcdcb5514ab330d42197c9
34,985,"Mountain-500 Silver, 42",True,Silver,100,75,308,565,42,28.0,4,M ,L ,U ,2014-02-08 10:01:36.827,2008-04-30,2008-04-30,1.0,1.0,Bikes,2013-05-30,,,7,83.0,97,1683,True,2006-06-23,9999-12-31 00:00:00,d70271a285d08f8ee5c7501b58bb71b86d986484d5338725f7fc08f2790e794f
35,986,"Mountain-500 Silver, 44",True,Silver,100,75,308,565,44,28.0,4,M ,L ,U ,2014-02-08 10:01:36.827,2008-04-30,2008-04-30,1.0,1.0,Bikes,2013-05-30,,,7,83.0,97,1683,True,2006-06-23,9999-12-31 00:00:00,30c4f97f483e696d696b2fb9687f0c12a6c07485a017ee0b789e8dea4f6e4890
36,987,"Mountain-500 Silver, 48",True,Silver,100,75,308,565,48,28.0,4,M ,L ,U ,2014-02-08 10:01:36.827,2008-04-30,2008-04-30,1.0,1.0,Bikes,2013-05-30,,,7,83.0,97,1683,True,2006-06-23,9999-12-31 00:00:00,a9b85beee13ced981dd05f8257c2eb2b31076fb4a4f4f326858cdb2f698ec62f
37,988,"Mountain-500 Silver, 52",True,Silver,100,75,308,565,52,29.0,4,M ,L ,U ,2014-02-08 10:01:36.827,2008-04-30,2008-04-30,1.0,1.0,Bikes,2013-05-30,,,7,83.0,97,1683,True,2006-06-23,9999-12-31 00:00:00,001b46f636d6a0360c61a7e36cdd121d585e29ed572c2e48c88989c5a8adb86e
38,989,"Mountain-500 Black, 40",True,Black,100,75,295,540,40,27.0,4,M ,L ,U ,2014-02-08 10:01:36.827,2008-04-30,2008-04-30,1.0,1.0,Bikes,2013-05-30,,,8,83.0,97,1683,True,2006-06-23,9999-12-31 00:00:00,e1190ab57f8e72ca41aeaeb6ab869bb6b1dbeda01be31eca5a9b7956b07e372d
39,990,"Mountain-500 Black, 42",True,Black,100,75,295,540,42,28.0,4,M ,L ,U ,2014-02-08 10:01:36.827,2008-04-30,2008-04-30,1.0,1.0,Bikes,2013-05-30,,,8,83.0,97,1683,True,2006-06-23,9999-12-31 00:00:00,07349dbaa679e207d53060572f8a331fbd01c8d13ae99eb690e471c2f5a5e5cf
40,991,"Mountain-500 Black, 44",True,Black,100,75,295,540,44,28.0,4,M ,L ,U ,2014-02-08 10:01:36.827,2008-04-30,2008-04-30,1.0,1.0,Bikes,2013-05-30,,,8,83.0,97,1683,True,2006-06-23,9999-12-31 00:00:00,8e1e80e4cdf7fd87ed9f6e9192bbd83d066f6569ccff907daeba25086c7d2d40
41,992,"Mountain-500 Black, 48",True,Black,100,75,295,540,48,28.0,4,M ,L ,U ,2014-02-08 10:01:36.827,2008-04-30,2008-04-30,1.0,1.0,Bikes,2013-05-30,,,8,83.0,97,1683,True,2006-06-23,9999-12-31 00:00:00,32711e5f33b5c27f81c2ac46cb15d4fc4cd414330ff57bdd51e07f2debaccc2f
42,993,"Mountain-500 Black, 52",True,Black,100,75,295,540,52,29.0,4,M ,L ,U ,2014-02-08 10:01:36.827,2008-04-30,2008-04-30,1.0,1.0,Bikes,2013-05-30,,,8,83.0,97,1683,True,2006-06-23,9999-12-31 00:00:00,1efa82439f28401b568aca69114dbb33d4808a84c7e8792b9a9aa0a031359543
43,712,AWC Logo Cap,True,Multi,4,3,7,9,,,0,S ,,U ,2014-02-08 10:01:36.827,2008-04-30,2008-04-30,19.0,3.0,Clothing,2011-05-31,,,1,30.0,35,9,True,2006-06-23,9999-12-31 00:00:00,def5a585a7431b42a631f0dbdb54aad76a2a2a6787db7f3b6c6c43577c405a31
44,848,Headlights - Weatherproof,True,,4,3,19,45,,,0,R ,,,2014-02-08 10:01:36.827,2008-04-30,2008-04-30,33.0,4.0,Accessories,2012-05-30,2013-05-29,,1,142.0,29,31,True,2006-06-23,9999-12-31 00:00:00,2437543cd1bdcf82cc0bc34031c822559d69e35d17f0edf2292f458e51f63999
45,847,Headlights - Dual-Beam,True,,4,3,14,35,,,0,R ,,,2014-02-08 10:01:36.827,2008-04-30,2008-04-30,33.0,4.0,Accessories,2012-05-30,2013-05-29,,2,142.0,29,31,True,2006-06-23,9999-12-31 00:00:00,1e20209be5fc921e438ff979ad21c4ebe70e074e6cee969a802084555ab559a8
46,846,Taillights - Battery-Powered,True,,4,3,6,14,,,0,R ,,,2014-02-08 10:01:36.827,2008-04-30,2008-04-30,33.0,4.0,Accessories,2012-05-30,2013-05-29,,3,142.0,29,31,True,2006-06-23,9999-12-31 00:00:00,52ecfbf62710ca46eb41b06e38e7aa20ffb0bdd2bdf6107fe16f03bee698e739
47,894,Rear Derailleur,True,Silver,500,375,54,121,,215.0,1,,,,2014-02-08 10:01:36.827,2008-04-30,2008-04-30,9.0,2.0,Components,2013-05-30,,,1,125.0,134,106,True,2006-06-23,9999-12-31 00:00:00,2cb5e1271f4a6230b9f70b224fec6fc4d44139c37add0d18aaf4bbb7eb6d4e78
48,945,Front Derailleur,True,Silver,500,375,41,91,,88.0,1,,,,2014-02-08 10:01:36.827,2008-04-30,2008-04-30,9.0,2.0,Components,2013-05-30,,,2,125.0,134,106,True,2006-06-23,9999-12-31 00:00:00,c57e670e3955f0e1044acd80b2468ef13c73908e1512b093c670558882a7fd15
49,864,"Classic Vest, S",True,Blue,4,3,24,64,S,,0,S ,,U ,2014-02-08 10:01:36.827,2008-04-30,2008-04-30,25.0,3.0,Clothing,2013-05-30,,,1,167.0,35,64,True,2006-06-23,9999-12-31 00:00:00,832405cf6ecdd863fa5e537f9b878106c0c3a3bf25dbbd3ccb18f59191e64d15
50,865,"Classic Vest, M",True,Blue,4,3,24,64,M,,0,S ,,U ,2014-02-08 10:01:36.827,2008-04-30,2008-04-30,25.0,3.0,Clothing,2013-05-30,,,1,167.0,35,64,True,2006-06-23,9999-12-31 00:00:00,16e06fb2eb558447f7a62406ebbabae56ac3202b96f6d9b428272400c97dffc2
51,866,"Classic Vest, L",True,Blue,4,3,24,64,L,,0,S ,,U ,2014-02-08 10:01:36.827,2008-04-30,2008-04-30,25.0,3.0,Clothing,2013-05-30,,,1,167.0,35,64,True,2006-06-23,9999-12-31 00:00:00,a7d431c3606919b3a2de750d48aac439da6281930e733bf03911d0a4b2a8fd6a
52,519,HL Road Seat Assembly,False,,500,375,146,197,,,1,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,1,35.0,209,7,True,2006-06-23,9999-12-31 00:00:00,460ffbd87c123904d428b5d5cab1e0e30b82a4169a472cf94ea2be0157031731
53,522,HL Touring Seat Assembly,False,,500,375,146,197,,,1,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,1,35.0,209,7,True,2006-06-23,9999-12-31 00:00:00,bbd5119c5b36feeb4ad4ba29e44e83764fc36e7d315ab7ae8400acd45b70e052
54,516,HL Mountain Seat Assembly,False,,500,375,146,197,,,1,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,1,35.0,209,7,True,2006-06-23,9999-12-31 00:00:00,837fb090952de2c9ef36e7ada461c6f735532ca8e181641963df5cbc2c5c26f0
55,521,ML Touring Seat Assembly,False,,500,375,109,147,,,1,,M ,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,2,35.0,209,7,True,2006-06-23,9999-12-31 00:00:00,2e26faff86c1a8ad86348b6050ac908ac53302210b4ca71bb9804aa3c1a15d4a
56,518,ML Road Seat Assembly,False,,500,375,109,147,,,1,,M ,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,2,35.0,209,7,True,2006-06-23,9999-12-31 00:00:00,552da309b961dfd7ad2a8b43ced63077551c869b33466263bff5b7d2666d4648
57,515,ML Mountain Seat Assembly,False,,500,375,109,147,,,1,,M ,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,2,35.0,209,7,True,2006-06-23,9999-12-31 00:00:00,c0f7e3ab46a1902df3250d2e855b7554fd35acafa1038fce3412f254d2f3e5cf
58,520,LL Touring Seat Assembly,False,,500,375,99,133,,,1,,L ,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,3,35.0,209,7,True,2006-06-23,9999-12-31 00:00:00,203327e5944f56f0efc24c9005d65de102c21b6cf26700d0a89da93c9855e834
59,517,LL Road Seat Assembly,False,,500,375,99,133,,,1,,L ,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,3,35.0,209,7,True,2006-06-23,9999-12-31 00:00:00,e6a633c6d232bbdf02fab31379edb4aa7e07419b24ad6a5364dc8657260939e4
60,514,LL Mountain Seat Assembly,False,,500,375,99,133,,,1,,L ,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,3,35.0,209,7,True,2006-06-23,9999-12-31 00:00:00,4551dce1ebd5b01198c7bd28047324816f6b5fea521decc3dd3556106150a759
61,459,Lock Nut 19,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,b564bbea18262f9669cf821080b372d3ff42e408d8fe99952296dd0d7a37a14a
62,451,Lock Nut 11,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,deee8d4a5381957a093187c1a3e46fd7537a68e342b4ae19d0ac98538e67c136
63,458,Lock Nut 4,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,6c5595048a49d10cb0dfae1466f2a82f56f311434a785b8f2064e82b28197001
64,457,Lock Nut 15,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,19685441a386df71bc45d83f8a4ffe5cca8df05226d589c6f1c40ec5c7b8516e
65,456,Lock Nut 14,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,841dc3f798c87d5373a2162886f524e4a319c60f9b0f730173977876a3638d60
66,455,Lock Nut 3,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,29ff2668c8289f64efb7450f1232aec9f09440c004f432a0aaedf334fc36cf20
67,454,Lock Nut 21,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,4218132dab14ab5d2f0e0268e93bd403c9888f27fb6701233258f8a385159612
68,453,Lock Nut 20,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,5805a20847174bce8709639428b32e56d4446679db591286cf9905a30ee9325d
69,452,Lock Nut 2,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,59a39a6653391d3f49545cb270ccefb10639c8abbdfefe23051b36ebfc9e3a59
70,445,Lock Nut 22,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,89824a61502f2f57c942d6c180659f39d49735e14786ec0ea0616782659a6480
71,460,Lock Nut 18,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,21ac16f3adfa0455913e9900dcf9b92649b563561f6c0635b86710a6e460dde0
72,461,Lock Ring,False,Silver,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,21c289468162f561828ea2389008b279af47cd66d761daff9326cc0625477bc4
73,462,Lower Head Race,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,b5c9b6edb588cd1c16b74c7e0678d1f8cff0538b959ff7d34c94390cfb48d465
74,463,Lock Washer 4,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,e5359ce1d63f4896f3d3ba5bd1ddf19e381e4eafe66ccb295b4818d527083a67
75,464,Lock Washer 5,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,55c9592608823ef590e336400df10d8cf110c23232ac0e7ea7d0f0e603e87dd4
76,465,Lock Washer 10,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,f7a371a4fdcc2bb3cd4bcee66a149779c0b8037cadc560656f525fc51f788fee
77,466,Lock Washer 6,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,34a4c809669ee990924d2a7468bf1a1d7398dbf248fe267c73af7d3dfc8920ef
78,467,Lock Washer 13,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,dd0614f78a73907129e366ccb03e38b5101fbe33c76f636b0a561099afaf2e10
79,468,Lock Washer 8,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,fec4c8ca156a838db0ea55be820e6a6118acf08c66d0ccb07e0c554865f4e7f9
80,469,Lock Washer 1,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,3542871f17f470e1bdb3c3222a5a09fd3a425cbb5536f8b5d1cb005370e58fd1
81,470,Lock Washer 7,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,2f57f60408558e50e0043a7e93c0e29810eeafb2c922a692f45c2cf488216681
82,471,Lock Washer 12,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,50c50b036112f5b02c4f2c2af265348b6c96b22868e553e88c135a2bfb569b42
83,472,Lock Washer 2,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,da3256e0cb3a742b6de045d9044fb5bbeff4a6d213a615961d593526eab8f49e
