PRODUCTCOSTHISTORYKEY,PRODUCTID,PRODUCTKEY,HISTORYSTARTDATE,HISTORYENDDATE,STANDARDCOST,HISTORYMODIFIEDDATE,ISCURRENT,STARTDATE,ENDDATE,HASHDIFF
14,771,14,2011-05-31,2012-05-29,1912.15,2012-05-29 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,89f1293512e915fc8c1b0601ed792658ba629dcabfb7074eab476154a382efc4
15,775,15,2011-05-31,2012-05-29,1898.09,2012-05-29 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,35fca0f0d12dfda685bf7c59f28ae166a1758fbc3c86c45c05dc0c76f62b8158
16,776,16,2011-05-31,2012-05-29,1898.09,2012-05-29 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,3cd0baa1d5147e47cad6545effd0f3f32a9a38b0c5d9a001d5153cf0ce9418a5
17,777,17,2011-05-31,2012-05-29,1898.09,2012-05-29 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,56b90c46ec437880f603bb24b597179abd2a3db98f4c4956735ed09391add8ac
18,778,18,2011-05-31,2012-05-29,1898.09,2012-05-29 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,12398bfb2ec7078bcd8f2e98615407d1017d970685dfaafecd2be031348c28d9
19,779,19,2012-05-30,2013-05-29,1117.86,2013-05-29 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,e0bfa43bb33b42532bc55916cdd8fcd309aa3d756a429f291b4ed2bcdd05dea1
20,779,19,2013-05-30,,1265.62,2013-05-16 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,d687a0f092ba961b6f557f182ad92ab5c01731ba7bc3e2713ab677e3b30a7fd1
21,780,20,2012-05-30,2013-05-29,1117.86,2013-05-29 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,87a228cf06ca155c650c959c854c9627535c353c1da7e076e330f638190dda46
22,780,20,2013-05-30,,1265.62,2013-05-16 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,8b353cc1e3f45011f0337361cde925dfdc7aeaeb68b0bf9fa5aab2d4b0b7681a
23,781,21,2012-05-30,2013-05-29,1117.86,2013-05-29 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,dbfdfcb90cea1a20ed9433d8029aeba5c8efb502866abb27bf8b0a7b26546510
24,781,21,2013-05-30,,1265.62,2013-05-16 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,a7c23db4621102b8315b36507b21891454aa67f3477e67dc874ecd6e0ef9c403
25,782,22,2012-05-30,2013-05-29,1105.81,2013-05-29 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,3a3980cbbc48098a3d0ecc047d94823972e68abcc9fc9298ba81b9f14ebdddff
26,782,22,2013-05-30,,1251.98,2013-05-16 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,2662ba96d7a95f2e69dee87ae996913f405291675ad057574a505ac9b82b0fc9
27,783,23,2012-05-30,2013-05-29,1105.81,2013-05-29 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,2c9e326477f0f87fdb195ead344f8220773b1250e0b5bb19be7b177f3a2f6079
28,783,23,2013-05-30,,1251.98,2013-05-16 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,c87acc6b260a69104fad2e0289b119274abb007912d42048c3573849418a699a
29,784,24,2012-05-30,2013-05-29,1105.81,2013-05-29 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,3bf30b5b1f42189dffede1cac7f6465521324e80d4da9c693a9261efe5c208eb
30,784,24,2013-05-30,,1251.98,2013-05-16 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,aafdd1e40616a8435b787ef12e884f22294ed47b3105e10676157a3aaf261157
31,787,25,2012-05-30,2013-05-29,598.44,2013-05-29 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,57516bed769a71880d8ad1b826f788fbf51c5f00ab446c88bec8a78cfe1170c5
32,788,26,2012-05-30,2013-05-29,598.44,2013-05-29 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,10bc07859c5bea36312f800cf590b66a43f60bd66f17181f1ac118d100402dee
33,786,27,2012-05-30,2013-05-29,598.44,2013-05-29 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,6b25575c95d22b1aba9182b108134a4816ab15e496d2287069b55d422a2e5d41
34,785,28,2012-05-30,2013-05-29,598.44,2013-05-29 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,bc27baba062c5ee452ef1932f692180e557662de68afa8d4cfb199725cbcbe02
35,980,29,2013-05-30,,419.78,2013-05-16 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,a4af5e56fa3069b8107a0b2bfa97bb534fd0cead8446ef37a1c405d27d4b99b5
36,981,30,2013-05-30,,419.78,2013-05-16 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,282bb419d87add96b36d4b39be1ab0d3b6d1567b8ee08bed9d0db3826f5dc433
37,982,31,2013-05-30,,419.78,2013-05-16 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,b8a235f8fe19941b1128afbcdb1151bd26ec7695d1cf09a2dfdcd7a7bd927dc2
38,983,32,2013-05-30,,419.78,2013-05-16 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,6b3bb2c14e32ba1c5e615ffbb07754499e30c91e72191f68d5523518a36368b8
39,984,33,2013-05-30,,308.22,2013-05-16 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,6f5d9c2df37ad44469d7ce13abd5d6d7a85918b5bdd1931c56c583273ead0c0c
40,985,34,2013-05-30,,308.22,2013-05-16 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,336948a8873dcaae55a47d714242b3b883325c68f0620fad172c997b20a897eb
41,986,35,2013-05-30,,308.22,2013-05-16 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,2b7d5c60222258fa0e8897a51cae1beb9d00c029faa33ce1f1c8d34bf722128d
42,987,36,2013-05-30,,308.22,2013-05-16 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,912e74484fb367e3e2613430c8957ad4735fc73c7f4a48e550152f98b16353a0
43,988,37,2013-05-30,,308.22,2013-05-16 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,ca2ccdc484a53b94b971cc7a68092b6a2c9938b5756ce6ed69be03cc2f8183c3
44,989,38,2013-05-30,,294.58,2013-05-16 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,99c40ec1c901bd2a1aeb422e40ea627ecc93d0e33024d71cb68ce07023fae3c1
45,990,39,2013-05-30,,294.58,2013-05-16 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,74e3457f32db715bb25ebf8c014b104b20a7345ee8aabbb1625e323f5c7470e6
46,991,40,2013-05-30,,294.58,2013-05-16 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,ef2a33862d715f490a58abb6f11a69cf237d453cb4d69afcd1f101b723aa2fd2
47,992,41,2013-05-30,,294.58,2013-05-16 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,153ab5b878b655177d6850a96908aaf832c3025791ef034188714270973b39f1
48,993,42,2013-05-30,,294.58,2013-05-16 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,74e56ab78f5fe9eae76633bd15ce938f1b90444c37bf91a6a325fc661d2cc0c2
49,712,43,2011-05-31,2012-05-29,5.71,2012-05-29 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,e0efc67471e3e881977709db4ee1ff3509c795bef808343059f3109831509df9
50,712,43,2012-05-30,2013-05-29,5.23,2013-05-29 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,9287263444e0eee83501c5b592c323bb8daf953bcac4b9124fdc33a7ca39fb86
51,712,43,2013-05-30,,6.92,2013-05-16 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,01f1c36ea5138e34247354484609ab65d2e7f4344ef0d603000ec6344227a055
52,848,44,2012-05-30,2013-05-29,18.56,2013-05-29 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,9e28cd528ec1248f2e09fb8612bb55b77ef490b0537366e0b391ca1d2a71218e
53,847,45,2012-05-30,2013-05-29,14.43,2013-05-29 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,9c82796bf012d681d22409c9eda67ec68a4b72f4896e22356b8be6c5120860d2
54,846,46,2012-05-30,2013-05-29,5.77,2013-05-29 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,56fd2c0ffe2885b0bcb4e32557a237972f669c65fb60fe7a7443772c5807b1b4
55,894,47,2013-05-30,,53.93,2013-05-16 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,6bbf47479f10f1bfe2246c6ecbff7624d777cd5bd7c054263c3ed16ae34017e0
56,945,48,2013-05-30,,40.62,2013-05-16 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,3d6ed4a32114ef56a5fbb56731361ce7f78f2668b33b3f9fb0eabb65abdd7f66
57,864,49,2013-05-30,,23.75,2013-05-16 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,0c796ac04a43e985ca349ed9b91a23fb698b287d0bca60f08e6504fe2137556c
58,865,50,2013-05-30,,23.75,2013-05-16 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,6caf24dba7c4c1927c7e24676044c8e7451648a7f90562f7be9de6e0e5808428
59,866,51,2013-05-30,,23.75,2013-05-16 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,72c3a6632e7adf5b4a0b2787582cfb2686cc4e11655ab4eaddf5fd8ca0d8e5b3
60,951,305,2013-05-30,,179.82,2013-05-16 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,4f0a69fa74ff4d2755896e7c5a7f00bec41514d5249b8ee2cbfc9e10257989db
61,950,306,2013-05-30,,113.88,2013-05-16 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,6536c24c3d86d178c3a1957cb458dcedd7a96a489f38306a0ad6cf1dc3929d1e
62,949,307,2013-05-30,,77.92,2013-05-16 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,57f7dac25b816fffdbc564f26b93d13acd15b34b23d7ff1b0366b7fe1f73768c
63,876,308,2013-05-30,,44.88,2013-05-16 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,011afe8e2e0fa6401f2ce456e6e4c96ee5b1c72122a34b185d97885efdb88afd
64,707,309,2011-05-31,2012-05-29,12.03,2025-07-17 10:43:24.713,True,2006-06-23,9999-12-31 00:00:00,8bba305cd0cf0fa30d5d30eab1d9318179e224ffb588f33b7421eecef11054ac
65,707,309,2012-05-30,2013-05-29,13.88,2013-05-29 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,f8c579a4ac4d947993d0345836b2f089ae6a56ac91fda880249aa08ea118dbfb
66,707,309,2013-05-30,,13.09,2013-05-16 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,db324352aa722a4c4d6e182b9831f8e2df2ee5626a299235b1884f826fd5c5e5
67,708,310,2011-05-31,2012-05-29,12.03,2025-07-17 10:43:24.713,True,2006-06-23,9999-12-31 00:00:00,903eb6fe155abd4082013978052f5803020dd790b495f82891ddd02eaa675532
68,708,310,2012-05-30,2013-05-29,13.88,2013-05-29 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,b108b683a2ea00863c19b238467e989973768ed5acf276fa0ca4a07a6854ab74
69,708,310,2013-05-30,,13.09,2013-05-16 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,8bb0948ed7a0c8365a06d3404c4bfdff2bcb85f96a80d3918e23e136dee6fb41
70,711,311,2011-05-31,2012-05-29,12.03,2025-07-17 10:43:24.713,True,2006-06-23,9999-12-31 00:00:00,0246a0d3051b1a3e79de51c75c5ffb969fba6227ab693ef810c331a7283ae9e1
71,711,311,2012-05-30,2013-05-29,13.88,2013-05-29 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,2a80a559e52f9441fdd57bfb3b525f826cf494495b11d8ceacc23ba6114cf67e
72,711,311,2013-05-30,,13.09,2013-05-16 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,81b0df8fb19827d117c986a2069ae44b6ff05ca70f3f00888e3b4f2ca8c98c23
73,878,312,2013-05-30,,8.22,2013-05-16 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,f3d332d376dd8bf1af0ab548a2e041b3a49a42bb436723269b6746eb6036b6b5
74,750,313,2011-05-31,2012-05-29,2171.29,2012-05-29 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,a55fd5283d7dbd69007c2dde3d7c7e8431826ddba9eff8a61bd5b26e25e0b856
75,751,314,2011-05-31,2012-05-29,2171.29,2012-05-29 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,46f99815500758a1722b55f3fb9b76b7dae427b71b0212be1f94eed2548c41ba
76,752,315,2011-05-31,2012-05-29,2171.29,2012-05-29 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,3d30bfa776b93007e83ab24a6c50e66220d3d63ea4c1fcacdf25a4b9bdabc45d
77,753,316,2011-05-31,2012-05-29,2171.29,2012-05-29 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,16caef54d44afe3c1834ae89c4f12677518cd2c41e9abe7e4dd234d038211f92
78,749,317,2011-05-31,2012-05-29,2171.29,2012-05-29 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,e71bf457e9e2326b83dc91b990c3cc154b95e622752f6121669b31da171ca5c6
79,794,318,2012-05-30,2013-05-29,1320.68,2013-05-29 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,3a388ffd7bf792348d2cc09f6b0b23c938c3349bed2836f2091bddb392152a2b
80,794,318,2013-05-30,,1554.95,2013-05-16 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,ed2c2b74cab00cfda47142f81a3c2d257d211221bf9758d8019023636d641ba3
81,793,319,2012-05-30,2013-05-29,1320.68,2013-05-29 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,ed478d74815a4cb484cb355059dba8fd2adfcbce81b7be6a6d421d21720efbe6
82,793,319,2013-05-30,,1554.95,2013-05-16 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,54bc95df1efe183f1a3820d5edf578b9d84997cc887902ca974eb0930a9e47ac
83,792,320,2012-05-30,2013-05-29,1320.68,2013-05-29 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,9bf0eb51c61c8af6e37a986404fd9e07e996f1d963bc8049fb6112f6ab0a353b
84,792,320,2013-05-30,,1554.95,2013-05-16 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,483a553e089ad6d41b9652862567e89cff0aa72b2605005de159e58cd4f306bb
85,791,321,2012-05-30,2013-05-29,1518.79,2013-05-29 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,266eee6fde762a5458aa3c959cfb3348c3cf9e4ba454d1866ce5e2b0ea513a33
86,790,322,2012-05-30,2013-05-29,1518.79,2013-05-29 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,0b366b1a40f013102f882c8a805f71e82939223d7231fb6724e6f8936b49e65f
87,789,323,2012-05-30,2013-05-29,1518.79,2013-05-29 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,0b599f8b91b62f2c405daee0f01e04b89d2ce1b3471cf75a9630e1efdb75f583
88,795,324,2012-05-30,2013-05-29,1320.68,2013-05-29 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,6c7fc976cd67cdc5dbd80ecb287bf174927e00490ab7ea5f72013496a65970f2
89,795,324,2013-05-30,,1554.95,2013-05-16 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,a688c88d154041a1705e50ec5d10ec77fd7fd229949f26d9603da7da651cc2be
90,796,325,2012-05-30,2013-05-29,1320.68,2013-05-29 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,e3992671b0aba20bdccb0236e5390ed2a96dffaa03eb5631ba6fe51fbd1e2cd0
91,796,325,2013-05-30,,1554.95,2013-05-16 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,807dc4e931b9a1ce012ea925ce01bf66cf6d6df34f6365b53260660edf2fc478
92,973,326,2013-05-30,,1082.51,2013-05-16 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,545f7ff15adb280e9b1c1b68fd5b0b1e51095f4a3eea15af74b9e602a5a0e98c
93,974,327,2013-05-30,,1082.51,2013-05-16 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,095bb74e49733504fc5aa41ab2996476316688b3d49012f818ee8931c36561f3
94,975,328,2013-05-30,,1082.51,2013-05-16 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,378b411f95258033d7ecc4d1a8918331a427af0b85699ed0eceb66793ab28b09
95,976,329,2013-05-30,,1082.51,2013-05-16 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,5d536417cdf30eedb501093b55524f116f0e0f587c93b7ed2500f9b679b1b110
96,758,330,2011-05-31,2012-05-29,884.71,2012-05-29 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,e940dea9125636eabc507425e7b5a1650f780a65df4e6e65eaa38ab63a977553
97,757,331,2011-05-31,2012-05-29,884.71,2012-05-29 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,d5fe15187f2e02f0da74dad91dea0587b8d4edd570b34f6260a9a8bca07b14ee
98,756,332,2011-05-31,2012-05-29,884.71,2012-05-29 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,174ce209965952e71240040798ac2d33a82f8a376c4e4b2ec7fbee86ba8dd55a
99,755,333,2011-05-31,2012-05-29,884.71,2012-05-29 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,15e9db0ac6851aa798a74404197fb2e4d6b267e8e3f04beedf4d3c452cf0ea9e
100,754,334,2011-05-31,2012-05-29,884.71,2012-05-29 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,97429130211182c4e9769469518dfc3b6e086b23b242da6b71b5fb9b1dece594
101,801,335,2012-05-30,2013-05-29,605.65,2013-05-29 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,cda4561518d703b09cf582585acd890a8488d48aa49ae1781f6d0f9b80dd7cd9
102,801,335,2013-05-30,,713.08,2013-05-16 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,d416ee71fcb40070633ca91d686a83db1793cfcd8eb468f02a11793ad8796e1b
103,800,336,2012-05-30,2013-05-29,605.65,2013-05-29 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,b96ad897d367faecadc73d81b348e1989f7cb6dcda627f0c2c962f442bfd86b3
104,800,336,2013-05-30,,713.08,2013-05-16 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,440f70680ebf1bc6182f4b66203f8d19ecb7df05569864b8dd3b6908932c2044
105,799,337,2012-05-30,2013-05-29,605.65,2013-05-29 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,64541ea57c54dd6997899eabfdc66da8d34bd037e88e575247d99f93dc2fcd10
106,799,337,2013-05-30,,713.08,2013-05-16 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,1d6f453da4010521ebd7e9708ad6092125a8343551777cd8f6748869cdfed455
107,798,338,2012-05-30,2013-05-29,605.65,2013-05-29 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,23e9b1638e0e35e25b2b3c8697e1b7dbec933d04da233a713f13dc4d50a6b6b5
108,798,338,2013-05-30,,713.08,2013-05-16 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,7308212cee4d1657175f3ff0d4c9983e4349d290d1df51982969ee8005bb9148
109,797,339,2012-05-30,2013-05-29,605.65,2013-05-29 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,f16100d1bbcaeca68cc5580cb5eb5000c5a14d9ae8999d74dc84355aeb22fcec
110,797,339,2013-05-30,,713.08,2013-05-16 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,645877e88d4dd6e00392020f458d8b76368cf05f1bbb58476d9fe76acc45e7fd
111,770,340,2011-05-31,2012-05-29,413.15,2012-05-29 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,78b4e8699ef501e806d4978891452e75fb496aa14701a1b8250a0dfd8d66e81e
112,770,340,2012-05-30,2013-05-29,486.71,2013-05-29 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,da2c69ec5b2c57e1c2482dd28f64d8478a3656b29e8511e2fc733b4e356338f7
113,769,341,2011-05-31,2012-05-29,413.15,2012-05-29 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,babc0a568043897eb9b8cc311714c0fca8f73800b8a693c741ea17e1f25a8200
114,769,341,2012-05-30,2013-05-29,486.71,2013-05-29 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,f359bb2f6edd839b3d70cd1f49ec16a165cb96e46c00b767fd626f70720f5835
115,768,342,2011-05-31,2012-05-29,413.15,2012-05-29 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,20f14ba44fe26edf7fb255453d5882fb8b1ca22bcfe76212e1b350c374cf4fd5
116,768,342,2012-05-30,2013-05-29,486.71,2013-05-29 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,b869fa4dfad1dad1a4aefec16308c392272b954df6c2a36daca81ffaa1fef38c
117,767,343,2011-05-31,2012-05-29,413.15,2012-05-29 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,7f1072d72110fe5830d9707c2aa8d7f68a1d4c2982e5ebc81e85e77d95cc62fe
118,767,343,2012-05-30,2013-05-29,486.71,2013-05-29 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,c2642bdc90fb0a0189c00c40e0f4a5e988bc64f361b2b5842373233c5dba1929
119,766,344,2011-05-31,2012-05-29,413.15,2012-05-29 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,51b5d091daed3047e693d6eac45d56597f569a553432b43eadba9a30a52a4220
120,766,344,2012-05-30,2013-05-29,486.71,2013-05-29 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,23ca6c4c640569392536eb578aee5c966436693589dd14822fc1370403b4a9a3
121,765,345,2011-05-31,2012-05-29,413.15,2012-05-29 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,d53917808dabae7a69d589578769578b8d41fee43d01c80f92bed8efa4d63e92
122,765,345,2012-05-30,2013-05-29,486.71,2013-05-29 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,c82444b6734cf3df98fec375ff5c83a37d7e51aa941c70d6cbd6e1e1c3557614
123,764,346,2011-05-31,2012-05-29,413.15,2012-05-29 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,3d0231218de94335e7efcfea12fba64369a2418dad467bb3d1518f14385ff23b
124,764,346,2012-05-30,2013-05-29,486.71,2013-05-29 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,c295accfb84feb02a2c2f2115501e9ad48ad36c016c4a4432a398b5bf4c4017e
125,763,347,2011-05-31,2012-05-29,413.15,2012-05-29 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,efe448b5c2d8f8245f978bb14d1be3ac0ecd1bd1f2fca2cff247554ba9086f22
126,763,347,2012-05-30,2013-05-29,486.71,2013-05-29 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,1180a7b8cf3f0f87cab4ec747785511cd8d04d506cb11e24131b2ffb75a4eecf
127,762,348,2011-05-31,2012-05-29,413.15,2012-05-29 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,536826a1554cf27d8eeece682000b43d405fda2ef3ddc8226b1af1057bb1c317
128,762,348,2012-05-30,2013-05-29,486.71,2013-05-29 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,bf610e69824810d524e1b0d072a4d47a93729c1632a637d8f54d02bba25888c9
129,761,349,2011-05-31,2012-05-29,413.15,2012-05-29 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,ae0b0d70fb36be374829137f1d739433c62ad473cfd464c508e565eff0ccbf0d
130,761,349,2012-05-30,2013-05-29,486.71,2013-05-29 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,f72ea173a9d423fcdeba78937d2952fdf9a5f4e549d9ed8bac7d0fb5c74f2db1
131,760,350,2011-05-31,2012-05-29,413.15,2012-05-29 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,cd99410a7b3e0b162ed6edd2ccc03e9a7f4f36af0627e3ea7d1da90d37a45368
132,760,350,2012-05-30,2013-05-29,486.71,2013-05-29 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,9f2e3308124350f0033aa2f798d9b5232829980cf01e799496748e7fadc31111
133,759,351,2011-05-31,2012-05-29,413.15,2012-05-29 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,3b241fad4e27cfff82832df221cd238014c075ee6b37fd660f06384fabf560d6
134,759,351,2012-05-30,2013-05-29,486.71,2013-05-29 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,b727b7f5b27587c401ef848eb7bc9b6e28c2ba5e315d4b41bdd335d3647ccc5c
135,977,352,2013-05-30,,343.65,2013-05-16 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,1d6de1905ea3eda5c2ebc9950210f8627bb90d4aa34f177fa86072e8f944f9cf
