PURCHASEORDERDETAILKEY,PURCHASEORDERID,PURCHASEORDERDETAILID,PURCHASEORDERHEADERKEY,PRODUCTKEY,DUEDATE,ORDERQTY,UNITPRICE,LINETOTAL,RECEIVEDQTY,REJECTEDQTY,STOCKEDQTY,ORDERDETAILMODIFIEDDATE,ISCURRENT
44,19,44,19,434,2011-12-29,550,40.94,22516.73,550.0,0.0,550.0,2011-12-22,True
45,19,45,19,441,2011-12-29,550,21.09,11601.98,550.0,0.0,550.0,2011-12-22,True
46,19,46,19,438,2011-12-29,550,30.44,16741.73,550.0,0.0,550.0,2011-12-22,True
47,20,47,20,111,2011-12-29,60,9.2,551.88,60.0,0.0,60.0,2011-12-22,True
48,21,48,21,162,2011-12-29,550,5.78,3176.25,550.0,0.0,550.0,2011-12-22,True
49,21,49,21,163,2011-12-29,550,1.16,635.25,550.0,0.0,550.0,2011-12-22,True
50,21,50,21,132,2011-12-29,550,5.78,3176.25,550.0,27.0,523.0,2011-12-22,True
51,22,51,22,112,2011-12-29,550,23.39,12866.7,550.0,82.0,468.0,2011-12-22,True
52,22,52,22,113,2011-12-29,550,27.65,15205.58,550.0,0.0,550.0,2011-12-22,True
53,23,53,23,164,2011-12-29,550,1.37,750.75,550.0,0.0,550.0,2011-12-22,True
54,23,54,23,5,2011-12-29,550,62.99,34644.23,550.0,0.0,550.0,2011-12-22,True
55,23,55,23,131,2011-12-29,550,3.49,1917.3,550.0,0.0,550.0,2011-12-22,True
56,24,56,24,162,2011-12-29,550,6.2,3407.25,550.0,550.0,0.0,2011-12-22,True
57,24,57,24,163,2011-12-29,550,1.47,808.5,550.0,550.0,0.0,2011-12-22,True
58,25,58,25,112,2011-12-29,550,22.17,12191.03,550.0,0.0,550.0,2011-12-22,True
59,25,59,25,113,2011-12-29,550,29.28,16106.48,523.0,0.0,523.0,2011-12-22,True
60,26,60,26,150,2011-12-29,3,19.98,59.94,3.0,0.0,3.0,2011-12-22,True
61,27,61,27,204,2011-12-29,3,41.17,123.51,3.0,0.0,3.0,2011-12-22,True
62,27,62,27,205,2011-12-29,3,39.07,117.21,3.0,0.0,3.0,2011-12-22,True
63,27,63,27,206,2011-12-29,3,43.34,130.03,3.0,0.0,3.0,2011-12-22,True
64,27,64,27,207,2011-12-29,3,39.07,117.21,3.0,0.0,3.0,2011-12-22,True
65,27,65,27,208,2011-12-29,3,36.97,110.91,3.0,0.0,3.0,2011-12-22,True
66,27,66,27,170,2011-12-29,3,41.24,123.73,3.0,0.0,3.0,2011-12-22,True
67,28,67,28,9,2011-12-29,550,31.49,17319.23,550.0,0.0,550.0,2011-12-22,True
68,28,68,28,7,2011-12-29,550,48.29,26559.23,550.0,0.0,550.0,2011-12-22,True
69,29,69,29,236,2012-01-22,3,43.34,130.03,3.0,0.0,3.0,2012-01-15,True
70,29,70,29,237,2012-01-22,3,39.07,117.21,3.0,0.0,3.0,2012-01-15,True
71,29,71,29,238,2012-01-22,3,36.97,110.91,3.0,0.0,3.0,2012-01-15,True
72,29,72,29,239,2012-01-22,3,41.24,123.73,3.0,0.0,3.0,2012-01-15,True
73,29,73,29,240,2012-01-22,3,36.97,110.91,3.0,0.0,3.0,2012-01-15,True
74,30,74,30,135,2012-01-22,550,15.89,8737.58,550.0,0.0,550.0,2012-01-15,True
75,30,75,30,136,2012-01-22,550,11.67,6416.03,550.0,55.0,495.0,2012-01-15,True
76,30,76,30,137,2012-01-22,550,11.09,6098.4,550.0,0.0,550.0,2012-01-15,True
77,31,77,31,211,2012-01-22,3,47.47,142.41,3.0,0.0,3.0,2012-01-15,True
78,32,78,32,115,2012-01-22,550,23.08,12693.45,550.0,82.0,468.0,2012-01-15,True
79,32,79,32,116,2012-01-22,550,29.27,16100.7,550.0,0.0,550.0,2012-01-15,True
80,33,80,33,212,2012-01-30,3,45.37,136.11,3.0,0.0,3.0,2012-01-23,True
81,33,81,33,213,2012-01-30,3,49.64,148.93,3.0,0.0,3.0,2012-01-23,True
82,33,82,33,214,2012-01-30,3,45.37,136.11,3.0,0.0,3.0,2012-01-23,True
83,34,83,34,109,2012-01-30,550,2.32,1276.28,550.0,550.0,0.0,2012-01-23,True
84,35,84,35,122,2012-01-30,550,3.64,2003.93,550.0,0.0,550.0,2012-01-23,True
85,36,85,36,440,2012-01-30,550,21.09,11601.98,468.0,0.0,468.0,2012-01-23,True
86,36,86,36,437,2012-01-30,550,30.44,16741.73,550.0,0.0,550.0,2012-01-23,True
87,36,87,36,435,2012-01-30,550,40.94,22516.73,550.0,0.0,550.0,2012-01-23,True
88,37,88,37,165,2012-01-30,60,3.6,216.09,60.0,0.0,60.0,2012-01-23,True
89,37,89,37,166,2012-01-30,60,3.98,238.77,60.0,0.0,60.0,2012-01-23,True
90,38,90,38,9,2012-01-30,550,31.49,17319.23,550.0,0.0,550.0,2012-01-23,True
91,38,91,38,7,2012-01-30,550,48.29,26559.23,550.0,0.0,550.0,2012-01-23,True
92,39,92,39,120,2012-01-30,550,12.97,7132.13,550.0,0.0,550.0,2012-01-23,True
93,40,93,40,441,2012-01-30,550,21.09,11601.98,550.0,0.0,550.0,2012-01-23,True
94,40,94,40,438,2012-01-30,550,30.44,16741.73,550.0,55.0,495.0,2012-01-23,True
95,41,95,41,434,2012-01-30,550,40.94,22516.73,550.0,0.0,550.0,2012-01-23,True
96,42,96,42,4,2012-01-30,550,62.99,34644.23,550.0,82.0,468.0,2012-01-23,True
97,43,97,43,74,2012-01-30,3,47.52,142.57,3.0,0.0,3.0,2012-01-23,True
98,43,98,43,75,2012-01-30,3,45.42,136.27,3.0,0.0,3.0,2012-01-23,True
99,43,99,43,76,2012-01-30,3,49.7,149.09,3.0,0.0,3.0,2012-01-23,True
100,44,100,44,73,2012-01-30,3,47.68,143.04,3.0,3.0,0.0,2012-01-23,True
101,45,101,45,115,2012-01-30,550,23.4,12872.48,550.0,0.0,550.0,2012-01-23,True
102,45,102,45,116,2012-01-30,550,27.87,15326.85,523.0,0.0,523.0,2012-01-23,True
103,46,103,46,123,2012-01-30,550,6.75,3713.33,468.0,0.0,468.0,2012-01-23,True
104,47,104,47,10,2012-01-30,550,31.49,17319.23,550.0,0.0,550.0,2012-01-23,True
105,47,105,47,8,2012-01-30,550,48.29,26559.23,550.0,0.0,550.0,2012-01-23,True
106,47,106,47,114,2012-01-30,550,36.28,19952.63,550.0,0.0,550.0,2012-01-23,True
107,48,107,48,151,2012-01-30,60,50.75,3044.79,60.0,0.0,60.0,2012-01-23,True
108,48,108,48,152,2012-01-30,60,58.26,3495.87,60.0,0.0,60.0,2012-01-23,True
109,48,109,48,153,2012-01-30,60,50.75,3044.79,60.0,0.0,60.0,2012-01-23,True
110,48,110,48,154,2012-01-30,60,62.93,3775.59,60.0,0.0,60.0,2012-01-23,True
111,48,111,48,155,2012-01-30,60,49.65,2979.27,60.0,0.0,60.0,2012-01-23,True
112,49,112,49,119,2012-02-03,550,10.38,5711.48,550.0,0.0,550.0,2012-01-27,True
113,50,113,50,231,2012-02-03,3,47.68,143.04,3.0,0.0,3.0,2012-01-27,True
114,50,114,50,232,2012-02-03,3,45.58,136.74,3.0,0.0,3.0,2012-01-27,True
115,50,115,50,233,2012-02-03,3,49.85,149.56,3.0,0.0,3.0,2012-01-27,True
116,51,116,51,149,2012-02-03,3,12.72,38.15,3.0,0.0,3.0,2012-01-27,True
117,51,117,51,150,2012-02-03,3,19.94,59.82,3.0,0.0,3.0,2012-01-27,True
118,52,118,52,124,2012-02-03,3,38.16,114.47,3.0,0.0,3.0,2012-01-27,True
119,53,119,53,110,2012-02-07,3,44.22,132.65,3.0,0.0,3.0,2012-01-31,True
120,54,120,54,10,2012-02-07,550,31.49,17319.23,550.0,550.0,0.0,2012-01-31,True
121,54,121,54,8,2012-02-07,550,48.29,26559.23,550.0,550.0,0.0,2012-01-31,True
122,55,122,55,167,2012-02-07,60,6.98,418.95,60.0,0.0,60.0,2012-01-31,True
123,56,123,56,236,2012-02-07,3,43.27,129.81,3.0,0.0,3.0,2012-01-31,True
124,56,124,56,237,2012-02-07,3,47.54,142.63,3.0,0.0,3.0,2012-01-31,True
125,56,125,56,238,2012-02-07,3,43.27,129.81,3.0,0.0,3.0,2012-01-31,True
126,56,126,56,239,2012-02-07,3,41.17,123.51,3.0,0.0,3.0,2012-01-31,True
127,57,127,57,165,2012-02-07,60,3.38,202.86,60.0,0.0,60.0,2012-01-31,True
128,57,128,57,166,2012-02-07,60,4.32,258.93,60.0,0.0,60.0,2012-01-31,True
129,58,129,58,236,2012-02-07,3,43.27,129.81,3.0,0.0,3.0,2012-01-31,True
130,58,130,58,237,2012-02-07,3,41.17,123.51,3.0,0.0,3.0,2012-01-31,True
131,58,131,58,238,2012-02-07,3,45.44,136.33,3.0,0.0,3.0,2012-01-31,True
132,58,132,58,239,2012-02-07,3,41.17,123.51,3.0,0.0,3.0,2012-01-31,True
133,58,133,58,240,2012-02-07,3,39.07,117.21,3.0,0.0,3.0,2012-01-31,True
134,59,134,59,149,2012-02-07,3,12.36,37.08,3.0,0.0,3.0,2012-01-31,True
135,60,135,60,118,2012-02-07,550,39.2,21558.08,550.0,0.0,550.0,2012-01-31,True
136,61,136,61,212,2012-02-07,3,45.44,136.33,3.0,0.0,3.0,2012-01-31,True
137,61,137,61,213,2012-02-07,3,41.17,123.51,3.0,0.0,3.0,2012-01-31,True
138,61,138,61,214,2012-02-07,3,39.07,117.21,3.0,0.0,3.0,2012-01-31,True
139,61,139,61,215,2012-02-07,3,43.34,130.03,3.0,0.0,3.0,2012-01-31,True
140,62,140,62,500,2012-02-07,550,34.87,19178.78,550.0,82.0,468.0,2012-01-31,True
141,62,141,62,499,2012-02-07,550,39.76,21869.93,550.0,0.0,550.0,2012-01-31,True
142,63,142,63,231,2012-02-07,3,47.68,143.04,3.0,0.0,3.0,2012-01-31,True
143,63,143,63,232,2012-02-07,3,45.58,136.74,3.0,0.0,3.0,2012-01-31,True
144,63,144,63,233,2012-02-07,3,49.85,149.56,3.0,0.0,3.0,2012-01-31,True
145,64,145,64,204,2012-02-07,3,47.58,142.73,3.0,3.0,0.0,2012-01-31,True
146,64,146,64,205,2012-02-07,3,45.48,136.43,3.0,3.0,0.0,2012-01-31,True
147,65,147,65,500,2012-02-07,550,34.35,18890.03,550.0,0.0,550.0,2012-01-31,True
148,65,148,65,499,2012-02-07,550,39.24,21581.18,523.0,0.0,523.0,2012-01-31,True
149,66,149,66,204,2012-02-07,3,47.47,142.41,3.0,0.0,3.0,2012-01-31,True
150,66,150,66,205,2012-02-07,3,45.37,136.11,3.0,0.0,3.0,2012-01-31,True
151,66,151,66,206,2012-02-07,3,49.64,148.93,3.0,0.0,3.0,2012-01-31,True
152,66,152,66,207,2012-02-07,3,45.37,136.11,3.0,0.0,3.0,2012-01-31,True
153,67,153,67,498,2012-02-07,550,32.77,18023.78,550.0,0.0,550.0,2012-01-31,True
154,67,154,67,496,2012-02-07,550,37.09,20397.3,550.0,0.0,550.0,2012-01-31,True
155,67,155,67,494,2012-02-07,550,43.04,23671.73,550.0,0.0,550.0,2012-01-31,True
156,68,156,68,203,2012-02-07,550,10.82,5948.25,550.0,0.0,550.0,2012-01-31,True
157,69,157,69,447,2012-02-08,550,82.83,45558.98,550.0,0.0,550.0,2012-02-01,True
158,69,158,69,446,2012-02-08,550,82.83,45558.98,550.0,0.0,550.0,2012-02-01,True
159,70,159,70,183,2012-02-08,1250,0.21,262.5,1250.0,0.0,1250.0,2012-02-01,True
160,70,160,70,197,2012-02-08,1250,0.21,262.5,1250.0,125.0,1125.0,2012-02-01,True
161,71,161,71,191,2012-02-08,3,49.64,148.93,3.0,0.0,3.0,2012-02-01,True
162,71,162,71,192,2012-02-08,3,44.32,132.96,3.0,0.0,3.0,2012-02-01,True
163,71,163,71,193,2012-02-08,60,28.7,1721.79,60.0,3.0,57.0,2012-02-01,True
164,72,164,72,494,2012-02-08,550,42.51,23382.98,550.0,82.0,468.0,2012-02-01,True
165,72,165,72,501,2012-02-08,550,5.59,3072.3,550.0,0.0,550.0,2012-02-01,True
166,73,166,73,493,2012-02-23,60,15.74,944.37,60.0,0.0,60.0,2012-02-16,True
167,74,167,74,495,2012-02-23,550,43.46,23902.73,550.0,550.0,0.0,2012-02-16,True
168,74,168,74,497,2012-02-23,550,37.62,20691.83,550.0,550.0,0.0,2012-02-16,True
169,75,169,75,188,2012-02-23,550,29.58,16268.18,550.0,0.0,550.0,2012-02-16,True
170,75,170,75,189,2012-02-23,550,36.1,19854.45,523.0,0.0,523.0,2012-02-16,True
171,75,171,75,190,2012-02-23,550,48.58,26720.93,550.0,0.0,550.0,2012-02-16,True
172,76,172,76,498,2012-02-23,550,32.25,17735.03,468.0,0.0,468.0,2012-02-16,True
173,76,173,76,496,2012-02-23,550,36.56,20108.55,550.0,0.0,550.0,2012-02-16,True
174,77,174,77,190,2012-02-23,550,46.42,25531.28,550.0,0.0,550.0,2012-02-16,True
175,78,175,78,168,2012-02-23,3,47.52,142.57,3.0,0.0,3.0,2012-02-16,True
176,78,176,78,169,2012-02-23,3,45.42,136.27,3.0,0.0,3.0,2012-02-16,True
177,78,177,78,157,2012-02-23,3,49.7,149.09,3.0,0.0,3.0,2012-02-16,True
178,78,178,78,171,2012-02-23,3,45.42,136.27,3.0,0.0,3.0,2012-02-16,True
179,78,179,78,172,2012-02-23,3,43.32,129.97,3.0,0.0,3.0,2012-02-16,True
180,79,180,79,184,2012-02-23,3,41.92,125.75,3.0,0.0,3.0,2012-02-16,True
181,80,181,80,248,2012-02-23,3,50.26,150.79,3.0,0.0,3.0,2012-02-16,True
182,81,182,81,157,2012-02-23,3,49.85,149.56,3.0,0.0,3.0,2012-02-16,True
183,81,183,81,171,2012-02-23,3,45.58,136.74,3.0,0.0,3.0,2012-02-16,True
184,81,184,81,172,2012-02-23,3,43.48,130.44,3.0,0.0,3.0,2012-02-16,True
185,81,185,81,173,2012-02-23,3,47.75,143.26,3.0,0.0,3.0,2012-02-16,True
186,82,186,82,126,2012-02-23,550,16.09,8847.3,550.0,82.0,468.0,2012-02-16,True
187,83,187,83,186,2012-02-23,3,57.03,171.08,3.0,0.0,3.0,2012-02-16,True
188,84,188,84,117,2012-02-23,550,37.09,20397.3,550.0,550.0,0.0,2012-02-16,True
189,85,189,85,118,2012-02-23,550,26.6,14628.08,550.0,0.0,550.0,2012-02-16,True
190,86,190,86,188,2012-02-23,550,27.06,14882.18,468.0,0.0,468.0,2012-02-16,True
191,86,191,86,189,2012-02-23,550,33.58,18468.45,550.0,0.0,550.0,2012-02-16,True
192,86,192,86,190,2012-02-23,550,46.06,25334.93,550.0,0.0,550.0,2012-02-16,True
193,87,193,87,217,2012-02-23,3,47.54,142.63,3.0,0.0,3.0,2012-02-16,True
194,87,194,87,218,2012-02-23,3,43.27,129.81,3.0,0.0,3.0,2012-02-16,True
195,87,195,87,219,2012-02-23,3,41.17,123.51,3.0,0.0,3.0,2012-02-16,True
196,87,196,87,220,2012-02-23,3,45.44,136.33,3.0,0.0,3.0,2012-02-16,True
197,87,197,87,221,2012-02-23,3,41.17,123.51,3.0,0.0,3.0,2012-02-16,True
198,87,198,87,209,2012-02-23,3,39.07,117.21,3.0,0.0,3.0,2012-02-16,True
199,88,199,88,86,2012-02-23,3,47.6,142.79,3.0,0.0,3.0,2012-02-16,True
200,88,200,88,87,2012-02-23,3,43.32,129.97,3.0,0.0,3.0,2012-02-16,True
201,88,201,88,88,2012-02-23,3,41.22,123.67,3.0,0.0,3.0,2012-02-16,True
202,88,202,88,89,2012-02-23,3,45.5,136.49,3.0,0.0,3.0,2012-02-16,True
203,88,203,88,90,2012-02-23,3,41.22,123.67,3.0,0.0,3.0,2012-02-16,True
204,89,204,89,191,2012-03-08,3,47.47,142.41,3.0,0.0,3.0,2012-03-01,True
205,89,205,89,192,2012-03-08,3,42.8,128.39,3.0,0.0,3.0,2012-03-01,True
206,89,206,89,193,2012-03-08,60,25.42,1525.23,60.0,0.0,60.0,2012-03-01,True
207,90,207,90,101,2012-03-08,3,43.4,130.19,3.0,0.0,3.0,2012-03-01,True
208,90,208,90,102,2012-03-08,3,39.12,117.37,3.0,0.0,3.0,2012-03-01,True
209,90,209,90,103,2012-03-08,3,37.02,111.07,3.0,0.0,3.0,2012-03-01,True
210,91,210,91,6,2012-03-08,550,62.99,34644.23,550.0,0.0,550.0,2012-03-01,True
211,92,211,92,191,2012-03-08,3,45.37,136.11,3.0,0.0,3.0,2012-03-01,True
212,92,212,92,192,2012-03-08,3,40.49,121.46,3.0,0.0,3.0,2012-03-01,True
213,93,213,93,121,2012-03-12,3,48.76,146.29,3.0,0.0,3.0,2012-03-05,True
214,94,214,94,156,2012-03-12,3,34.19,102.56,3.0,3.0,0.0,2012-03-05,True
215,95,215,95,194,2012-03-12,3,50.26,150.79,3.0,0.0,3.0,2012-03-05,True
216,96,216,96,119,2012-03-12,550,10.73,5902.05,468.0,0.0,468.0,2012-03-05,True
217,96,217,96,120,2012-03-12,550,14.12,7767.38,550.0,0.0,550.0,2012-03-05,True
218,97,218,97,151,2012-03-22,60,50.26,3015.81,60.0,0.0,60.0,2012-03-15,True
219,97,219,97,152,2012-03-22,60,57.15,3429.09,60.0,0.0,60.0,2012-03-15,True
220,97,220,97,153,2012-03-22,60,53.2,3192.21,60.0,0.0,60.0,2012-03-15,True
221,97,221,97,154,2012-03-22,60,63.69,3821.58,60.0,0.0,60.0,2012-03-15,True
222,97,222,97,155,2012-03-22,60,48.91,2934.54,60.0,0.0,60.0,2012-03-15,True
223,98,223,98,435,2012-03-22,550,40.94,22516.73,550.0,0.0,550.0,2012-03-15,True
224,98,224,98,442,2012-03-22,550,21.09,11601.98,550.0,0.0,550.0,2012-03-15,True
225,98,225,98,439,2012-03-22,550,30.44,16741.73,550.0,0.0,550.0,2012-03-15,True
226,98,226,98,436,2012-03-22,550,40.94,22516.73,550.0,0.0,550.0,2012-03-15,True
227,99,227,99,111,2012-03-22,60,9.2,551.88,60.0,0.0,60.0,2012-03-15,True
228,100,228,100,162,2012-03-22,550,5.78,3176.25,550.0,0.0,550.0,2012-03-15,True
229,100,229,100,163,2012-03-22,550,1.16,635.25,550.0,55.0,495.0,2012-03-15,True
230,100,230,100,132,2012-03-22,550,5.78,3176.25,550.0,0.0,550.0,2012-03-15,True
231,101,231,101,112,2012-03-22,550,23.39,12866.7,550.0,0.0,550.0,2012-03-15,True
232,101,232,101,113,2012-03-22,550,27.65,15205.58,550.0,0.0,550.0,2012-03-15,True
233,102,233,102,164,2012-03-22,550,1.37,750.75,550.0,82.0,468.0,2012-03-15,True
234,102,234,102,5,2012-03-22,550,62.99,34644.23,550.0,0.0,550.0,2012-03-15,True
235,103,235,103,132,2012-03-22,550,6.2,3407.25,550.0,0.0,550.0,2012-03-15,True
236,104,236,104,112,2012-03-22,550,22.17,12191.03,550.0,550.0,0.0,2012-03-15,True
237,104,237,104,113,2012-03-22,550,29.28,16106.48,550.0,550.0,0.0,2012-03-15,True
238,105,238,105,150,2012-03-22,3,19.98,59.94,3.0,0.0,3.0,2012-03-15,True
239,106,239,106,158,2012-03-22,3,36.97,110.91,3.0,0.0,3.0,2012-03-15,True
240,106,240,106,159,2012-03-22,3,34.87,104.61,3.0,0.0,3.0,2012-03-15,True
241,106,241,106,160,2012-03-22,3,39.14,117.43,3.0,0.0,3.0,2012-03-15,True
242,107,242,107,9,2012-03-22,550,31.49,17319.23,550.0,0.0,550.0,2012-03-15,True
243,107,243,107,7,2012-03-22,550,48.29,26559.23,550.0,0.0,550.0,2012-03-15,True
244,108,244,108,241,2012-03-22,3,43.22,129.65,3.0,0.0,3.0,2012-03-15,True
245,108,245,108,242,2012-03-22,3,47.49,142.47,3.0,0.0,3.0,2012-03-15,True
246,108,246,108,243,2012-03-22,3,43.27,129.81,3.0,0.0,3.0,2012-03-15,True
247,108,247,108,244,2012-03-22,3,47.54,142.63,3.0,0.0,3.0,2012-03-15,True
248,108,248,108,245,2012-03-22,3,43.27,129.81,3.0,0.0,3.0,2012-03-15,True
249,109,249,109,104,2012-03-22,550,15.89,8737.58,550.0,0.0,550.0,2012-03-15,True
250,109,250,109,139,2012-03-22,550,11.67,6416.03,550.0,0.0,550.0,2012-03-15,True
251,109,251,109,140,2012-03-22,550,11.09,6098.4,550.0,0.0,550.0,2012-03-15,True
252,109,252,109,141,2012-03-22,550,8.76,4816.35,550.0,0.0,550.0,2012-03-15,True
253,109,253,109,142,2012-03-22,550,9.69,5330.33,550.0,0.0,550.0,2012-03-15,True
254,110,254,110,211,2012-03-22,3,47.47,142.41,3.0,0.0,3.0,2012-03-15,True
255,111,255,111,117,2012-03-22,550,34.98,19236.53,550.0,0.0,550.0,2012-03-15,True
256,112,256,112,215,2012-03-22,3,43.27,129.81,3.0,0.0,3.0,2012-03-15,True
301,112,257,112,216,2012-03-22,3,47.54,142.63,3.0,0.0,3.0,2012-03-15,True
302,113,258,113,109,2012-03-23,550,2.32,1276.28,550.0,0.0,550.0,2012-03-16,True
303,114,259,114,122,2012-03-23,550,3.64,2003.93,550.0,550.0,0.0,2012-03-16,True
304,115,260,115,440,2012-03-23,550,21.09,11601.98,550.0,0.0,550.0,2012-03-16,True
305,115,261,115,437,2012-03-23,550,30.44,16741.73,523.0,0.0,523.0,2012-03-16,True
306,115,262,115,435,2012-03-23,550,40.94,22516.73,550.0,0.0,550.0,2012-03-16,True
307,116,263,116,165,2012-03-23,60,3.6,216.09,51.0,0.0,51.0,2012-03-16,True
308,116,264,116,166,2012-03-23,60,3.98,238.77,60.0,0.0,60.0,2012-03-16,True
309,117,265,117,9,2012-03-23,550,31.49,17319.23,550.0,0.0,550.0,2012-03-16,True
310,117,266,117,7,2012-03-23,550,48.29,26559.23,550.0,0.0,550.0,2012-03-16,True
311,118,267,118,120,2012-03-23,550,12.97,7132.13,550.0,0.0,550.0,2012-03-16,True
312,119,268,119,441,2012-03-23,550,21.09,11601.98,550.0,0.0,550.0,2012-03-16,True
313,119,269,119,438,2012-03-23,550,30.44,16741.73,550.0,0.0,550.0,2012-03-16,True
314,120,270,120,434,2012-03-23,550,40.94,22516.73,550.0,0.0,550.0,2012-03-16,True
315,121,271,121,4,2012-03-23,550,62.99,34644.23,550.0,0.0,550.0,2012-03-16,True
316,122,272,122,77,2012-03-23,3,45.42,136.27,3.0,0.0,3.0,2012-03-16,True
317,122,273,122,78,2012-03-23,3,43.32,129.97,3.0,0.0,3.0,2012-03-16,True
318,123,274,123,73,2012-03-23,3,47.68,143.04,3.0,0.0,3.0,2012-03-16,True
319,124,275,124,115,2012-03-23,550,23.4,12872.48,550.0,550.0,0.0,2012-03-16,True
320,124,276,124,116,2012-03-23,550,27.87,15326.85,550.0,550.0,0.0,2012-03-16,True
321,125,277,125,123,2012-03-23,550,6.75,3713.33,550.0,0.0,550.0,2012-03-16,True
322,126,278,126,10,2012-03-23,550,31.49,17319.23,468.0,0.0,468.0,2012-03-16,True
323,126,279,126,8,2012-03-23,550,48.29,26559.23,550.0,0.0,550.0,2012-03-16,True
324,126,280,126,114,2012-03-23,550,36.28,19952.63,550.0,0.0,550.0,2012-03-16,True
325,127,281,127,151,2012-03-23,60,50.75,3044.79,60.0,0.0,60.0,2012-03-16,True
326,127,282,127,152,2012-03-23,60,58.26,3495.87,60.0,0.0,60.0,2012-03-16,True
