CUSTOMERKEY,CUSTOMERID,STOREID,TERRITORYKEY,ACCOUNTNUMBER,CUSTOMERMODIFIEDDATE,STORENAME,STOREMODIFIEDDATE,STORECATEGORY,ISCURRENT,STARTDATE,ENDDATE,HASHDIFF
21,21,1334.0,4,AW00000021,2014-09-12 11:15:07.263,Chic Department Stores,2014-09-12 11:15:07.497,Department Store,True,2006-06-23,9999-12-31 00:00:00,6efb10cf7d8e87c1b63dee902894a7d9e93dd0c17bdc14cf435dc6670c2a1024
22,22,494.0,3,AW00000022,2014-09-12 11:15:07.263,Travel Systems,2014-09-12 11:15:07.497,General Store,True,2006-06-23,9999-12-31 00:00:00,35c60f4082d594b45e0a12f765cc948cb087030369871f3c27a887ebfe492aa6
23,23,1014.0,4,AW00000023,2014-09-12 11:15:07.263,Bike World,2014-09-12 11:15:07.497,Bike Store,True,2006-06-23,9999-12-31 00:00:00,bf837dd62ca2c812433811bf632e7267b994719751807db4ab8f54ea0055b313
24,24,1336.0,4,AW00000024,2014-09-12 11:15:07.263,Eastside Department Store,2014-09-12 11:15:07.497,Department Store,True,2006-06-23,9999-12-31 00:00:00,917b88827563218b25a07ccc506cb1f59bf0f696f0c954dd04dadcabb4c0665c
25,25,492.0,4,AW00000025,2014-09-12 11:15:07.263,Coalition Bike Company,2014-09-12 11:15:07.497,Bike Store,True,2006-06-23,9999-12-31 00:00:00,f60d8740a48e448db18a649bf16701b4986710ec109a1d64836c5f1ff9587eb7
26,26,1012.0,5,AW00000026,2014-09-12 11:15:07.263,Stylish Department Stores,2014-09-12 11:15:07.497,Department Store,True,2006-06-23,9999-12-31 00:00:00,50f24d39c022e7894e28076629d5db9e23efd65a11fd9a3829d6f67946805bda
27,27,1338.0,5,AW00000027,2014-09-12 11:15:07.263,Sports Sales and Rental,2014-09-12 11:15:07.497,Sports Store,True,2006-06-23,9999-12-31 00:00:00,bafb6ad1d4635f5bca0ed7cce016e3948554d14a4edcdbf483265bd12ed98f73
28,28,490.0,6,AW00000028,2014-09-12 11:15:07.263,Commuter Bicycle Store,2014-09-12 11:15:07.497,Cycle Store,True,2006-06-23,9999-12-31 00:00:00,db0b32ea91c67698f5aedd42f334fb62daef727d8d64a14205931b48d3fba506
29,29,1010.0,6,AW00000029,2014-09-12 11:15:07.263,Cross-Country Riding Supplies,2014-09-12 11:15:07.497,General Store,True,2006-06-23,9999-12-31 00:00:00,f0f3f15eec45a0655ff15f52e1c8e604079400e4b2c96febdba81a6ae1eef23e
30,30,1340.0,6,AW00000030,2014-09-12 11:15:07.263,Cycle Merchants,2014-09-12 11:15:07.497,Cycle Store,True,2006-06-23,9999-12-31 00:00:00,e0a6d5231d7e8cb460baf8fcb3b255f8b1ed02ce8e905438d553609e0180a4f1
31,31,942.0,7,AW00000031,2014-09-12 11:15:07.263,Wheels Inc.,2014-09-12 11:15:07.497,General Store,True,2006-06-23,9999-12-31 00:00:00,ef2d84c033185ec89cabc1f64deb28c8cc2de37055217a4a282e139f965d210a
32,32,1008.0,8,AW00000032,2014-09-12 11:15:07.263,Precision Gears Inc.,2014-09-12 11:15:07.497,General Store,True,2006-06-23,9999-12-31 00:00:00,c3ee383c24aec5053a004dc5d1e4d00f5f18767b8866d92762db7579eada7bc3
33,33,1342.0,9,AW00000033,2014-09-12 11:15:07.263,Global Sports Outlet,2014-09-12 11:15:07.497,Sports Store,True,2006-06-23,9999-12-31 00:00:00,4bedc240375c2a179313ea7829750924a6c24099f026b3d9d6608f6fc62e37b8
34,34,940.0,10,AW00000034,2014-09-12 11:15:07.263,Cycles Wholesaler & Mfg.,2014-09-12 11:15:07.497,Cycle Store,True,2006-06-23,9999-12-31 00:00:00,10fc6b8ae1d5c5bde0b446df96ceadd831efbc5f0f0bebeff593296f87e010f2
35,35,1006.0,2,AW00000035,2014-09-12 11:15:07.263,Economic Parts Supply,2014-09-12 11:15:07.497,Parts Supplier,True,2006-06-23,9999-12-31 00:00:00,7d56e231a4847b287c38e093d5fcfaad0b73e70bbc586aec6ab99f32d1bb2111
36,36,1344.0,2,AW00000036,2014-09-12 11:15:07.263,Exotic Bikes,2014-09-12 11:15:07.497,Bike Store,True,2006-06-23,9999-12-31 00:00:00,c6dce4df223e85df9dfaf497f54e66358083364d74ab15339623402920ca7dc4
37,37,938.0,1,AW00000037,2014-09-12 11:15:07.263,Two Bike Shops,2014-09-12 11:15:07.497,Bike Store,True,2006-06-23,9999-12-31 00:00:00,ac413d0ade5da98527e32ecf7c92c8007e167fb0e2485e6b9cf39d225e808950
38,38,1004.0,1,AW00000038,2014-09-12 11:15:07.263,Finer Mart,2014-09-12 11:15:07.497,General Store,True,2006-06-23,9999-12-31 00:00:00,e9460ea35a09724e2bf6f13495d46ea569a5952e5135b814dae4e75147d346c2
39,39,1346.0,3,AW00000039,2014-09-12 11:15:07.263,Fitness Hotel,2014-09-12 11:15:07.497,General Store,True,2006-06-23,9999-12-31 00:00:00,18874243bac5013486ca32ee041b9e56d3a2f90870a91edd18d620a649ed2186
40,40,936.0,4,AW00000040,2014-09-12 11:15:07.263,Journey Sporting Goods,2014-09-12 11:15:07.497,Sports Store,True,2006-06-23,9999-12-31 00:00:00,50dc284e7fc803a7535a8777571f975294287a93b63f4879fdc05bed73eec422
41,41,1002.0,4,AW00000041,2014-09-12 11:15:07.263,Distant Inn,2014-09-12 11:15:07.497,General Store,True,2006-06-23,9999-12-31 00:00:00,cccae2dbefbe5e5d88787e301d5e88b9db0ac5d0578d78f49949279d088637c6
42,42,1348.0,4,AW00000042,2014-09-12 11:15:07.263,Healthy Activity Store,2014-09-12 11:15:07.497,General Store,True,2006-06-23,9999-12-31 00:00:00,e5db3e6f2f0ab0ab292800be94de3249e7b405f9fa6cae5c2468722348a13ffa
43,43,1290.0,1,AW00000043,2014-09-12 11:15:07.263,Frugal Bike Shop,2014-09-12 11:15:07.497,Bike Store,True,2006-06-23,9999-12-31 00:00:00,422775132ab3022b4b15fb24de1e15fa326577f131ff79170d3122c98aac58bf
44,44,1000.0,5,AW00000044,2014-09-12 11:15:07.263,Games and Sport Supply Company,2014-09-12 11:15:07.497,Sports Store,True,2006-06-23,9999-12-31 00:00:00,4e03f525b4f4999a2fa9796ad5b07a15aad6410e1dbd9fc18a520a082a7c4f57
45,45,1350.0,5,AW00000045,2014-09-12 11:15:07.263,Every Bike Shop,2014-09-12 11:15:07.497,Bike Store,True,2006-06-23,9999-12-31 00:00:00,1b2c5f44dbaa7f6d0b706b0182e3e53077534789f06dcfb4f38d94b6e7a6b2a7
46,46,1288.0,6,AW00000046,2014-09-12 11:15:07.263,Gear-Shift Bikes Limited,2014-09-12 11:15:07.497,Bike Store,True,2006-06-23,9999-12-31 00:00:00,25c9e006e073dbef46237fd1e2485c79908d4ec7a4475471f4279e7da4b03c5d
47,47,998.0,6,AW00000047,2014-09-12 11:15:07.263,Greater Bike Store,2014-09-12 11:15:07.497,Bike Store,True,2006-06-23,9999-12-31 00:00:00,40f834b6afb96e5e4551b77eb54f4bc7ebd6fff04a51e110080f4bc118c42a0c
48,48,1352.0,6,AW00000048,2014-09-12 11:15:07.263,Grand Industries,2014-09-12 11:15:07.497,General Store,True,2006-06-23,9999-12-31 00:00:00,de9b14af0b90db4cced95101f87d8846c396012c4c8ca81b48e8c0edf962b304
49,49,1286.0,7,AW00000049,2014-09-12 11:15:07.263,Neighborhood Bicycle Storehouse,2014-09-12 11:15:07.497,Cycle Store,True,2006-06-23,9999-12-31 00:00:00,9f3adb7e6a033d800667e9a1b06f278600b532f8e6098daa3c7d65a887c290a6
50,50,996.0,8,AW00000050,2014-09-12 11:15:07.263,Hometown Riding Supplies,2014-09-12 11:15:07.497,General Store,True,2006-06-23,9999-12-31 00:00:00,b23b62172c19bbbe10dff0642336839c960767a9655d8a84b4219153f0966486
51,51,1354.0,9,AW00000051,2014-09-12 11:15:07.263,Ideal Components,2014-09-12 11:15:07.497,General Store,True,2006-06-23,9999-12-31 00:00:00,ac869e8905c1de686d0b732f0cc725edca30ff66ca5bb56efb05fa5c035e03c1
52,52,1284.0,10,AW00000052,2014-09-12 11:15:07.263,Instruments and Parts Company,2014-09-12 11:15:07.497,Parts Supplier,True,2006-06-23,9999-12-31 00:00:00,6acb5eb4325ccaad587ec52f4ce0bc5b315176426915b1a0ef072554ff26cbbc
53,53,994.0,2,AW00000053,2014-09-12 11:15:07.263,Incomparable Bicycle Store,2014-09-12 11:15:07.497,Cycle Store,True,2006-06-23,9999-12-31 00:00:00,e18cd210626874423ece0b345553bc7c5f3ac907b364481f9702319138cebfe1
54,54,1356.0,2,AW00000054,2014-09-12 11:15:07.263,Larger Cycle Shop,2014-09-12 11:15:07.497,Cycle Store,True,2006-06-23,9999-12-31 00:00:00,c4da969ff16fec598c9dca4d40d1731611d48554e309f2f3da2282f82085726d
55,55,1282.0,1,AW00000055,2014-09-12 11:15:07.263,Kickstands and Accessories Company,2014-09-12 11:15:07.497,General Store,True,2006-06-23,9999-12-31 00:00:00,189a597abf5198452f525ef4a970adeb8ef1441679bdda15b1887934ccd2c6cd
56,56,992.0,1,AW00000056,2014-09-12 11:15:07.263,Latest Accessories Sales,2014-09-12 11:15:07.497,General Store,True,2006-06-23,9999-12-31 00:00:00,4765bfa0dcba0a5cbacaae05bd5dd17b6a3d44a71837cdac5b0b2bafeeb6cd73
57,57,1358.0,3,AW00000057,2014-09-12 11:15:07.263,Leading Sales & Repair,2014-09-12 11:15:07.497,General Store,True,2006-06-23,9999-12-31 00:00:00,3f08c9fa7344daaab89094e377290dfd9f2474a4081a20fa34d34780e4ee08f5
58,58,1280.0,3,AW00000058,2014-09-12 11:15:07.263,Largest Bike Store,2014-09-12 11:15:07.497,Bike Store,True,2006-06-23,9999-12-31 00:00:00,4beef31f7a1324c492fdfbe232cf921713f40ff872cbe1d828f300e898ab0dfe
59,59,990.0,4,AW00000059,2014-09-12 11:15:07.263,Locks Company,2014-09-12 11:15:07.497,General Store,True,2006-06-23,9999-12-31 00:00:00,5367261f405f86d397f18366f0b8dd2c412eac2cecdb9eec647123a6afad9825
60,60,1360.0,4,AW00000060,2014-09-12 11:15:07.263,Main Bicycle Services,2014-09-12 11:15:07.497,Cycle Store,True,2006-06-23,9999-12-31 00:00:00,5b137a3a0922562a8ddd46e1d4b68c7f6dbbbce387d018c666281afc24092950
61,61,1278.0,4,AW00000061,2014-09-12 11:15:07.263,Many Bikes Store,2014-09-12 11:15:07.497,Bike Store,True,2006-06-23,9999-12-31 00:00:00,8fd843dc3858e0a2deacdc65049a75f2b55d3588153968cc6fd27ecadd809e60
62,62,988.0,5,AW00000062,2014-09-12 11:15:07.263,Manufacturers Inc,2014-09-12 11:15:07.497,General Store,True,2006-06-23,9999-12-31 00:00:00,23283e51cbb3ffc0ce6a3e08c06bde21d7931af4ff982e15d709b8129225b34c
63,63,1362.0,5,AW00000063,2014-09-12 11:15:07.263,Metro Bike Mart,2014-09-12 11:15:07.497,Bike Store,True,2006-06-23,9999-12-31 00:00:00,cd46329b2292146319085cbdbd990687243c9d7147dc12d7df716bf6cb2962dd
64,64,1276.0,6,AW00000064,2014-09-12 11:15:07.263,Metal Clearing House,2014-09-12 11:15:07.497,General Store,True,2006-06-23,9999-12-31 00:00:00,46b985b3824c66f52b3e5407b34229cd32f9a1dbbe0b5ea5d8e263b0d3625467
65,65,986.0,6,AW00000065,2014-09-12 11:15:07.263,Metro Manufacturing,2014-09-12 11:15:07.497,General Store,True,2006-06-23,9999-12-31 00:00:00,f74e7289b2633042a325d4cc5c7ac1845142b6b1c746e20d95731c823f17d32d
66,66,782.0,6,AW00000066,2014-09-12 11:15:07.263,Neighborhood Store,2014-09-12 11:15:07.497,General Store,True,2006-06-23,9999-12-31 00:00:00,1f28ad317d6ba8271b1e3006c95930182d62049f643ad10444667e3dfce9b7b5
67,67,1274.0,7,AW00000067,2014-09-12 11:15:07.263,Self-Contained Cycle Parts Company,2014-09-12 11:15:07.497,Cycle Store,True,2006-06-23,9999-12-31 00:00:00,565cd6f97c5b549054da0fc04207751d9de9663a42cd3c6b0b18472d6b48c153
68,68,532.0,8,AW00000068,2014-09-12 11:15:07.263,North Bike Company,2014-09-12 11:15:07.497,Bike Store,True,2006-06-23,9999-12-31 00:00:00,5c2caf49a1216f6a00ad15bdaa07883238d9affd0d71e0499eba2ba774d17a7d
69,69,784.0,9,AW00000069,2014-09-12 11:15:07.263,Online Bike Catalog,2014-09-12 11:15:07.497,Bike Store,True,2006-06-23,9999-12-31 00:00:00,24b994355a3cb2d4e548e13d4f68f0100ab9437d681d73b26f662e586f8fc67a
70,70,1272.0,10,AW00000070,2014-09-12 11:15:07.263,Outdoor Aerobic Systems Company,2014-09-12 11:15:07.497,General Store,True,2006-06-23,9999-12-31 00:00:00,5e2992b8f1b86e9f57956b489984f254a017238d90213e8a84bbedb7dc80c35a
71,71,530.0,2,AW00000071,2014-09-12 11:15:07.263,Outdoor Distributors,2014-09-12 11:15:07.497,General Store,True,2006-06-23,9999-12-31 00:00:00,e45addac9ffddc698660adb82ddc73327a4eeae067fb3ddc7bb20ae178525f81
72,72,786.0,2,AW00000072,2014-09-12 11:15:07.263,Outdoor Equipment Store,2014-09-12 11:15:07.497,General Store,True,2006-06-23,9999-12-31 00:00:00,181c04f42bce05ab2533fe97525001faf91e4f096fdfb753dfdb338d055a7e66
73,73,1270.0,1,AW00000073,2014-09-12 11:15:07.263,Outdoor Sports Supply,2014-09-12 11:15:07.497,Sports Store,True,2006-06-23,9999-12-31 00:00:00,9cf579010ec4ab754070523683e5fc36e51498b020d4f3f6d1969664077e53ef
74,74,528.0,1,AW00000074,2014-09-12 11:15:07.263,Parcel Express Delivery Service,2014-09-12 11:15:07.497,Delivery Service,True,2006-06-23,9999-12-31 00:00:00,d5321ed1923cc9cbc704515f9ac3679f690c623dac4c1548da1f1807b9fdb04c
75,75,788.0,4,AW00000075,2014-09-12 11:15:07.263,Paint Supply,2014-09-12 11:15:07.497,General Store,True,2006-06-23,9999-12-31 00:00:00,850e19f05d7a559486d4ea3f86928da496e13debdb91fc89656173c820854106
76,76,1268.0,3,AW00000076,2014-09-12 11:15:07.263,Out-of-the-Way Hotels,2014-09-12 11:15:07.497,General Store,True,2006-06-23,9999-12-31 00:00:00,30f6626b48666d2bd227b03c9a7c0a4d34768c2fa1f9e94f9b18f9e32806b3a7
77,77,556.0,4,AW00000077,2014-09-12 11:15:07.263,Mechanical Products Ltd.,2014-09-12 11:15:07.497,General Store,True,2006-06-23,9999-12-31 00:00:00,57d10f5540d48530fdcb647c0f6f9072c5565808fbf5421bdaccdbceb2236354
78,78,790.0,4,AW00000078,2014-09-12 11:15:07.263,Preferred Bikes,2014-09-12 11:15:07.497,Bike Store,True,2006-06-23,9999-12-31 00:00:00,793af72296c49be5de8942ad6b97d470d3b54e3bb88932346d7ab2173e722fb7
79,79,1266.0,3,AW00000079,2014-09-12 11:15:07.263,Reasonable Bicycle Sales,2014-09-12 11:15:07.497,Cycle Store,True,2006-06-23,9999-12-31 00:00:00,13b6733e98a48c5ed68789a08b9eaeb47806d29aa38cc9e586a8b15ccee46add
80,80,554.0,5,AW00000080,2014-09-12 11:15:07.263,Racks and Security Systems,2014-09-12 11:15:07.497,General Store,True,2006-06-23,9999-12-31 00:00:00,b9224b2320ded2ff3f3b98ec3d21e32c8f0824231cf57d31be7decafbc752727
81,81,792.0,5,AW00000081,2014-09-12 11:15:07.263,Rally Day Mall,2014-09-12 11:15:07.497,General Store,True,2006-06-23,9999-12-31 00:00:00,15fbfbf5595319d06b937e05866ab6f797226ded2dcfd7098e1b233c192afa09
82,82,1264.0,6,AW00000082,2014-09-12 11:15:07.263,Refined Department Stores,2014-09-12 11:15:07.497,Department Store,True,2006-06-23,9999-12-31 00:00:00,daa53d40107e3b38a66ae7d9fe6601c826e5e83072dc9c3b0ae2b8fb0f779229
83,83,552.0,6,AW00000083,2014-09-12 11:15:07.263,Requisite Part Supply,2014-09-12 11:15:07.497,General Store,True,2006-06-23,9999-12-31 00:00:00,35eb65ffdf6e7702bd698eb393119dfce50a5172b541d0e9d97d52cb04618130
84,84,794.0,6,AW00000084,2014-09-12 11:15:07.263,Rewarding Activities Company,2014-09-12 11:15:07.497,General Store,True,2006-06-23,9999-12-31 00:00:00,37546fd440f6a73e160b58831514f14d9901636d1c37af0d17df590b0153bf0a
85,85,1262.0,7,AW00000085,2014-09-12 11:15:07.263,Roadway Bicycle Supply,2014-09-12 11:15:07.497,Cycle Store,True,2006-06-23,9999-12-31 00:00:00,9bfcfca014d8715a6ff6beefa6fef784a603dc001814cb7fb1dbbecdf88de0ad
86,86,636.0,8,AW00000086,2014-09-12 11:15:07.263,Bicycle Exporters,2014-09-12 11:15:07.497,Cycle Store,True,2006-06-23,9999-12-31 00:00:00,6f6364dc09ad1f41ea9ec006ebf8cdefdb14df13c9bf0bced98e837a75d3b121
87,87,796.0,9,AW00000087,2014-09-12 11:15:07.263,Rich Department Store,2014-09-12 11:15:07.497,Department Store,True,2006-06-23,9999-12-31 00:00:00,eb56d18562aeb1a86b2a98cc54fca95f777c753bf422da3d5424ee0308e5dbca
88,88,1260.0,10,AW00000088,2014-09-12 11:15:07.263,Closest Bicycle Store,2014-09-12 11:15:07.497,Cycle Store,True,2006-06-23,9999-12-31 00:00:00,836f36ea5d0e34414b3f2b06703f4dec7fb23684e77a5d3f81942d420ddbbb54
89,89,634.0,2,AW00000089,2014-09-12 11:15:07.263,Riverside Company,2014-09-12 11:15:07.497,General Store,True,2006-06-23,9999-12-31 00:00:00,f851ac90b2e49700d191b7a39209af71f3cc7db4772cd303f7132caf8fb2d5f1
90,90,798.0,5,AW00000090,2014-09-12 11:15:07.263,Sales and Supply Company,2014-09-12 11:15:07.497,General Store,True,2006-06-23,9999-12-31 00:00:00,e396328b03695c693347751c23cfc776ceb17b186f933200348f0ffd81e4acc6
91,91,1258.0,1,AW00000091,2014-09-12 11:15:07.263,Scooters and Bikes Store,2014-09-12 11:15:07.497,Bike Store,True,2006-06-23,9999-12-31 00:00:00,f4300fd2ab5bb222ac904ff818742f0cc108aae0114dac83d8ab4f6f1cebc801
92,92,632.0,1,AW00000092,2014-09-12 11:15:07.263,Sports Commodities,2014-09-12 11:15:07.497,Sports Store,True,2006-06-23,9999-12-31 00:00:00,45d0c542f0494307685d61e5106534e8868e58e13159bd910dd0e7c23314785e
93,93,800.0,4,AW00000093,2014-09-12 11:15:07.263,Stationary Bikes and Stands,2014-09-12 11:15:07.497,Bike Store,True,2006-06-23,9999-12-31 00:00:00,2f2d9dca7e94c460bd2efa9b9581ea13c0d7021f0e5fc9f170c682c5594990f3
94,94,1256.0,4,AW00000094,2014-09-12 11:15:07.263,Specialty Sports Store,2014-09-12 11:15:07.497,Sports Store,True,2006-06-23,9999-12-31 00:00:00,7bee15db16f51e6b1d75e9358bc302b0fedc005f4ddf39530bd56911e9674269
95,95,630.0,4,AW00000095,2014-09-12 11:15:07.263,Rural Department Store,2014-09-12 11:15:07.497,Department Store,True,2006-06-23,9999-12-31 00:00:00,b9179a2c9c7c61bc4c2c87934d753f636e161a9cb0e2f2754e5496cec342a61d
96,96,1308.0,4,AW00000096,2014-09-12 11:15:07.263,More Bikes!,2014-09-12 11:15:07.497,Bike Store,True,2006-06-23,9999-12-31 00:00:00,9f1a5731b40230df405fd10c777e809531b7451a72268e3ec535594b93161436
97,97,1254.0,4,AW00000097,2014-09-12 11:15:07.263,Mountain Bike Center,2014-09-12 11:15:07.497,Bike Store,True,2006-06-23,9999-12-31 00:00:00,06e2b2ae850472cdc1364a757106ef0a4de1a9ee826ca6b8d587235612f8e3be
98,98,734.0,5,AW00000098,2014-09-12 11:15:07.263,Superlative Bikes,2014-09-12 11:15:07.497,Bike Store,True,2006-06-23,9999-12-31 00:00:00,8beda6e6a23075ac0820c71c2897a4bad8178577e14c9da84fe1f5f54e762fab
99,99,1310.0,5,AW00000099,2014-09-12 11:15:07.263,Unified Sports Company,2014-09-12 11:15:07.497,Sports Store,True,2006-06-23,9999-12-31 00:00:00,ccbb4a0508a1de0cfde09219e8fd149f79e375a002f687421fff1b54e224c2ab
100,100,1252.0,6,AW00000100,2014-09-12 11:15:07.263,Up-To-Date Sports,2014-09-12 11:15:07.497,Sports Store,True,2006-06-23,9999-12-31 00:00:00,35c5ebd13ee2f8c5758afcc218c6d2104ecc49773e3a89ee1afe0107c7b6ea72
101,101,732.0,6,AW00000101,2014-09-12 11:15:07.263,Urban Sports Emporium,2014-09-12 11:15:07.497,Sports Store,True,2006-06-23,9999-12-31 00:00:00,133c0c701de3ac716bcd463bd1602a31632cb06cb82511eea41344e95b6593df
102,102,1312.0,6,AW00000102,2014-09-12 11:15:07.263,National Manufacturing,2014-09-12 11:15:07.497,General Store,True,2006-06-23,9999-12-31 00:00:00,36e48c0270abb8ffc333051d0d3214b426e2f5f02139ac3882f6c984e73dc064
103,103,1894.0,7,AW00000103,2014-09-12 11:15:07.263,The Bike Outlet,2014-09-12 11:15:07.497,Bike Store,True,2006-06-23,9999-12-31 00:00:00,a896d252adb2ba45eadfcf3d9b1685bee91aaffed32af3cedcd3f4385c8a5301
104,104,730.0,8,AW00000104,2014-09-12 11:15:07.263,Very Best Sports Supply,2014-09-12 11:15:07.497,Sports Store,True,2006-06-23,9999-12-31 00:00:00,d6403e44c1fa80532db3ba6a3161924858c60247965a454ec87af78e80bb5ed4
105,105,1314.0,9,AW00000105,2014-09-12 11:15:07.263,Volume Bike Sellers,2014-09-12 11:15:07.497,Bike Store,True,2006-06-23,9999-12-31 00:00:00,e2bbf2816d6ac6373a940cb9a6b45ee0d647e924cf687e983f40f6f9303f2953
106,106,1892.0,10,AW00000106,2014-09-12 11:15:07.263,West Side Mart,2014-09-12 11:15:07.497,General Store,True,2006-06-23,9999-12-31 00:00:00,237d5e2a0983ccfd7da09cb140039ad5de2b337a4ec39dec8573c484498b0ece
107,107,728.0,2,AW00000107,2014-09-12 11:15:07.263,Wholesale Bikes,2014-09-12 11:15:07.497,Bike Store,True,2006-06-23,9999-12-31 00:00:00,cbe050ed39779d015381b09885cb1bcf0f93cbcfdabc4689952b67fd99ae69bf
108,108,1316.0,2,AW00000108,2014-09-12 11:15:07.263,Wheelsets Storehouse,2014-09-12 11:15:07.497,General Store,True,2006-06-23,9999-12-31 00:00:00,adf0c6a1f6e4a642b2b4517c3a384c3394ca7e97379b716ae3e42a9aa10073b5
